category,canneal,SP
runtime,101.46459674835205,131.68734669685364
l2miss,6637032.053677932,157905399.57142857
l3miss,6350857.1232604375,76892712.22119816
instructions,256476885.29025844,6213825646.311828
cycles,1839436673.8568587,4130416576.6205835
stall_cycles,1656710692.16501,1703733109.6436253
intra_coh,65223.33200795229,1732.9646697388632
inter_coh,0.04970178926441352,0.07219662058371736
wall_cycles,419764686.17097414,419912892.5683564
llc_size,2894137.510934394,39536731.23195084
local_mem,475533776.1590457,5884835622.930876
remote_mem,976786.0675944334,18781047.152073734
