l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
143646638,70137703,7112324409,4136519844,1369176838,1440,0,485371320,35717120,4680318976,0
111458627,57527479,7791185941,4091663914,1228751123,1662,0,422251884,40828928,5741543424,183304192
168966412,79334932,6320033940,4130147381,1695284190,1909,0,417971909,41222144,4562092032,0
167686610,81357852,7382804815,4136083351,1503625642,6492,0,418054459,40501248,6022955008,0
156578595,77495728,6228152312,4127110925,1723692965,2246,0,420438554,40828928,6209929216,95354880
158559918,78632491,6606276016,4136268080,1359991195,16192,0,418983151,41156608,4474273792,26411008
163350767,80565439,5871511422,4124439981,1876394393,1740,0,419442489,40960000,7201423360,655360
146928035,77718700,6215953657,4130743872,1686993136,1421,0,420620078,41091072,5229314048,0
176566171,77769922,6930907655,4131708470,1606175885,8537,0,419862589,40566784,5163057152,0
155485521,77471604,5314503846,4127933940,1879700463,5394,0,419003046,39911424,7323058176,13238272
151499238,77974973,6140520174,4134501023,1565891474,1848,0,419739933,41484288,4637655040,17498112
174651197,80251116,7021174400,4129973993,1540020015,1828,0,420066804,40566784,5687214080,0
161401953,76773557,5926831231,4134935274,1761735800,1726,0,420171324,40960000,6599671808,39911424
151346049,77512489,6858526215,4125912449,1456950106,6287,0,420057015,41353216,4374003712,55508992
163124131,80438724,5838589474,4132516983,1898317009,1723,0,418929288,39780352,6975258624,0
148439959,79014005,6579436043,4136439040,1635303991,972,0,419377245,41811968,5250940928,56885248
176271534,77541770,6830696284,4133770122,1617578171,6786,0,421038357,40894464,5037948928,0
158952139,77704550,5345887014,4133162636,1876014787,6829,0,418593252,40173568,7320895488,23986176
148646286,78806244,6348603659,4129795470,1539262401,2204,1,419848032,41287680,4808441856,22478848
171537794,79534845,6774176351,4134622722,1552778112,1276,0,421340430,41353216,5699796992,28573696
162916213,77867492,5751407431,4133402023,1827493018,2096,0,419419472,41353216,6751715328,6815744
155977885,78178736,6995587424,4134757458,1559296207,9009,0,420771786,41091072,4402053120,43515904
161539788,79759076,6066402895,4133956625,1726630404,9565,0,417933003,39649280,6628573184,0
147193229,77653441,6318886688,4127729186,1696817317,1546,0,421261036,41877504,5579145216,50528256
178716194,78160320,6748614508,4135738006,1560966421,5657,0,417557196,40370176,4720099328,0
162657787,80274110,5867551340,4130949618,1785699576,8441,0,419701014,40173568,7369392128,14548992
147885337,79059308,6784408940,4135724252,1585110016,2125,0,419686281,41418752,5072748544,45809664
164267483,77517751,6189538739,4130216025,1604883638,6326,0,419817630,40370176,5520359424,0
161268922,78662352,5757539586,4132996786,1892449798,6580,0,419801007,41680896,6975586304,28704768
167820473,79213555,6652101085,4137450110,1638482253,2146,0,419655909,41680896,4594270208,12124160
164494193,81187272,7052598174,4131289043,1421281982,7077,0,419606589,40173568,6136135680,0
154853162,77459873,6221727330,4135742097,1702792297,1482,0,419674275,41549824,6288375808,33554432
160934598,79655390,6488092687,4136500805,1450856808,15802,0,419786544,41353216,4530438144,31850496
163987286,81720232,6014056240,4129599943,1851108098,2042,0,419561694,40370176,7178944512,0
149112103,79436036,6518727399,4136683522,1632480990,1239,0,419909086,41615360,5321261056,36503552
179659969,78135352,6748798731,4136900544,1583748814,7080,0,419648636,40435712,5033754624,0
159406975,78867258,5612943074,4131195331,1805388139,10811,0,419934827,39976960,7356153856,9568256
147961308,76876633,6369248362,4137152102,1621999492,2350,0,419772292,41484288,4781834240,31391744
170293897,79712689,6744800060,4130223206,1564143044,1284,0,419696286,41222144,5748424704,32964608
161376325,78446027,5778779687,4130441061,1861734838,6153,0,419653176,41811968,6783631360,2097152
168202097,79421094,6684105743,4132144102,1600556755,2603,0,419853657,41287680,4614193152,12517376
160807972,80204562,6815148664,4135332258,1537819916,5911,0,419623412,40960000,6400245760,0
147860361,76941967,6258243980,4135187736,1706500359,1416,0,419815393,41156608,5911609344,46333952
168723894,77734081,6338806363,4131219567,1584663519,5964,0,419879742,41025536,4364566528,0
165199191,79873868,6068008975,4134320753,1862259652,5135,0,419777631,40501248,7370506240,12976128
152794015,79455893,6633030775,4135754490,1635652164,2121,0,419558871,40763392,5148573696,25952256
