l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2334487,1116420,416603524,498710066,276471674,0,0,495717899,524288,122290176,0
1682729,1327322,238435316,499145651,363825912,0,0,419266515,1245184,92995584,393216
2249856,1377441,329925197,502814969,317826453,0,0,420087822,393216,112001024,0
1571509,1223121,197026385,501811728,385917948,0,0,419143425,1179648,87228416,524288
1761804,1356967,217495593,502335776,376215110,0,0,419993361,983040,93454336,196608
2002260,1485812,233964164,502830980,368967392,0,0,419149059,1507328,106233856,0
1529096,1276852,192483457,502626935,397803600,0,0,419502993,917504,86573056,458752
1990531,1501413,232410819,503239336,374389123,0,0,419612919,851968,102301696,0
1809591,1471456,230900948,503275005,376760122,0,0,419403441,917504,100794368,0
1461485,1192730,172628192,502971738,401891971,0,0,419535108,1114112,82378752,327680
1799740,1441041,224943224,503995232,376463806,0,0,419694669,589824,103874560,0
1822156,1363082,201500167,503944198,389732220,0,0,419395383,1703936,93126656,0
1592191,1249875,177250110,504208404,401878087,0,0,419426782,262144,84410368,917504
2002356,1488111,216502641,504515304,384843012,0,0,419787875,524288,97583104,0
1609907,1364630,190338168,504697072,399959874,0,0,419660523,851968,94896128,262144
1807529,1431790,198369242,504782039,393789819,0,0,419544386,524288,95944704,0
1955049,1568896,229002628,505616063,380543943,0,0,420050980,262144,103350272,0
1526348,1192366,154158520,505277764,413081630,0,0,419177874,720896,87949312,262144
1829979,1428546,198750836,505680582,386178955,0,0,419624679,1179648,99614720,196608
1939110,1429647,193124578,505884710,395715022,0,0,419385354,1048576,106496000,458752
1560301,1282206,158312031,505596639,416740472,0,0,419472456,1769472,88080384,0
2084090,1485130,198109001,506687513,393850682,0,0,419770995,589824,105906176,0
1866225,1509575,192860636,506301888,399238144,0,0,419780307,1048576,100728832,196608
1664047,1347655,162485038,506590072,413800508,0,0,419457180,524288,91750400,0
1995569,1642381,214930495,507071954,392752907,0,0,419871411,720896,107216896,0
1734578,1355742,170515486,506886036,403900260,0,0,418997890,1310720,92864512,524288
1651614,1388590,175136974,507134196,408122280,0,0,420128579,589824,87228416,0
1933983,1443789,183501957,506827970,394958633,0,0,419528043,524288,101842944,0
1562509,1269966,143222614,506675098,426733649,0,0,419452344,1703936,83230720,1572864
1865480,1406487,168997708,507208212,410547915,0,0,420007131,524288,91750400,0
1786285,1449342,174340310,506899027,408688662,0,0,419126907,786432,99155968,327680
1496168,1215679,136195620,507231605,427272058,0,0,419455569,1179648,82116608,327680
1876815,1542164,189843864,507727282,396876189,0,0,419493399,655360,98828288,0
1838892,1383186,161148813,507541331,411485276,0,0,419451150,1441792,92864512,131072
1562986,1243506,137984472,507143898,424450657,0,0,419794800,786432,86376448,0
2115122,1527966,177076277,508005039,407636457,0,0,419880282,655360,100466688,0
1720791,1466726,170611531,508175158,412668175,0,0,419117733,851968,96534528,131072
1817435,1475844,162376908,508117535,417593717,0,0,419935851,393216,92143616,0
2002384,1638456,198217304,508639135,399210778,0,0,419607561,393216,106627072,0
1511870,1216025,131430521,507969837,427605081,0,0,419370759,1441792,78643200,1310720
1819230,1442569,166691788,508545059,408765896,0,0,419940360,131072,96272384,0
1976605,1504526,171488820,508625656,408299946,0,0,419204394,1900544,99418112,327680
1564447,1272047,132547342,508113060,430764444,0,0,419462610,1310720,86441984,0
2095164,1499151,167521235,508717557,411970715,0,0,419661012,983040,98304000,0
1838731,1493012,159317099,508453803,419115863,0,0,419486367,1114112,89128960,65536
1534001,1319703,135103854,508642129,430052178,0,0,419843922,196608,79036416,0
1919471,1586834,182416328,508914253,408702513,0,0,419243658,524288,96927744,393216
1744662,1344159,142693051,508277791,422536992,0,0,419692473,917504,91095040,524288
1634425,1285883,133479477,508638512,426788741,0,0,419839515,458752,82313216,0
2013845,1494424,160420934,508746488,418052852,0,0,419663055,458752,95027200,589824
1478977,1285378,131485583,508624699,433426512,0,0,419293842,851968,81199104,0
1825414,1492663,158650271,509090983,419982304,0,0,419969040,196608,90374144,0
1795659,1413035,149852438,508966937,419348825,0,0,419258982,1114112,94896128,655360
1510815,1250098,120388287,508853374,438060050,0,0,419483832,655360,77070336,0
1932586,1405746,150660090,509231177,420080426,0,0,419663697,786432,94175232,262144
1768169,1469584,147871197,508951005,425573723,0,0,419615730,917504,85655552,917504
1614280,1348812,130613807,509285577,432814723,0,0,419605293,917504,82903040,0
1981422,1658965,181554555,509874440,409359781,0,0,419874951,655360,106299392,0
1745293,1315389,132357559,509569010,426292194,0,0,419212407,1310720,91947008,458752
1637242,1338928,134425838,509374010,426670526,0,0,419981076,458752,81461248,720896
2026826,1480677,150855807,509564832,422303830,0,0,419658387,589824,91488256,0
1458220,1293488,123981647,509246031,438073723,0,0,419550873,458752,78970880,655360
1924173,1559116,156744254,509451520,422661388,0,0,419397945,589824,88735744,0
1794608,1437607,147533096,509690363,420666625,0,0,419437863,851968,91488256,0
1505800,1221226,112880435,509231722,442587263,0,0,419496525,786432,80412672,0
