l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
77012893,36200536,2722588496,2071627739,979263233,1797,0,376840206,37158912,3658874880,28049408
6087528,6897257,5514533004,2029785998,61779582,95,0,211192182,36175872,732430336,441450496
74094603,37215744,3071618489,2066493766,896604298,239,0,209663280,40239104,3683844096,0
80090771,39043932,2618314540,2071800961,978618084,1629,0,209366445,39780352,2911633408,0
71678568,35939745,3006567563,2065001959,789632683,642,0,210192063,39518208,1579614208,0
69569423,37999478,2750647736,2065856039,1008887970,931,0,209971701,39649280,3529179136,27000832
81755048,35668608,2316398352,2071290899,1109544026,755,0,209955378,28573696,3835625472,0
82163182,38657755,3536504676,2058448230,739483482,990,0,210259164,32112640,1703936000,45744128
67776295,38062443,2614762775,2065257013,995602455,1191,0,210160314,37945344,2747334656,0
77964524,38376266,3144913030,2071042252,929232295,486,0,210270351,39976960,3740794880,7340032
76470542,37604630,3294084920,2068354255,834172637,4617,0,209873841,36700160,2485846016,0
70100011,37155972,3143594119,2059149898,731650746,561,0,210497109,38797312,1682046976,41615360
63695076,39489901,2956037110,2069187993,972020378,753,0,210135609,36962304,3712614400,5177344
87628723,34137361,2278184943,2072248059,1087260244,6646,0,210051612,39976960,3495231488,0
68457917,38339723,3213529700,2066503009,727732198,704,0,210508401,40173568,1846083584,10289152
70571353,34000480,2317842897,2067525390,1104168633,594,0,210005469,33882112,3009937408,21495808
83254436,37879513,3034120014,2071712983,849066733,237,0,209978238,38076416,3784376320,16646144
80599486,38800004,3290834710,2070108449,791924501,863,0,210116214,37355520,2054225920,0
74499049,37824663,2969003898,2068248803,930849118,1555,0,210048333,38404096,2268659712,43515904
68361919,36798560,2621733622,2068961456,980865674,546,0,210172788,38666240,3678273536,9961472
89794795,39260415,3147658252,2071937722,933006680,775,0,210595476,36503552,3029139456,0
73365255,37038184,3176017713,2068948140,848175602,1211,0,209730891,39256064,1776549888,0
69077576,37338863,2576498222,2064998962,1067299054,1067,0,210074784,40042496,3386179584,29884416
82017631,37292216,2624112112,2071515818,1025630611,902,0,210283104,33751040,3945660416,0
86756939,40439620,3820676731,2069280843,688676093,831,0,209950281,29163520,1660289024,37421056
68020616,37410224,2554514341,2072198447,1030587524,1505,0,210359136,38141952,2719350784,16252928
76830978,37271118,2937845200,2069872289,927190406,610,0,210244761,39714816,3755999232,2490368
83772030,41519314,3518951787,2063030836,872506824,1272,0,210074286,38338560,2620391424,0
72796086,36531533,3376944658,2070384232,774585229,626,0,210132192,41353216,1625554944,33685504
64370508,38713322,2812042192,2069655870,1023582039,945,0,210276879,39452672,3757441024,20447232
87638718,37399852,2533448247,2072751284,1029285640,3924,0,210057426,31522816,3639541760,0
68486542,39491112,3550762077,2065975218,637849168,898,0,210074637,35586048,1797652480,7536640
69846165,37579109,2527008243,2070326447,1108143996,711,0,210039057,37289984,3141730304,25755648
84311959,36885145,3025979261,2070334341,867438518,567,0,210102384,38404096,3848798208,21430272
75324360,39836571,3448875321,2070425568,630305516,780,0,210182892,37421056,1951072256,0
67795755,37504232,2697936953,2065629411,920014632,682,0,210161829,36896768,2447638528,43515904
71413174,37424749,2946390781,2068204409,910630506,324,0,210107751,39976960,3726311424,2097152
80130441,40239990,3041113864,2071532812,876292548,1293,0,210231498,27066368,3096051712,0
71739379,37103157,3188523966,2069451837,758134389,351,0,210232440,29097984,1571422208,0
67443024,38085094,2712312230,2062663161,999933414,687,0,209969118,39059456,3659137024,24313856
80835725,34010036,2331748821,2065035675,993146222,889,0,210188169,35848192,3715432448,0
73841732,39367110,3297048678,2069323810,743915860,990,0,209969184,39059456,1845755904,3342336
72677178,36797612,2432057012,2070352818,1071082086,689,0,210078225,38338560,2737569792,78774272
81776463,37573480,2965399015,2070351295,813900163,294,0,210300207,35913728,3839623168,0
80652231,39399451,3225613160,2071965734,887842761,1078,0,210414303,37748736,2245853184,0
74214591,35815438,3003425402,2041996099,854086204,860,0,210082464,38469632,1849098240,35389440
