l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3832355,4728732,535725068,799309057,553344699,492360,0,390501866,3801088,272105472,3407872
10809699,8130640,4002983041,2023840779,467112102,1127230,0,210091254,1966080,493486080,10092544
9725086,8496075,2512695409,1947304725,930431020,1156863,0,210020370,2097152,519241728,0
9227065,7039099,3103135381,2018432617,938779101,1479398,0,210060249,2686976,547749888,0
10697275,9323243,3454637315,1984385175,668544476,1037799,0,210233277,2818048,544079872,655360
8911148,7391554,2927956628,2007784309,950618881,1252170,0,210173136,2162688,519766016,720896
7829302,6846684,2821650801,1965357319,939856238,1002809,0,210185520,13107200,481165312,22740992
12404997,9335648,3238793962,1981631923,689113326,1089444,0,210181524,12320768,625934336,0
7922819,6110744,3208058075,1959355556,788808818,799268,0,210569802,3080192,420872192,0
6645361,5545069,3070718331,2001331833,828775330,964789,1,210133839,1638400,381419520,0
8743801,6865084,2781222660,1939242789,916931702,832948,0,210090297,5242880,523894784,1376256
9174012,7571017,3366470621,1927436171,664498009,1053779,1,210136038,3538944,519176192,1048576
7122362,6239266,2434183657,1966998137,1056865983,848976,0,210104469,3407872,452132864,0
7812123,7021874,2442068487,2026888516,1055092428,1094969,4,210053139,2490368,459276288,0
8556911,7101284,3377967277,1963248007,694230360,950979,0,209971424,2752512,502267904,589824
8878222,7577695,2534723787,1952003970,955429840,790454,0,210265756,9109504,478216192,7602176
5921159,5401240,3184776310,1995070291,785194051,1026373,1,210033498,11010048,363200512,0
7154613,6407503,3257431364,1984046239,735867042,828064,0,209958618,3080192,377421824,8585216
8112627,7534024,3250036865,1969549775,760456927,855949,0,210214395,3538944,532676608,0
7701831,5008921,2455935010,1924266766,1008190500,763942,0,210561273,3211264,492503040,458752
8337614,6493040,2726509656,1998535479,975387327,1004704,0,209758149,1638400,463077376,10682368
9355463,7348886,3274048136,1953920196,704278113,890975,0,210183567,2293760,534183936,0
8700583,7553873,2440634644,1883575076,898150065,923664,0,210114867,1769472,501284864,131072
6057261,5346903,3063355542,1961377748,769732833,778393,1,210160572,6815744,360972288,8454144
7496697,5832358,3516463308,1926127816,605761634,751228,0,210312291,5832704,429785088,5832704
7952382,6925380,2996005582,1989917906,794592984,942264,0,210137412,3407872,461963264,0
7430081,6502246,2551180639,1917800766,921152382,874995,0,210132267,2162688,474021888,851968
8467838,7095963,2977173695,1978179208,778740230,978766,0,210072507,4325376,480575488,0
9069740,7245601,3374488889,1966404177,674269847,764202,0,209980794,2162688,522518528,0
10598841,8123043,2724537508,1953579498,874319611,1005424,0,210452294,3014656,587333632,1966080
8428056,6751469,2971184729,1947325034,806347778,955770,1,209959708,11599872,485621760,12451840
6802675,5500979,3496589370,1931214969,615685822,755624,0,210208860,6356992,399245312,0
7007138,5489653,3231283999,1982853843,696768702,973643,1,210105156,3735552,357171200,0
7424193,6658623,2649213470,1975369650,964060134,913275,0,210177450,3735552,469893120,0
8069364,7144673,3177074224,1994029753,742793542,1021513,0,210066387,4259840,481427456,983040
8322841,7474818,3109080412,2025428364,764964399,917789,0,210073641,589824,475201536,2424832
8506261,6705632,2698126548,1989606567,923377933,1156588,0,210172662,1769472,521207808,0
6204375,6033447,3116194998,1929320854,747895412,957419,0,210376176,4587520,397934592,20381696
9520736,7482689,3534095188,1996979702,541964162,816553,0,210108876,18808832,503054336,0
6584710,5452750,3026030812,1983790645,789865057,926747,1,210075036,3670016,397082624,0
6099234,5721155,2214299822,1989834460,1123907173,756465,0,209816757,1179648,426115072,3407872
9698246,7921226,3267151245,1992615933,657083588,805288,0,210129324,2293760,538312704,0
8486791,7042067,2615286667,1965198059,938080752,759489,0,210304536,3866624,508624896,2686976
4665810,3413378,3525723957,1973439137,545919685,913831,0,210121557,6160384,239927296,5701632
7033620,6086881,2762380518,2020375512,906536333,880705,0,210421975,4915200,428670976,0
9609262,7937402,3195809990,1999582722,698317854,849849,0,210099152,2883584,540934144,393216
7434738,6538710,2686633238,1989378281,872920980,810662,0,210353337,851968,459472896,0
8568194,7532190,2868505936,1963370668,809313043,666632,1,210092259,1835008,547553280,983040
6760922,5773309,3524183143,2017576467,600782332,868120,0,210110544,10551296,397475840,15794176
5590442,4113030,3419786214,2049653198,655153672,862973,0,210108213,4063232,288358400,0
8236558,6414712,2434049341,1967743443,962568110,932856,0,210208059,3145728,486998016,0
9244739,7557634,3193882684,1999014091,673634818,907899,0,210072609,3342336,496500736,0
7271543,5984319,2676920154,1974034625,893223130,876861,0,210084738,1441792,490012672,0
4542559,3159457,3564861419,1979223263,518681272,785758,0,209905264,2490368,227475456,9371648
6703586,5496357,2589939376,2024192703,953098015,816783,0,210411606,5505024,413335552,0
8145327,5797926,3196701397,1987236219,717853138,795533,0,210170669,4521984,489160704,65536
8779626,6203315,3009874047,1971379726,783017486,935645,1,210162954,1572864,499056640,0
6294134,4532778,3422544476,1981267752,574988331,636525,0,210203982,12910592,333840384,9895936
5710848,5487709,3339725591,2037596666,613498734,815017,0,210095202,5177344,353304576,0
7455489,6557352,2670732353,1992412442,825732146,750095,0,210029538,2555904,461045760,720896
