l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
73552558,49579209,8532264186,4093133803,1027500730,1258,0,455206134,41811968,4684447744,46399488
183539409,79178654,6379121411,4134347023,1680758152,2325,0,420000153,40108032,5339742208,0
160188007,79437437,5867840768,4131695088,1797174581,1545,0,419492211,41222144,7445282816,3473408
158375922,79757593,6841190742,4135404722,1627543612,2767,0,419594025,41484288,4979884032,27656192
162741178,79863719,6608702437,4133549926,1440664244,9863,0,419688990,41615360,5793316864,26476544
154151787,78897503,5676877732,4128012478,1821916590,1412,0,419990220,41877504,6947405824,0
168804728,80071906,6449029752,4134916990,1653272830,2100,0,419779014,41484288,4694474752,0
165480249,81386365,6883846338,4130513858,1625711698,1717,0,420222708,41549824,6691487744,0
145649156,77645928,6249005594,4131938017,1674296891,2289,0,419458764,41484288,5778178048,29753344
166920586,80697670,6343296188,4135542935,1531210217,9173,0,419344443,41484288,4883021824,0
164374401,81736917,5874059207,4128671626,1878905802,2086,0,419649336,39190528,7482638336,10354688
138935240,69977479,5346608566,4098059520,2108805673,2174,1,419960262,22020096,4642897920,23265280
160868748,74346481,6074074462,4135635079,1811762689,1713,0,419669148,33947648,6306594816,0
135553771,77614985,6035875392,4113587046,1785820262,2035,0,420032109,35323904,5745213440,4784128
159026222,77626521,6246339071,4127840050,1731650028,2131,0,420227028,35127296,5776408576,0
153260108,74940776,5429953210,4124297375,1961878696,712,0,419355399,37027840,7021330432,15400960
143299511,79255652,6229712673,4118641109,1653364825,2236,0,420204408,37486592,4883415040,7536640
157186702,76963461,5446595141,4129469770,1952044804,2044,0,420170823,34603008,7190544384,0
140658813,75811405,5507922405,4114974911,2005092942,2392,0,418841211,35389440,5442961408,6619136
153037472,77665286,6417593316,4129627661,1635835413,2157,0,420088503,33751040,6196625408,0
137108022,74027747,5480701955,4110383693,1834573558,1180,0,420035766,36503552,6085148672,20447232
160254610,76727309,5878355902,4127038188,1892114901,1860,0,419268750,32702464,5421989888,0
148055082,73659869,5171642935,4118633894,2051385460,1977,0,419886765,36765696,7087194112,12845056
141652678,79623508,6257213907,4104566039,1662560578,1901,0,420015813,36175872,4748607488,786432
156810496,76568845,5554779559,4134031774,1959190657,1548,0,419546595,37093376,7145586688,0
147536586,78624946,6085279508,4129069792,1776736790,1953,0,419751411,40566784,5404426240,13565952
164093952,78531705,6374792806,4134327302,1546432536,1600,0,419734503,41680896,5754978304,0
155933349,73988988,5569582544,4123587707,1915997872,1096,0,419982159,37486592,6695026688,26017792
141336550,78362125,5991532100,4119757859,1744151799,2347,0,420592500,32899072,4887871488,0
147626590,74244184,5081182983,4125899619,2075223723,2282,0,419811740,35520512,7476609024,0
138157359,77582502,5680313183,4118113583,1888823698,1604,0,419725626,35454976,5113577472,26673152
151436498,76352135,5883844351,4129696204,1844275730,1827,0,419187109,34799616,6691553280,0
134282302,74916214,5617138090,4107915349,1844843997,985,0,420862371,33882112,5500436480,8978432
160229730,74916966,5868651130,4130453190,1824009022,1369,0,419633049,35192832,5896732672,0
137813652,73651849,5524105799,4127372080,1955876426,1792,0,419644215,37421056,6447235072,17432576
150773523,76999342,5717122958,4115140915,1846599532,2328,0,419951457,35258368,5347344384,0
145961078,72497014,5006248649,4133839555,2104922084,1959,0,418967340,35651584,7189757952,20512768
145044960,78912407,6221644286,4123022640,1668987557,1551,0,420602304,36175872,4890558464,11403264
155877355,76103997,5598931385,4132594171,1948198674,1599,0,418889580,34144256,6954614784,0
136372288,75342475,5495687714,4106595168,1955928013,2018,0,420651451,34799616,5445451776,12517376
156781652,76763157,6237198003,4132774454,1691162442,1635,0,420205214,33685504,6056771584,0
138504848,75003004,5549574434,4128493587,1872360483,1092,0,419397206,38338560,6161432576,22347776
153837078,76766445,5874554818,4117231375,1848187999,2185,0,419050270,33947648,5461770240,0
147769609,72071828,5133763797,4120712295,2044508775,1232,0,419888721,36634624,7053443072,21692416
145213317,77913731,6146643714,4112908912,1710355026,1593,0,420845754,36044800,4774494208,7208960
151325611,74764721,5432457969,4133627241,2037698208,1843,0,419514350,35848192,7149977600,0
140052648,75206203,5474758411,4129117739,1902601745,2695,1,419407276,35913728,5234360320,11993088
161063352,77753892,6332534727,4134152487,1677852015,1433,0,420051669,37224448,6031015936,0
141553264,75126660,5775555549,4126071068,1850669547,1475,0,419753286,35323904,6060965888,25165824
155757252,77090824,6082402003,4126381173,1780302021,1699,0,419859675,35651584,5291507712,0
148418636,73377174,5178151154,4119090071,2067396330,1770,0,419134911,37158912,7224688640,15663104
145588742,77902614,6173549894,4112613401,1676173042,1508,0,420248629,36175872,4569497600,9830400
155941639,76087235,5777306113,4133687109,1882179724,1453,0,419484131,27656192,6843858944,0
131708069,74000123,5186391448,4116776577,2038512311,1689,0,419537184,35913728,5631442944,0
155311353,76271981,6125173537,4129388742,1734908512,1659,0,419742159,33751040,6086787072,0
133584547,74466849,5650536901,4118759950,1916048360,1708,0,419910126,36634624,5965479936,26345472
155689044,74317102,5705001804,4123915622,1841919661,1964,0,420323112,37748736,5549064192,0
147359651,72133240,5204764544,4101646351,2004192472,1101,0,419270671,37945344,6799425536,22085632
146652540,78055163,6395765122,4128172455,1629785782,3167,0,419798732,34668544,4594991104,1769472
154948851,75989245,5645568318,4132903642,1939858768,2079,0,420132051,37814272,7093157888,0
142481144,74934353,5482025407,4134777897,1866149618,1173,0,420363894,34996224,5268111360,11599872
162542629,76624828,6319560881,4135216622,1694572160,1512,0,419574141,36438016,5843845120,0
144511346,76604781,5683466891,4134740099,1877291701,1484,0,419046228,38797312,6391726080,18874368
162905429,79558037,6498529752,4128879960,1681289516,1740,0,419668875,35717120,4830986240,0
149270416,75277688,5230667641,4130717641,2058734213,1656,0,420293902,34406400,7442923520,851968
145684018,76576257,5893267112,4134232070,1818934828,2000,0,420109970,38469632,5012193280,38928384
154746509,77239046,6283504414,4133528475,1694061910,1468,0,418849281,36044800,6385958912,0
136664589,75783424,5934464955,4108593735,1747064097,957,0,420699019,38666240,5752029184,24969216
163720759,74765907,5630630141,4124236552,1851463124,1571,0,418761479,35454976,5483724800,0
153056117,74749025,5371800959,4133253807,1944578495,1390,0,419791167,38731776,7036141568,26476544
156638163,78501499,6238683892,4133025412,1693399490,1905,0,420781697,38535168,4610719744,0
159282813,77640775,5815758055,4134641220,1876982274,1263,0,418999960,36175872,6927876096,0
139521807,75253717,5669948433,4124872614,1875093310,1666,0,419789406,35586048,5398921216,12582912
159776571,77112109,6355043852,4133935637,1704738801,1583,0,420112272,35651584,5748555776,17563648
139032267,73472668,5417917093,4134565097,1962947460,956,0,419392284,35586048,6541410304,0
154688779,76836821,5924300084,4123025987,1793889930,2074,0,420533421,35258368,4970512384,0
146377301,73013541,4969049044,4128231828,2124494303,2005,0,419336094,36569088,7406878720,4390912
145702188,77550290,6187076715,4130307574,1700682899,1536,0,419678637,37552128,4642111488,25821184
157256646,76290592,5800288738,4132263520,1871738963,1280,0,420096396,36241408,6702301184,0
140718231,75653893,5877023535,4124814879,1801927711,2118,0,419608167,36372480,5367791616,17825792
159845560,76255260,6250602595,4133905715,1764869888,1851,0,420007854,38141952,5770903552,0
147147581,74110051,5562852010,4112098657,1906987250,1537,0,419371539,37289984,6554189824,11403264
147900934,77274468,6493452588,4134597332,1589029938,1786,0,420422586,38666240,4617207808,12582912
156661929,76437469,5506454207,4127134950,1956131528,1944,0,419268195,37945344,7302873088,0
137231285,75045759,5728800453,4116456619,1764849242,1220,0,419739034,36765696,5192024064,20643840
159099618,76809395,6296960195,4134405466,1589888321,1438,0,419792300,35061760,5894176768,0
143452848,74629694,5501130757,4129142892,1844751607,1157,0,419720048,37617664,6333726720,20971520
159041509,77398766,5957240008,4133314748,1737989058,1468,0,419783137,36241408,4936892416,0
151487192,74240607,5111495696,4130015453,2112181496,1775,0,419692593,36896768,7434600448,0
153179894,77819529,6085450588,4127423862,1767404856,2022,0,419822619,38404096,4821352448,29229056
163600364,78578053,6424629712,4133612652,1739003859,1881,0,419887281,38666240,6358892544,0
138786104,76448963,6069294915,4125737430,1768616733,1580,0,419955604,39780352,5811732480,27918336
170338908,78616853,6449663559,4130946142,1728036164,2180,0,419591910,38404096,5360713728,0
152122711,75907075,5223146995,4130124631,2057152644,1607,0,419749559,36372480,7387873280,18022400
155394653,79075101,6719391022,4128408955,1658011592,2414,0,419942070,37814272,4567072768,10158080
162688096,79068064,6207385272,4131699173,1794537198,2312,0,419715795,37814272,6558842880,0
137586808,77119833,6211411919,4132109554,1747647970,1851,0,419794995,36438016,5564399616,30801920
164611961,77048033,6406548140,4132991993,1755467617,2022,0,419797743,38993920,5519441920,0
151804398,74414220,5282424975,4126539915,1996688435,1698,0,419590857,36503552,7027490816,24641536
147458371,78631879,6753232738,4134389170,1599364614,2260,0,419819047,38928384,4676059136,2031616
153091144,78765604,6161089895,4132511814,1808661883,2063,0,419729504,35192832,6943670272,0
135747451,74298570,5871778996,4127597416,1788996226,882,0,419820696,37158912,5332140032,18481152
155405799,75938103,5913066701,4126029818,1653407997,3570,0,419849706,38469632,5755240448,3997696
150704563,72098041,5369543164,4129244011,1883075765,831,0,419852763,39256064,6558187520,4063232
155851874,76673399,6138282028,4119399892,1707126696,1679,0,420016422,36765696,4570284032,10092544
154124442,76255202,5396891946,4134695427,2021287440,1421,0,419920639,37224448,7353597952,0
149759123,75880796,5670304978,4129127190,1905114299,2527,0,419853305,37093376,5168365568,16973824
163720950,79050323,6808479843,4136052060,1643114887,1509,0,420005371,35651584,5933301760,0
136959856,72778038,5802299337,4127402906,1869602894,1620,0,419785418,37158912,5947654144,23068672
154169279,74123843,5526155763,4118616520,1900700378,1940,0,419681608,35848192,5401477120,0
147373333,72852259,5091834056,4120944428,2038099836,1913,0,419673669,37617664,7060783104,17498112
139139895,77222022,6314436829,4105600945,1619631128,1525,0,419769798,37748736,4617273344,3604480
155479211,75415122,5530112982,4133612865,1898316072,1273,0,419671478,35782656,7079395328,0
145136753,75294629,5300738959,4114096890,1977199359,2014,0,419723848,37027840,5353308160,14417920
159494735,78568531,6613301086,4132018082,1700650521,1403,0,419717409,36044800,6048251904,0
140073233,74664345,5870965931,4116173119,1828379262,1857,0,419947817,37945344,6124994560,24444928
151560552,77259908,5866179088,4125508944,1710074300,1588,0,419645603,37158912,5193662464,0
149256222,72471239,4991819945,4118239129,2059010077,1000,0,420003481,39387136,7393247232,24444928
151963431,77652451,6258537820,4104321977,1730612295,2173,0,419698587,36634624,4669636608,7929856
152001624,77549449,5984048988,4132112423,1844338937,1288,0,419531035,36634624,6925975552,0
135986878,74475937,5735345596,4116524192,1790194671,1081,0,419746343,37552128,5364318208,4587520
159026489,75445614,5985344193,4127050184,1690800079,1668,0,419787271,35258368,5787222016,10616832
148030861,72540575,5277107407,4130037708,1937392785,1589,0,419898331,36634624,6525419520,7733248
160341276,79214547,6422442933,4127382666,1710133800,1825,0,419748215,36241408,4587782144,0
153606982,76442687,5381403531,4125223094,2006416483,1619,0,420045868,37879808,7460814848,12320768
147661768,76043682,5820591832,4110402512,1853087512,2273,0,419891986,37617664,5053808640,15728640
162050778,78848496,6803063042,4134887859,1630617869,1727,0,419681694,36896768,5988679680,0
140088836,75800145,5976279205,4124507603,1820439962,1934,0,419651842,37552128,6065422336,26476544
153899091,77083407,6359139440,4128204311,1658107078,2285,0,419791881,37945344,5035458560,0
149287775,75215075,5306714500,4128558760,2026703448,2041,0,419644996,39583744,7430209536,0
146477627,75330963,6046165119,4126388120,1660053497,1412,0,419792251,34996224,4639358976,31195136
158821035,79453900,6842115697,4133420871,1607224058,1778,0,419646689,38469632,6386417664,0
141539579,76902772,6155414055,4126203441,1732859912,1513,0,419638719,37748736,5884870656,29949952
157672830,75851513,6377100892,4131914097,1663146487,12958,0,419915634,39911424,5116985344,0
152519779,76043353,5380185754,4126058081,2019412589,2070,0,419646043,39321600,7418281984,0
150179506,78608523,6501589510,4101397310,1634753512,2486,0,420008127,40566784,4673503232,38535168
165182001,79684997,6684926477,4133886243,1705889954,1886,0,419737857,40173568,6315376640,0
141195575,75967258,6041246297,4125810794,1745887132,1648,0,420190635,39780352,5806817280,40632320
170363288,77048281,6343932138,4132742576,1740981248,2319,0,419736405,38338560,5105057792,0
152543269,75926454,5217874567,4129612287,2016977714,1471,0,419690037,39714816,7433486336,0
159144712,78289689,6188755006,4127207423,1687075019,1630,0,419750869,40239104,4761845760,38076416
162559971,77965558,6360390709,4131462746,1642293939,1331,0,419750711,38928384,6142623744,0
147632032,76751097,5966684832,4123663645,1706694724,1476,0,419753025,39845888,6023938048,21430272
159453977,79486629,6321312116,4128648441,1583313791,1849,0,419483926,38535168,5009047552,0
