category,kmeans,SP
runtime,36.65147542953491,128.5150327682495
l2miss,39813478.00571428,161892215.34123224
r1b2,1024947.5942857143,773492979.6208531
l3miss,4213254.7485714285,78687640.74723539
instructions,3050875984.4742856,6384048642.387046
cycles,2358673934.2685714,4132669532.840442
stall_cycles,1063650462.12,1648412908.1548183
intra_coh,27745496.8,4921.898894154819
inter_coh,0.16,0.12164296998420221
wall_cycles,419821056.01714283,419818190.01421803
llc_size,2109510.217142857,41328368.22748815
local_mem,303479614.9028571,5813018766.35703
remote_mem,615663.9085714286,17986163.665086888
