l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
234149,248747,878050957,473131584,109478473,0,1,498286932,327680,122486784,1638400
106526,102952,954068645,497068947,111552722,0,1,419378256,0,33357824,4194304
106044,101828,965943011,501509915,112677128,0,0,419483747,196608,29163520,3080192
107280,104821,938433214,495458432,117337348,0,0,419464390,131072,28442624,4128768
103040,102185,955351754,501441861,116717165,0,0,419638023,0,31981568,3014656
106431,107876,967652361,503096731,113527968,0,0,419761116,131072,28704768,2424832
108625,109408,958779336,496636401,113539827,0,0,419245806,131072,32768000,2883584
104232,104650,960296464,500185454,115403134,0,0,419634916,0,28377088,2490368
107303,106679,949779268,496143461,112522138,0,1,419418398,1048576,32833536,3211264
106543,103051,951636302,497640993,113174955,0,0,419558436,0,29032448,2883584
105589,102630,967218568,501412474,112194894,0,0,419702729,196608,29360128,3407872
105825,101833,940368264,494657219,116673262,0,0,419180746,131072,32243712,2555904
104941,105300,970809860,503628827,113136093,0,0,419586252,65536,28835840,2621440
102914,105565,962290357,503387805,114947546,0,1,419404200,262144,32374784,2424832
106373,108160,947744435,500486894,117945574,0,0,419430770,131072,28442624,3604480
104339,104353,961445348,499133155,115048411,0,0,419876198,131072,30539776,3866624
106470,106665,956948196,496338492,116550327,0,0,419219745,65536,29818880,1835008
107255,108360,939562415,496710222,117833392,0,0,419760934,131072,28442624,3801088
103358,102300,949352110,497781550,114234600,0,3,419407561,0,33030144,2490368
107148,105437,942400048,496622748,116645139,0,0,419353327,131072,27918336,2949120
105877,99715,935828519,494026704,116286883,0,3,419761708,1835008,31588352,3211264
104543,101421,958623428,500037934,113536464,0,1,419672295,262144,28901376,2359296
106932,105364,946826940,496187626,114356349,0,6,419436754,131072,28573696,3276800
102669,100286,966112690,501938929,113082255,0,0,419244147,196608,32505856,3211264
105334,106434,966858472,502640672,113183819,0,0,419439525,262144,28639232,2555904
106704,107864,947365846,497927064,117989958,0,3,419446329,262144,32047104,2818048
104663,105585,966938361,499734537,111742663,0,0,419852001,196608,29032448,2752512
106751,107841,955429626,499148495,112875436,0,0,419608260,2031616,31064064,4128768
106408,102536,944273378,495056220,112800354,0,0,419425950,65536,30670848,2555904
104288,100761,960899260,499643348,111654408,0,0,419598918,131072,28639232,2883584
105567,99466,932790777,493250526,118134237,0,0,419327423,131072,32505856,3735552
103185,99522,952033618,498626808,116035951,0,3,419778463,0,28442624,3342336
102364,101302,944033927,497585767,117367526,0,0,419512961,458752,32571392,2031616
105735,105467,948278854,500366719,118385695,0,0,419702176,131072,28049408,3801088
102694,103830,958110316,503082845,116362323,0,3,419352912,196608,28442624,2752512
104893,106871,959810128,502755656,115663693,0,0,419423220,65536,32243712,3538944
106288,108526,948469621,500344402,117193531,0,1,419675980,131072,27918336,4194304
102724,104254,965479019,499898149,114415609,0,1,419308660,131072,32768000,3080192
107024,106949,952772416,496144392,116049332,0,1,419465797,65536,28442624,3014656
105368,105054,945051184,497407874,116453639,0,1,419716671,131072,28246016,2359296
104874,105948,947330736,496306034,113601261,0,0,419556874,262144,33292288,2752512
107129,108046,933096423,495883357,118822728,0,0,419797100,131072,27525120,3407872
104093,100813,945445581,497615658,115223343,0,0,419112700,196608,33161216,3735552
106280,102883,942131056,497249098,116726794,0,0,419383301,196608,28180480,2752512
107425,103202,934280042,495703113,119095625,0,1,419421703,131072,27721728,3276800
102103,98360,953821783,497595662,113010077,0,0,419416586,131072,32309248,3670016
104734,102806,944145440,497586344,115515637,0,0,419805145,65536,28049408,3342336
103828,100111,933089956,494372749,118260999,0,0,419475809,0,31719424,4194304
