l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
60049068,35450522,9036990392,3718022524,660832003,1522,0,561341661,41549824,4668915712,669122560
180389770,80079183,6521919051,4132735478,1596341386,2145,0,419403165,41484288,5300158464,0
77848303,43575604,8644944676,4091414097,985689729,1447,1,420193032,41746432,4351721472,702349312
165860328,77653466,6494270170,4133903120,1447298853,1128,0,419124682,41418752,5467996160,0
159560678,79214205,5491922273,4132685367,1869884529,1960,0,419671583,41549824,7446724608,7274496
160130733,79606755,6326576600,4132324129,1470837842,1783,0,419596626,41746432,5005901824,62783488
168049840,80575252,6849687383,4132473212,1461822184,1388,0,419355209,41680896,5998575616,2031616
158769485,79234825,5677920782,4133437063,1795527417,1451,0,420274465,41549824,7054163968,51838976
161345463,79718497,6204029736,4133049063,1585416904,2130,0,419981025,41680896,4938792960,15597568
173029563,81672677,6807845539,4135513648,1593661615,1503,0,419517684,41615360,6256656384,0
154654941,78986719,5818133757,4132866805,1728299988,1699,0,419831124,41680896,6706692096,91160576
174037696,80852432,6540732695,4134037925,1581711726,1853,0,419612118,41549824,4960485376,4653056
170712936,82376626,6375317833,4132818783,1719987955,1927,0,419616717,41418752,6861160448,0
155059355,78687930,6310076111,4134327718,1644331320,1178,0,419770614,41549824,6149308416,83623936
178095268,79646193,6568236645,4134250363,1548330383,2005,0,419724222,41746432,4903469056,9699328
172405809,83714760,6271219784,4132921015,1820068469,1873,0,419598156,41615360,7446790144,0
152436976,79739722,6461577280,4133080747,1610312605,1599,0,419827587,41680896,5601492992,77529088
184283254,80006353,6628132483,4133438610,1585694658,1725,0,419565477,41680896,5167316992,0
170142626,82048480,6164112067,4132625434,1811545922,1619,0,419671335,41549824,7467368448,19464192
159172454,79178582,6338356828,4133666736,1680439173,1659,0,419354457,41549824,5471731712,54460416
183318285,81280392,6838633533,4131117436,1565784798,1903,0,419513493,41484288,5564530688,0
168519696,81289028,6135416077,4132858754,1849003595,1736,0,420060271,41418752,7461732352,20185088
166576037,79918386,6524297243,4132732325,1642586916,1419,0,419770997,41549824,5162467328,43712512
180403926,81669921,7006154836,4131563114,1518249690,2195,0,419419477,41549824,5892079616,0
168050832,79595806,6042811603,4132379286,1818502277,1575,0,419872409,41615360,7314735104,89522176
170205903,79958818,6608550252,4131393472,1640290184,1751,0,419711811,41746432,4963303424,0
177067636,81359774,7446806778,4130514210,1402719695,1809,0,420308355,41615360,5952176128,0
168847059,78874656,6179409050,4133814255,1751216486,1584,0,419371808,41746432,7030439936,78839808
168804128,78910245,6886614483,4133680976,1566503364,2531,0,419638201,41549824,4904845312,26935296
170918395,81387075,7062888460,4132867982,1533843048,1682,0,419732484,41680896,6585253888,0
161199683,78098195,6436930754,4133467161,1626479656,1516,0,420110616,41680896,6359678976,98172928
170752163,78752594,7238532923,4136292850,1498096185,2601,0,419587503,41746432,4908580864,6422528
165024535,82705267,6339270708,4131985068,1645629879,1974,0,420108818,41418752,7250313216,0
157584789,78525578,6854273594,4135036873,1496426755,1626,0,419404165,41484288,5797380096,93323264
169081553,78120042,7056602385,4132837312,1487153726,12853,0,419835122,41615360,4954324992,0
167827345,82541544,6139058829,4133281373,1690894593,15438,0,419716222,41615360,7487881216,15597568
149824934,79446517,7014123438,4133291262,1506799271,1877,0,419683848,41680896,5578424320,42008576
167125983,77516530,6801892280,4132961536,1475996866,2436,0,419618478,41549824,5433393152,0
163003965,79495009,5677590428,4132219378,1786341366,10146,0,419744388,41418752,7468482560,14417920
153044573,78537841,6829908713,4133717965,1498962473,1852,0,419674450,41615360,5224660992,63176704
163469835,77444263,6639623087,4133070412,1427218038,1440,0,419882588,41353216,5776277504,0
159711747,78964368,5613117983,4133563136,1827497052,1350,0,419858271,41549824,7356481536,76087296
