l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
21338772,70294,2029422407,4000610155,2591769165,13988951,0,500737551,131072,44302336,458752
21524743,68411,2038651256,4003503855,2593154864,14110370,1,419643843,262144,37683200,131072
20503841,79824,2026865667,3995541664,2581402517,13721325,1,419664759,458752,36700160,196608
21047932,65809,2046897471,4004359055,2587132556,13826076,1,419641863,196608,36831232,131072
21080235,70044,2037951352,4004160534,2591748979,13957330,0,419734029,262144,37224448,327680
21049002,78026,2025961780,3999500590,2588864324,13790150,0,419608308,196608,36569088,327680
21236575,66048,2043192150,4006096598,2595533530,14050999,0,419686011,393216,38469632,131072
21344454,71999,2037885975,4002120427,2591217419,13963124,0,419835972,393216,38076416,327680
20747737,78844,2032621478,3998712365,2583984303,13705907,1,419838840,196608,36241408,65536
21216950,67423,2042639367,4003958199,2589072114,14012957,0,419538039,393216,38207488,393216
21183073,73688,2039523749,4001410707,2588397350,13947531,1,419506563,327680,37224448,262144
20882629,74450,2035452146,3999937556,2584078655,13716064,0,419783529,131072,38273024,196608
21368072,69868,2042048284,4005466092,2592425039,13967944,0,419685252,196608,37617664,131072
21115158,74706,2034761702,4001659947,2585293198,13830354,0,419677929,131072,37421056,262144
21112600,71595,2031007727,4001181930,2586240382,13722135,1,419844486,262144,36962304,65536
21176689,68453,2046318202,4005677252,2590469884,13972364,1,419629881,196608,36896768,327680
20693710,79920,2031108268,4001332080,2586000791,13787748,0,419698797,196608,37289984,65536
21433643,65741,2039884775,4005326318,2593948156,14032361,0,419690895,131072,39059456,458752
21304862,70148,2036361360,4004006012,2594907365,14006041,0,419503806,327680,37617664,262144
20682252,79235,2024781608,3999578634,2586483058,13754981,0,419899497,524288,36634624,196608
21428972,66403,2038524100,4005507089,2593705154,14112229,0,419696760,393216,37421056,524288
21283343,71567,2031380570,4001639468,2591565039,13983544,0,419496357,393216,37552128,524288
21189055,76658,2021487620,3998432657,2585038268,13812341,0,419729451,196608,37355520,589824
21145671,66038,2033219758,4002811811,2593729856,14128857,0,419546598,262144,38010880,0
21196188,70652,2033846547,4000918774,2589652729,13847318,0,419710995,327680,38141952,262144
20952838,74101,2024395554,3999271559,2587124906,13742838,0,419752608,65536,37879808,262144
21475696,67832,2034132696,4004374715,2592388960,13965570,0,419636103,196608,38010880,655360
21258839,74993,2028808441,4001878210,2587241800,13823237,1,419729184,196608,37945344,262144
21160351,71338,2028335003,4002495169,2588385533,13780124,1,419642883,131072,37552128,0
21524021,70125,2037204392,4005265298,2592596322,14159671,3,419839833,393216,38469632,393216
21180548,77152,2028043207,4000183800,2586424421,13874845,0,419887191,196608,38141952,131072
21261010,68951,2037005300,4006987819,2593071838,13930709,0,419590254,131072,37421056,196608
21278745,71020,2031674626,4006246041,2596319463,14037819,0,419757060,196608,39256064,262144
20901913,80123,2021550653,3997849971,2584897822,13701959,0,419684721,131072,37552128,196608
21234769,64449,2037251628,4005162957,2592367100,13958983,0,419622324,196608,37683200,720896
21217162,70705,2029727026,4003823205,2595687034,13936280,0,419743269,327680,37814272,196608
20878304,77503,2018793966,3997856711,2588637271,13790036,0,419535465,327680,38535168,196608
21330235,63606,2033749221,4004018816,2600349702,14034776,0,419792584,131072,39387136,262144
21141049,73075,2022265542,4001903138,2597179892,13927974,4,420218096,196608,39321600,131072
20893482,74453,2024004847,3999149773,2590298317,13910849,1,419925516,131072,37879808,262144
21751813,67044,2037308871,4005599900,2595571014,14178884,0,419712804,262144,38666240,262144
21364841,76590,2030615487,4003793441,2593215195,13946533,0,419784555,327680,38010880,524288
21489186,71446,2024991721,4000881579,2593519066,13739583,0,419574300,131072,37486592,131072
21487050,69717,2029463985,4004951851,2599820716,14134216,0,419689165,262144,37748736,262144
21282578,77534,2017059998,4000137618,2592876335,13729627,0,419725365,393216,37814272,65536
21446838,69813,2029957381,4001601307,2595835809,13970573,0,419679020,131072,37224448,196608
21379797,70734,2037137921,4005687785,2595161929,13986267,0,419808912,327680,37289984,458752
20891984,83583,2021176520,3998797666,2588515627,13728273,0,419875890,196608,37158912,458752
21330753,65225,2036635258,4007139247,2595948203,14123362,0,419548320,0,37814272,655360
21258884,71388,2026858684,4001124958,2596615919,14003318,1,419678079,262144,38797312,0
21050266,79171,2019123618,3998174660,2589249123,13761293,0,419631870,327680,37486592,196608
21420317,67033,2033494434,4004145356,2598024577,14161954,0,419751207,131072,38862848,0
21440125,70388,2027622292,4001855650,2593568802,14103876,0,419695941,327680,37027840,131072
21020285,76747,2016578503,3998059863,2594122255,13770267,0,420183028,262144,37945344,327680
21466216,65136,2030305210,4003691262,2597102639,14191572,0,419475060,196608,36962304,65536
21367976,75645,2026896175,4003235226,2596226122,14079908,1,419702426,393216,38273024,655360
21252840,74035,2025438122,4000063614,2588369720,13884653,0,419761305,196608,37224448,327680
21495419,69223,2034081001,4004853517,2597622247,14111383,0,419559519,196608,37683200,327680
21353198,74279,2023414038,3998390595,2592163071,13924576,0,420000777,196608,36438016,393216
21391723,72045,2024468244,4002284594,2595993163,13952592,0,419752314,131072,37552128,393216
21556911,68536,2036716511,4007804039,2598694805,14168255,1,419645193,65536,37552128,0
21031408,81180,2020441128,3998948408,2590154560,13997765,3,419714562,196608,36896768,327680
21666272,65954,2031877869,4005636508,2599481923,14162704,1,419881655,327680,38469632,393216
21310695,71822,2028591328,4004517142,2598682041,14003209,0,419844151,131072,38141952,327680
21061654,80927,2020416980,3998503581,2589547925,13762277,0,419390535,262144,37486592,262144
21457901,65475,2030145097,4005051504,2599697856,14207955,0,419725587,327680,38797312,196608
21272505,71202,2029080968,4001675935,2593566616,14044777,0,419669580,458752,37683200,458752
21231253,79378,2018417917,3998339448,2589151055,13885686,1,419726070,262144,37355520,131072
21511810,66767,2031732132,4003504262,2596545040,14181247,0,419520147,327680,36634624,262144
21356172,73407,2027414034,4002085591,2595624175,13944061,3,419666565,262144,38404096,196608
21174942,75823,2021383617,3999114076,2590036958,13902264,0,419630181,131072,36896768,196608
21749989,67799,2032648590,4003093980,2595636219,14122714,0,419654919,262144,38535168,720896
21210532,73574,2024571879,4000904753,2592960186,13899695,0,419994615,65536,37421056,458752
21240918,70869,2028480656,4001800088,2593170228,13923222,1,419704977,196608,38338560,327680
21695023,69024,2031948056,4004927024,2597905485,14108346,1,419754198,65536,37814272,131072
20929749,77547,2023871073,3999343040,2589556173,13887235,0,419902632,327680,37486592,196608
21498368,67363,2033737016,4005989255,2598943093,14145072,1,419561652,131072,37945344,262144
21380725,69797,2033309900,4005181885,2596207648,14013162,1,419678307,262144,38338560,196608
20907033,79550,2020655287,3997682707,2591231973,13862118,0,419910234,196608,38010880,458752
21198604,65651,2032689426,4004880468,2600708439,13979352,0,419801802,262144,38010880,393216
21149180,70844,2029657414,4002901143,2595664801,14054456,1,419584827,196608,38404096,458752
21212253,78940,2019358060,3998059025,2590114935,13915025,0,419437356,327680,37617664,65536
21707290,64864,2031842101,4004110018,2599418917,14215911,0,419757792,262144,38338560,393216
21404927,72942,2025904941,4002112323,2594574774,14016959,0,420000876,327680,38600704,393216
21081710,77922,2021437398,3999920196,2593266778,13839887,0,419816118,327680,37617664,0
21743539,65642,2030837479,4005137097,2596795742,14243248,0,419686287,196608,38141952,65536
21319277,73595,2027620492,4001512179,2594011957,13925327,1,419622423,262144,38273024,131072
21429272,75584,2023681622,4000155758,2589943043,13981897,0,419751156,65536,37814272,983040
21445738,69628,2033776089,4004902132,2595432919,14072314,0,419664684,131072,37945344,393216
21320072,75233,2021412176,4000463115,2592159423,13925986,0,419660607,131072,38404096,131072
21435353,70227,2029807826,4003166633,2597529147,13959241,0,419695812,262144,37879808,131072
21640996,68656,2034801021,4005894133,2596683214,14156962,1,420047838,589824,37158912,524288
20775269,80402,2019747672,3996076513,2588527377,13703983,0,419388309,262144,37093376,327680
21315077,67076,2035598362,4003000067,2594781413,13986627,1,419592516,327680,37289984,262144
21327104,72880,2028534975,4003595564,2597403037,13890035,0,419645910,327680,38076416,65536
20938040,79167,2021258160,3998013900,2588307539,13807032,1,419696604,196608,36634624,65536
21547898,66548,2033488488,4006277227,2599983256,14220706,0,419700993,196608,38535168,393216
21298183,71287,2024271188,4002131499,2595971107,14095388,0,419622396,196608,37683200,327680
21027320,77487,2020464331,3999849536,2591081201,13933456,1,419934174,262144,38076416,0
21425197,65977,2032000523,4003908568,2597522746,14072329,0,419674179,196608,38797312,458752
21197089,74251,2030549341,4002579287,2592543306,13960674,0,419668620,131072,38207488,262144
21269604,73871,2020713075,3999527594,2593866851,13922871,0,419629869,131072,37945344,262144
21687361,67973,2032897419,4004493993,2598059028,14235490,1,419758005,327680,37945344,917504
21255718,78252,2026544913,4000517414,2591672147,13875786,0,419718729,393216,37748736,131072
21184628,70610,2026360782,4000830230,2592532848,14025101,0,419788746,131072,37289984,0
21656020,68831,2026311946,4004540477,2599594196,14170272,1,419781873,196608,37879808,524288
20939767,78006,2023927847,3999155356,2588055486,13786255,1,419613213,196608,37683200,196608
21471304,65399,2033762953,4004025521,2595464822,13992991,1,419705835,262144,38404096,196608
21389219,72836,2031158563,4003483865,2598161335,14075046,0,419774934,327680,37289984,851968
21021236,79103,2019146398,3999265403,2592151761,13839586,0,419725089,393216,38207488,196608
21450939,67029,2035948996,4005526196,2596259500,14088095,0,419573511,131072,38273024,393216
21314859,71564,2030684145,4004047716,2595304051,13934762,0,420005703,393216,38404096,65536
21086838,79733,2016994096,3998443380,2590624232,13851068,0,419578632,262144,37814272,196608
21299718,65031,2030653455,4004778637,2600515825,14055307,1,419799780,131072,37421056,327680
21344139,72830,2023702850,4002314693,2596631939,14053509,1,420061341,393216,37224448,262144
21194437,75990,2018439309,4000424498,2593870399,13886522,3,419679237,262144,36831232,262144
21389034,66314,2034552840,4003288566,2596104812,14124958,0,419852559,327680,37617664,196608
21427431,73225,2030018717,4002680806,2593168853,13913966,0,419695101,327680,38469632,196608
21398735,74045,2023144741,4000970538,2593615431,13992758,1,419591667,131072,38535168,196608
21535969,70238,2031767846,4004310989,2596216378,14028754,1,419759121,262144,37945344,131072
20903926,76625,2022756297,3999599143,2591432957,13758246,0,419584182,196608,37814272,196608
21538702,69303,2031944284,4004397960,2598011693,14158888,1,419693541,196608,38273024,262144
21599834,70673,2032464231,4005008549,2597694841,14131015,6,419818230,262144,38273024,65536
20978163,77724,2020264479,3999614424,2591512586,13820469,0,419937069,196608,37552128,393216
21225550,66372,2035764139,4006017832,2598454160,14007749,1,419650026,131072,38469632,327680
21278397,72522,2029553664,4004057043,2598223248,14238788,0,419910130,131072,37748736,393216
21040899,79524,2009204712,3998459419,2594228383,13719340,1,420209072,458752,37879808,196608
21359916,63285,2031607440,4006524071,2600129197,14092618,4,419481603,196608,37617664,327680
21572406,72012,2025860424,4002081094,2594478543,14090186,0,420086649,65536,37158912,65536
21028919,76951,2017173495,3998570816,2592551031,13864289,1,419674890,196608,37617664,0
21560476,66279,2032330787,4004108826,2595600112,14017113,0,419706618,262144,38404096,262144
21292125,75796,2026993277,4001382358,2594771694,13862352,1,419683455,131072,38010880,65536
21341479,73179,2026269203,4001706251,2591420138,13945490,0,419660913,131072,36962304,458752
21541400,68351,2033710720,4005318146,2597787950,14085688,1,419764770,196608,37879808,262144
20983113,78899,2022995121,4000021090,2591006694,13834422,0,419769393,196608,37617664,262144
21333333,70698,2032339544,4004718736,2595745289,14033365,0,419629500,196608,37683200,65536
21488093,67875,2030348974,4005530885,2597711482,14065802,0,420211029,327680,38273024,524288
20970434,81477,2023772385,4000603790,2590135413,13802373,0,419446365,262144,37814272,196608
21314757,67327,2030690837,4005290921,2597905925,14111875,0,419706273,327680,38076416,262144
21166795,70614,2026868355,4000941273,2595659804,13808319,0,419567250,65536,37224448,196608
21059543,77866,2019705130,3999358457,2590561767,13789702,1,419792886,262144,37814272,262144
21551199,67996,2030800539,4003999425,2597538257,14292363,1,419814714,262144,37814272,458752
21390515,72460,2028836783,4001362312,2592213942,13894709,1,419631759,393216,38141952,262144
21257879,75259,2021692764,3998164336,2589690988,13829728,0,419660850,327680,38010880,65536
21586934,67063,2030796373,4003860484,2597356356,14142646,0,419793315,196608,38076416,262144
21174340,77710,2028657960,4003555683,2595329141,13866549,0,419696628,131072,37683200,196608
21331608,70439,2028932641,4001541574,2589215581,13769758,0,419575707,0,37814272,327680
21630784,70448,2031209791,4005786996,2598892105,14177916,1,419753208,262144,38010880,131072
21203062,77769,2026411657,4001231832,2592680951,13970384,0,419704329,262144,38207488,0
21172119,70312,2032386601,4001796691,2593981669,13936761,3,419701533,327680,37158912,196608
21532608,68478,2033597143,4005878597,2599159716,14143961,4,419818818,458752,37486592,262144
21060576,81800,2020439868,3998868614,2590561922,13817750,3,419783295,65536,37617664,0
21382633,65276,2038159310,4006764347,2596466758,14197182,0,419591508,262144,36962304,393216
21157570,69784,2028705202,4002825596,2596029505,14019113,0,419730214,262144,38076416,131072
