category,raytrace,SP
runtime,89.26317811012268,130.21703386306763
l2miss,33998083.0882353,799969991.5444618
l3miss,10663848.9479638,393873394.9843994
instructions,12645338857.692308,31418047058.307335
cycles,7111286621.934389,20645904038.01872
stall_cycles,2476025351.2217193,8380463652.737909
intra_coh,519316.44796380086,17044.290171606866
inter_coh,0.5203619909502263,0.015600624024960999
wall_cycles,2098970355.4751132,2099546291.3182526
llc_size,6030942.986425339,205025439.75039002
local_mem,767173757.1040725,30560174463.400936
remote_mem,11512540.090497736,55642211.04524181
