l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
21865415,14542378,4937852233,2076038204,342109019,604,0,266357946,41549824,2010120192,0
51746292,29482867,3813516302,2029185072,638000860,910,0,209915070,41943040,2984706048,48103424
95648705,40199929,2966263034,2068888068,871886104,9242,0,210138696,41943040,3371696128,0
73604986,37583756,3528336835,2070709108,590466642,924,0,210452448,41943040,1659830272,0
69721711,41750081,2702221393,2067876153,898112915,1391,0,209895969,41943040,3777757184,21954560
93377996,40304649,3087356116,2068376192,950373567,8044,0,210426849,41943040,3622436864,0
78557208,38842695,3317450531,2071597314,611875705,558,0,209716221,41943040,1683423232,0
71615867,40181793,2763204730,2067748408,916844754,1016,0,210268821,41877504,3563847680,13041664
90523070,40774115,3023985062,2070276730,972949604,1100,0,210283710,41943040,3825532928,0
81517952,39400353,3414724021,2069993018,657472551,579,0,210211794,41484288,1692205056,12517376
74108142,39276529,2783302478,2066859046,1014381878,988,0,209961180,41811968,3300720640,9764864
87118102,40668302,2980664636,2068875082,928003227,9964,0,210132978,41943040,4053860352,0
93375547,40748681,3869839385,2068540335,637521411,1341,0,210498558,41943040,1706557440,0
77866867,37937910,2701216016,2071415387,1012801132,649,0,210092250,41943040,3040215040,22609920
86976608,40205235,3276799812,2067134815,806098085,3337,0,210361425,41943040,3975020544,7274496
84225292,40170257,4137168687,2065841465,580286884,972,0,210115620,41943040,1756037120,0
77480655,38580371,2862822698,2069791177,998204827,1579,0,210291528,41943040,2939944960,32571392
83658762,39331531,2995533476,2067750505,771579438,474,0,211293513,41943040,3925278720,0
79600321,40866942,3851758951,2071178190,628544120,11150,0,209004558,41943040,2195456000,0
77439957,38502044,3219616866,2068233829,851157905,1400,0,210074628,41811968,2530082816,24838144
78144611,37923680,2891959037,2069187510,836113497,588,0,210590892,41680896,3930652672,3407872
83151998,40875098,3222858119,2069452293,754653639,9129,0,211350235,41943040,2628190208,0
76102770,36886190,3125354626,2069415932,719240903,1059,0,210103816,41943040,1983709184,34209792
71997425,40496488,3037650169,2070068819,936182919,664,0,209710464,41943040,3946708992,0
97097934,41188294,3144022111,2069214346,901228458,1537,0,210120697,41811968,3108569088,0
80789880,36449882,3404292606,2066767104,699230472,824,0,209991054,41943040,1424687104,36372480
69908773,41603722,3140890034,2067915242,939084771,575,0,210294034,41943040,4006871040,3997696
97511305,40425086,3258057595,2069863253,819397111,12274,0,210270299,41877504,3325296640,0
