category,SP,streamcluster
runtime,143.75645685195923,155.56218218803406
l2miss,147004796.5486601,22602357.314285714
r1b2,783743025.2750353,466372.9519480519
l3miss,76765671.43300423,19924815.64285714
instructions,5680080609.636107,1413665872.1909091
cycles,4131483659.957687,4052907616.0636363
stall_cycles,1888367279.6572638,3268759602.8311687
intra_coh,1646.9985895627644,1901083.3402597404
inter_coh,0.0,0.08701298701298701
wall_cycles,419945159.6868829,419930420.8051948
llc_size,34780297.20733427,9873466.514285713
local_mem,6157025672.846262,1263409987.1584415
remote_mem,20192944.925246827,2851667.116883117
