l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
51901536,232033796,29106613,8376036126,3742909599,819139959,970,0,564107709,36241408,4323999744,68354048
167563011,867181418,78105007,6191327712,4133640427,1739989730,4756,0,419476515,40108032,6028722176,0
74222871,319351040,42886389,8082394044,4088956788,1213755738,2278,0,419752701,35192832,3419799552,53542912
146844806,1138288076,73981106,5525981468,4131716878,1835446708,1000,0,419937678,33488896,6812598272,327680
126594662,612313111,74304450,4653281207,4133519734,2181105039,1206,0,419496426,30146560,5777588224,0
146872539,970692827,76037826,6131351763,4129715222,1758086301,1697,0,419606532,31391744,6426787840,5832704
125588794,630069552,74910151,5074740955,4133468958,2084190508,1175,0,419878125,29949952,5975572480,16908288
153128486,870576465,76820196,5928184213,4129923831,1939850987,2149,0,419580522,26214400,6220283904,0
123103239,700395154,75026806,5367690576,4132667509,2042599685,2064,0,419645190,34865152,6228344832,52756480
157098669,767427127,75284148,5318769076,4131307698,2086454629,1328,0,419934768,32768000,6071910400,8650752
132273885,960827129,72694312,5006322637,4136128109,2066235324,1362,0,419513484,35913728,6580273152,0
144505533,627419675,75093469,5199368149,4130897120,2027699325,1688,0,419724411,27918336,5678039040,0
144841580,1158573169,72589384,5061673968,4133242636,2004075105,1302,0,419760069,36306944,6951337984,36044800
128550453,474372099,77432384,5500479832,4131795586,1877008976,1228,0,419553459,31391744,5288624128,0
145906347,1206166790,72385572,5065836858,4136320797,2162090370,1517,0,419881836,34865152,7384137728,51183616
128499834,372027881,78908565,5981495152,4133099145,1803353847,1185,0,419700657,30932992,4834000896,10027008
148455012,1145542823,73766976,5085043236,4134420670,2242476453,1875,0,419690802,32309248,7468810240,0
134618036,450213889,77470126,5566796000,4128409953,1966904033,2437,0,419723442,34865152,5228199936,58851328
148399538,1072511994,74370805,5316144199,4135921331,2057425251,1061,0,420189882,31391744,7011696640,0
132133981,593611174,75361980,4908664999,4132716985,2182906487,2173,0,419581614,35323904,5711986688,73531392
146727371,992390850,73400094,5397282579,4129722929,1864352962,1262,0,419820912,29622272,6595477504,0
129693805,680229985,75289668,4950246822,4134252956,2089815854,1502,0,419475453,33030144,5853937664,31850496
145386637,982200472,74686585,5761334298,4130144400,1793549705,1178,0,419812461,30539776,6328025088,0
125801934,632195990,75259440,5190875089,4134645861,2063337373,1212,0,419587305,32636928,6036127744,36110336
151161570,891898050,76327378,5831274489,4129952526,1916107493,1787,0,419635680,31391744,6121783296,0
128015609,837761364,74719202,5156726077,4134798433,1968404710,1285,0,419728644,36962304,6516178944,63569920
146684074,656972312,77091882,5663284529,4134870435,1761633746,1210,0,419723550,34537472,5556338688,0
144551549,1091533518,73820330,4916817853,4135045176,2102043857,1513,0,419908872,38535168,7348092928,58654720
142478837,449642856,78582613,5880113179,4133304249,1679616969,1378,0,419519631,35389440,4923457536,21299200
152462491,1040654093,76464047,5476214617,4134590916,1987584399,1731,0,419652144,33685504,7122518016,0
129780989,624684316,74863917,4939187057,4134760343,1953495404,1662,0,419609997,33423360,5712117760,21954560
153669551,775738502,77398843,6076808668,4136471156,1744995074,1424,0,420018675,31260672,6257836032,0
130293116,719154143,76570408,5436896722,4134415931,1913676365,1330,0,419711019,38010880,6263144448,46465024
154175972,694878472,77258671,5549224581,4121084919,1830449062,1417,0,419628603,33488896,5690884096,0
147833826,1051318868,73666614,5151677489,4129416544,2097093441,884,0,420123426,34865152,7140474880,63897600
144316713,357990074,78821658,5875818073,4134598929,1734437191,1362,0,419690883,37814272,4877844480,18087936
154177171,1079468251,77200883,5479148258,4134289341,2111251142,1323,0,419551290,33816576,7349075968,0
140381292,544158297,75605935,5019344221,4134838080,2034353304,1028,0,420173334,37879808,5561057280,40239104
159964900,811406308,77810943,6299797345,4133664042,1809619642,1647,0,419460762,33882112,6362103808,0
135899108,597353407,78690345,5820573870,4134109029,1925884511,1152,0,419512668,33554432,5969018880,62980096
166023734,765931042,75729791,5592648764,4132623879,1968408148,2099,0,419885145,32768000,6032785408,0
146421249,932161018,75531787,5512109046,4135119448,2019088749,1054,0,419440494,37748736,6873808896,56557568
155987037,441627340,80501152,6101825119,4133595598,1808118042,1685,0,420081903,32636928,5031264256,0
153974244,1137047483,76102680,5478461730,4129001127,2106694921,1775,0,419459790,33161216,7514554368,21954560
147789587,439832474,78711589,5526618984,4133451781,1949558789,2012,0,419941473,36765696,5318967296,50135040
160005183,1002885651,79196587,6343082631,4135527546,1815432008,1512,0,419600361,33161216,6701711360,0
138452519,595441650,77822240,5718343813,4134306403,1938180812,1587,0,420039249,32833536,5850333184,50200576
163702967,843541913,77539374,6221329511,4134277039,1788291146,2032,0,419265864,36831232,5999951872,39256064
143070089,964252848,75917501,5479203108,4134404286,1964632672,1111,0,420173097,37289984,6667632640,0
153648906,569152028,79759503,6174787887,4132905774,1832553584,2750,0,419560146,34930688,5274468352,0
149752228,1261154163,74614284,5125843606,4136247793,2045038821,1962,0,419943975,34209792,7537164288,7274496
147696050,421446727,80370783,6306057646,4132751642,1758670117,2372,0,419619237,37748736,5045223424,56885248
156014243,1145998732,77602646,5984728717,4134193563,1777755158,1422,0,419430627,35258368,6977880064,0
135512594,653763794,77501152,5524103718,4135045629,1941845918,1723,0,419594355,34340864,5720637440,12779520
155433861,883536853,77439468,6294383384,4134720360,1705811399,1829,0,419971263,32899072,6097600512,0
138392808,962356488,75792357,5550810353,4133937448,1861602834,1789,0,419528250,36896768,6511329280,66912256
