l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
8686421,1813760,8538491,1483297061,1139165090,556591635,17688,0,391017781,39649280,667942912,14614528
25556807,2223563,22157092,1613868235,2957154687,2082301966,66003,0,419695214,39714816,1460076544,0
23185642,653743,22137374,1561955019,3047365872,2194788728,57620,0,419928682,39583744,1429471232,1769472
23549407,963049,20228790,1465000608,3291870709,2478483876,1879383,0,419777658,39845888,1292894208,0
23975041,176022,19234269,1385386964,3307379553,2530644914,3212954,0,419904325,39583744,1242628096,4063232
26162349,195928,19579065,1413461792,3254528258,2470949502,4544754,0,419609097,39649280,1237909504,0
31168928,314405,23032172,1669703128,3277522889,2340067421,5614395,0,419923772,39780352,1471283200,0
30885427,171012,22928753,1662972334,3274761916,2352525616,5402601,0,420210464,39780352,1471086592,8192000
27202931,138215,20477573,1488373445,3269869193,2441382137,4613779,0,419627241,39780352,1289879552,0
25193078,141667,19079948,1387047236,3321013067,2540044179,4166109,0,419882239,39714816,1218314240,0
26432536,388026,19357129,1409147282,3241646745,2453430974,4705749,0,419896296,39649280,1245184000,2162688
28511453,220687,21149362,1536394678,3321521480,2465619587,5025466,0,419894292,39780352,1347092480,2949120
29510957,299975,21611704,1569703213,3315905359,2434771529,5316333,0,419641305,39714816,1378615296,0
25037293,141766,18607383,1358059089,3314494136,2553242871,4394270,0,419821396,39780352,1190330368,1114112
26646102,151020,19820702,1431427660,3206486588,2404795833,4535880,0,419792940,39649280,1270415360,0
26203684,106979,20065743,1457864755,3302576612,2489133343,4221689,0,419604355,39714816,1272709120,3997696
31442958,357273,23210646,1676698059,3257495273,2324212798,5601843,0,419918218,39649280,1472724992,0
24736947,284766,18319696,1331648215,3288502854,2540864327,4464037,0,419487558,39845888,1170538496,65536
26694610,257829,19651944,1430706263,3322422328,2524237454,4798192,0,419958308,39714816,1257242624,0
26183506,168128,19777561,1428699071,3269288302,2468151779,4654763,0,419526621,39845888,1263009792,0
31916974,193470,23525250,1714669713,3265625811,2309893437,5596503,0,419960551,39714816,1505165312,11141120
25933803,151851,19272011,1395384046,3242085828,2462554596,4409359,0,419653934,39780352,1221656576,0
26510909,219564,19555479,1415894035,3319867638,2522870280,4705318,0,419867707,39780352,1252982784,2031616
25671848,196798,19198640,1397118445,3320263567,2531602396,4519034,0,419624405,39649280,1222967296,0
29707545,273332,22373314,1617313048,3298013858,2408528982,4974830,0,419636203,39714816,1410924544,3932160
28822072,247217,21308190,1543272996,3307899965,2449090359,5047683,0,419866057,39714816,1355022336,0
25950635,299893,19191488,1386500329,3301754057,2529828267,4581642,0,419987614,39845888,1213005824,3538944
26032474,197432,19268963,1400539600,3252803276,2472401383,4530272,0,419818172,39714816,1229848576,0
27737457,113990,20716908,1505164852,3255177959,2413201408,4654823,0,419752500,39714816,1328939008,3866624
30384994,256846,22451288,1634799539,3317990335,2407020949,5348183,0,419829557,39780352,1423900672,0
24610052,161520,18516806,1340220163,3326983606,2567468694,4152215,0,420038837,39780352,1186136064,1376256
26537230,270264,19644165,1425721434,3255190607,2459423640,4643555,0,419815130,39714816,1253310464,262144
26462177,346009,19592879,1412437316,3275302888,2484190504,4709209,2,419770771,39780352,1250623488,3276800
31413084,209842,23217599,1679902069,3299025032,2356140972,5584607,0,419593445,39780352,1476788224,0
24751022,150548,18463055,1340565376,3322052634,2566430329,4299948,0,420010302,39780352,1180237824,1703936
26761139,205939,19964386,1448535263,3312068808,2501186629,4689925,0,419813608,39714816,1265827840,0
25750378,444967,19063067,1386451095,3320912225,2545757797,4608523,0,419888357,39780352,1216151552,0
32591497,596099,23184582,1666414344,3308668503,2380090684,6247842,0,419644801,39845888,1482948608,5308416
27890397,434006,20311895,1454910981,3206086276,2404169113,5101788,0,419785302,39780352,1284243456,0
26839736,579958,19216451,1401503149,3250271194,2472255834,5122484,0,419842710,39780352,1232273408,5636096
27290784,486502,19724063,1430157211,3310281283,2513801953,5145303,0,419682793,39714816,1253703680,0
30453343,794687,21938959,1590418625,3197664001,2324227643,5982781,0,419751031,39649280,1406926848,4980736
30776391,792813,22114572,1595396430,3245982965,2363653257,5953349,0,419768186,39714816,1403125760,0
26399673,546380,19290897,1385742305,3266095876,2498883465,5067110,0,419973921,39714816,1215037440,0
27964606,498423,20180552,1457421788,3203010737,2399882429,5133941,0,419879320,39780352,1291517952,4784128
28970161,571082,20589715,1487929597,3217449846,2389349916,5433283,0,419516416,39780352,1319436288,0
31373366,459750,22780538,1647560081,3313465774,2396787503,5911378,0,419764936,39845888,1442447360,0
26704498,800925,19044707,1364947636,3233260107,2485207140,5245281,0,419769857,39780352,1205469184,3014656
27999502,620068,20223084,1449249798,3204759127,2398849174,5421344,0,419918812,39714816,1287585792,0
27526087,541779,19844454,1429158408,3223109044,2433749777,5183530,0,419870412,39649280,1266941952,3670016
32762637,425245,23798551,1718627329,3254507521,2303717201,6078184,0,419693935,39780352,1515323392,0
26506509,633532,19137476,1379231197,3285352380,2513272236,5178321,0,419728747,39649280,1214709760,0
28330657,586098,20148409,1449686015,3170123942,2368536907,5241827,0,419939566,39780352,1285488640,2555904
26733051,479029,19247884,1389261080,3231040870,2458334220,5065190,0,419943376,39780352,1223753728,0
24340176,100139,22751673,1666170708,3285341454,2373128243,695308,0,419939708,39714816,1454899200,4063232
21170427,16227,20153249,1465221048,3325837265,2529564437,75269,0,419743710,39780352,1277296640,0
20265196,16291,19213584,1398774782,3331844352,2566223075,74813,0,419579283,39780352,1237254144,2097152
20123918,12099,19385352,1402569582,3330623118,2570775391,70325,0,420001284,39845888,1221263360,1310720
22423206,61998,21264177,1561401689,3322643578,2471068164,81111,0,419546919,39780352,1367932928,2818048
23006433,11184,21864787,1589620534,3324940812,2464226050,78603,0,419693173,39780352,1386151936,0
19555343,12938,18642486,1364669117,3328302153,2581181681,73213,0,419989879,39649280,1207173120,0
20479495,11534,19693735,1425231479,3327542007,2553512688,69608,0,419488947,39780352,1242169344,131072
20851227,12200,19873587,1449267718,3327823764,2540115015,71635,0,419981763,39780352,1278279680,3145728
24307426,15170,23224239,1702094169,3321299679,2402171391,85982,0,419718370,39780352,1479933952,0
18926290,9172,18163531,1329508397,3328928862,2607208813,67644,0,419755012,39714816,1160314880,0
20785940,17834,19741017,1437266989,3316640260,2532384893,74612,0,419865580,39780352,1262026752,917504
19412183,12697,18822564,1374621411,3328562578,2581138862,70471,0,419662305,39845888,1198194688,65536
25261451,12097,24230655,1766330908,3322161633,2364174012,88369,0,420098155,39780352,1548746752,1376256
19861799,11957,19123398,1393399008,3327694887,2575501514,70252,0,419804637,39714816,1200816128,0
20473312,13116,19521351,1424308939,3326128312,2552972437,72554,0,419413399,39714816,1256718336,0
20214343,85119,19008149,1388344374,3268290456,2510887072,72308,0,419777925,39714816,1206517760,0
23408758,11044,22424725,1626260407,3322082383,2434947992,81868,0,419687355,39714816,1437335552,7864320
21925405,10805,20990328,1539895408,3323488254,2490027770,76090,0,419822218,39714816,1337131008,0
19752225,13165,18871244,1375543927,3328422560,2578860526,68852,0,420073774,39780352,1206452224,1703936
