l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
22252771,130073980,23399001,3265668161,6755485359,3582699854,1472,0,742509315,41811968,12268011520,0
4162058,48112,5494048,4366243176,8297880212,3697273601,100,0,420065316,41943040,512098304,196608
4164402,7092,5494612,4365726901,8299994337,3698663168,37,0,419977191,41877504,512163840,0
4164659,23638,5501478,4367429259,8304117652,3701606579,50,0,420437943,41943040,511705088,1114112
44919503,661252873,39147823,4939947904,8284172018,4593245548,672,3,420238959,41877504,4221829120,65536000
583412768,701406437,161643414,21876172213,8244811734,1545841399,16179,3,420090210,41943040,3588620288,0
607465592,879499336,155877376,21719506004,7970663702,1162930436,14724,0,420212709,41943040,3332767744,19267584
611244906,1053874139,158482692,21076093123,7951106913,1386388714,15357,0,420248322,41943040,3879469056,13893632
551915530,1077380146,168122799,19290276218,8270582000,2232104863,19454,0,420275442,41943040,5255266304,36438016
158805275,299441430,53259892,8582352206,7820957302,3059105902,5149,0,420211314,41811968,1678049280,0
4148836,5457,5507188,4368718952,8304961182,3700928291,115,0,420236643,41877504,512360448,655360
4137806,6457,5508694,4366009157,8301459499,3700365416,52,0,420323883,41811968,509149184,3342336
4143408,7876,5503490,4367420841,8301936636,3699804158,51,0,420322887,41877504,512294912,0
41701804,608168132,38554486,4957615212,8290081766,4742030539,531,2,420425241,41943040,4435476480,77201408
568430171,737171681,157589789,21662504410,8248761959,1328685246,16357,0,420543267,41943040,3429236736,0
613591838,908042414,156143777,21660999636,7991630519,1230970237,14355,0,420464403,41943040,3342073856,11206656
617052067,1049806574,157762573,20979526680,7929908107,1422943989,14765,0,420102663,41943040,3880714240,20512768
555936193,1056032251,166603812,19328516135,8251164636,2198053986,19418,0,420177585,41943040,5154537472,5242880
218778724,1811929386,93593901,7975712098,7963925612,4934328985,4760,0,420782328,41943040,7515209728,45350912
442203311,1524093067,127787092,15170617028,8257387592,3369621148,13712,0,420264579,41943040,5730074624,0
