l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
142676083,1547789210,83640358,8921395512,7175634659,3437109270,9495,0,473725388,3735552
150067944,1258888953,89567436,9505604839,7895482182,4229533430,334551,0,420675918,2555904
178893710,2238244515,90483894,10906692445,8257794775,3729637576,374672,0,420995423,2621440
156871646,2218695605,85395089,8480266846,8235260167,4862715845,4489,0,421217980,2949120
117594306,1645210051,91539065,8023819774,8245433854,5694431133,11234,0,421022240,2228224
169075923,1873802648,95503140,10811271291,8256447674,3806239046,434700,0,421096815,2686976
162310870,1989053432,86172269,9189129037,8251775606,4349326408,326430,0,420728819,2818048
178217629,2272045061,88920655,10772795606,8247332363,3743999888,2573,0,421008380,2686976
158866750,1747627067,91909792,9510939904,8243869554,4597371338,435605,0,420589200,2883584
180927777,2222036612,90086594,11026145720,8257196204,3739472045,180638,0,420755822,2686976
194772777,2289779596,89608521,9683520318,8252901245,4314035131,226714,0,420677597,3014656
164031487,2033134517,88434585,9582209147,8245722052,4437848496,331609,0,420915293,2818048
181440911,2268472565,89689730,10795635642,8253222523,3785573289,2570,2,420531332,2818048
170322798,1819662648,90995263,8808310778,8252455205,4601107281,538405,0,420497144,2883584
177283824,2194913375,89770189,10904458630,8253376279,3763143681,219060,0,421075730,3276800
181259833,2301946863,90421907,9759995728,8243086692,4145444091,420342,0,420709478,2949120
163358005,1985418682,87093831,9096717438,8248958631,4290190976,315459,0,420872044,3014656
177795901,2217393693,89023542,10813086780,8262568886,3729598221,553,0,420807849,2490368
158028957,1782309599,91796537,9622900624,8250697514,4583306847,477288,0,421101211,2883584
181474753,2253327026,89813061,10927705233,8245876955,3708332240,220867,0,420714816,2883584
188213679,2388909341,89383872,9344603225,8253530353,4289069082,180196,0,420737505,3014656
163254241,1936359848,88920900,9802124094,8257792452,4397816057,346097,0,421072743,2621440
181332759,2254451849,89714288,11020252278,8253025720,3738455848,2584,0,420992763,2621440
172069460,1815480318,90608184,9169764241,8254459956,4727303680,286330,0,420929546,3145728
179657172,2232610627,89560258,10970044088,8262863473,3728623127,256191,0,420988911,2752512
183448655,2329330298,89473850,9330389173,8248414260,4163742607,451247,0,421037072,2949120
168692551,1994241013,88064588,9492710755,8248756107,4283980557,301656,0,420866524,3014656
177283033,2184974349,89769944,10914240282,8253535768,3760740565,9129,0,420520121,2752512
157784773,1806317905,91594461,9518907848,8260713256,4569151951,498595,0,421233411,2621440
181660374,2269414163,89429099,10765969844,8245869223,3762318145,245978,0,420847532,2752512
188863098,2445842229,89533383,9380640241,8243404348,4226406509,172744,0,420530737,2621440
161552757,1869827809,88647494,9953401447,8258641781,4346095609,312983,2,421030795,3342336
180997770,2237914636,89780413,10970563178,8253391232,3747737222,2842,0,421022375,2818048
171518862,1821838401,90992764,9281344338,8248683499,4755278729,250267,0,421005354,2883584
181171371,2264172075,89464703,10832532316,8252563608,3739338827,277311,0,420599067,2949120
188051306,2410319359,89807146,9378154285,8259212592,4221786788,435272,0,420948923,3407872
167766530,1910795957,88108804,9469655424,8247015600,4356806835,293459,0,420870541,2490368
175371259,2232855976,87958778,10843506040,8227966234,3794387684,42190,0,420744980,2818048
163568055,1750763736,92796577,9381839564,8116014753,4511150611,455923,0,421072734,2490368
182468297,2305272850,89027759,10679267153,8256751002,3779685657,259959,0,420804365,2359296
190504065,2434256603,89706997,9709844867,8259060649,4079684138,322811,0,421165659,2162688
161647207,1861548660,88735130,9646400827,8258501223,4468695123,298393,0,421060302,2883584
179049178,2208381957,89731677,10973758388,8262260030,3755323140,33408,0,421008023,2818048
168564943,1836511218,90928273,9236288874,8255543546,4685613883,289324,0,421045177,2686976
181946842,2290132633,88835954,10711310547,8256028408,3779870820,299863,0,420976208,2752512
190366838,2472368168,90479675,9617620110,8250878076,4123828548,395513,0,420582077,2752512
161327931,1810665616,87791551,9504709072,8255361343,4380127513,264407,0,420765160,2490368
178136024,2207200039,89558795,10914700785,8252665015,3767314893,60659,0,420936322,2883584
160948709,1781550295,91301821,9313766210,8257031195,4573754745,381355,0,420967354,3145728
182935400,2327977253,88826426,10599700764,8259827201,3794108611,282461,0,420932683,2293760
185936973,2442465797,89425199,9660145314,8247591828,4069734139,177855,0,420920382,3473408
159377948,1777783441,88555287,9863025061,8252805489,4475227577,449891,0,421087643,2359296
178733438,2207641658,89578502,10938985623,8252479426,3748040166,65169,0,420853647,2949120
167609407,1815550765,91480683,9217688206,8259883573,4643318590,257243,0,421180081,6291456
182196871,2329595390,88169590,10528657668,8257981978,3814370491,331999,0,420966968,2490368
171875268,2034810841,90308338,10735798252,8254126646,3610295895,3595,0,420909852,2424832
855020,20152,992660,145068402,119002373,31971582,903,8,420205620,40828928
