l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
11365576,295696,15980855,24328753613,8284927078,21562354,73,0,606941826,41091072
11343122,242,15978522,24297769420,8275816763,18406305,55,0,420075288,41746432
11349366,50,15988644,24310201497,8279431230,18773888,66,0,420143980,41746432
27624202,64530803,20344932,15567029631,5424633963,257591624,245,0,420718463,41811968
45061939,76264106,40595203,21300835149,7089430714,278074744,389,0,420520680,41418752
23882364,72664,34611839,21882926673,8269256155,1063535727,118,0,420104655,41746432
14918080,292,21132320,13394375919,8270739102,3651866814,15,0,420405344,41746432
15311108,167,21721524,13769071639,8272658728,3527507119,22,0,420112961,41680896
13905904,394,19539459,12355265770,7243396489,2982881517,98,0,420344345,41746432
14943808,398,21147761,13403028308,8278629438,3688098796,38,0,420303430,41811968
14910942,143,21115536,13387761720,8276973824,3690063781,49,0,420316316,41746432
45337535,297056953,48317381,8226872933,7548824119,4645566758,185,0,421039792,41746432
88313133,1375256996,55230694,2212963249,5006791030,3993508193,564,0,421742749,41877504
107657106,1471094862,57533122,2229668482,4722136322,3760630287,254,0,420729748,41811968
132955493,1424344155,77832817,6295125895,6374695026,4050284834,314,0,421149390,41877504
140523519,1659092110,91892563,9756778265,8266153203,4802186923,67,0,421622758,41680896
139649291,1649659454,92418253,9886448995,8261242844,4695426455,14,0,429206454,41943040
137955625,1684286373,93336803,10074693500,8257157580,4558703603,16,0,412858954,41877504
151465110,2151755071,80640003,7961019235,7702001296,4658548739,98,0,421534536,41680896
203099896,3777507862,62390169,4539380931,8260602668,6143991538,106,0,421741236,41877504
203372577,3779149522,62361762,4539744133,8252614893,6136191650,59,0,421156011,41680896
197611983,3051934863,68540942,4599046374,8080471074,6020063673,379,0,421450641,41680896
195693808,2977315704,69849858,4598546258,8256963357,6216927387,39,0,421693681,41877504
136880874,1155289516,82666455,6922500753,8109597001,5547102132,987,0,420535640,41680896
263346256,182856685,98714008,22332094491,8283106668,678283032,2244,0,420027150,41615360
263226158,182271391,98611856,22336216293,8284485824,678006174,2361,0,420420036,41680896
263383838,182975844,98638225,22326418916,8282695825,677546849,2256,0,420115453,41746432
263277900,183335049,98669216,22323500341,8282142994,677123410,2194,0,420322807,41680896
263415842,180410286,98686066,22332847435,8281388043,674602477,2128,0,420369116,41680896
263342393,183535380,98575719,22321070899,8281926983,678043794,2136,0,420123158,41680896
230343238,159259782,85946290,19483380298,7276260652,611211101,2162,0,420297478,41549824
213902623,88496608,70928916,14671021068,7562786155,2286755257,1070,0,420434404,41680896
234983634,95319590,77462665,15964184083,8279363011,2534211916,916,0,420263052,41680896
237955337,96348096,78408083,16151699900,8275419576,2462967869,849,0,420178885,41680896
236413266,95360332,77940166,16066703022,8277485249,2495463279,733,0,420456391,41680896
235017059,95279378,77358456,15952200788,8274940608,2533548686,798,0,420052884,41746432
234925558,94998953,77376113,15953810408,8277945772,2536849119,800,0,420396132,41680896
234882773,95026154,77451098,15958788819,8277062649,2536112709,807,0,420070367,41680896
235163839,95041495,77502119,15967511246,8276349514,2529919152,770,0,420316933,41680896
239396056,97402053,78926672,16257763165,8276684765,2426475672,866,0,420548844,41680896
212827067,86044869,70101482,14451845748,7530712195,2313887729,911,0,420194794,41549824
160532848,59856078,52926860,11005240294,5883393111,1876818353,893,0,420144214,41746432
226188351,83023712,74668261,15527056187,8280006974,2632189454,473,0,420193141,41746432
226080150,83027689,74738007,15527510925,8278663281,2633185922,574,0,420622571,41680896
229257132,83847888,75772447,15738099009,8275815096,2551649624,739,0,420263329,41746432
227610381,83338582,75177038,15627825736,8278845846,2594863122,582,0,420209339,41746432
226246819,82853914,74701767,15516344819,8278161220,2634441614,500,0,420054624,41680896
226221498,82497939,74737558,15517499371,8278904873,2632206759,430,0,420370632,41746432
226342158,82632810,74714326,15514119189,8277849779,2634285626,524,0,420187136,41746432
226520036,82988357,74749055,15529627309,8277977270,2628543852,535,0,420339265,41746432
230773951,84499682,76162311,15817414599,8277515527,2522716451,620,0,420528547,41746432
120977353,155815245,41809707,7964340887,4645560351,1785639607,552,0,421070018,41811968
129603745,2060359959,84856946,3471304612,8217555740,6875269729,509,0,421262986,41746432
39256172,600104373,39426397,17100939892,8259638146,2512819008,249,0,420079694,41615360
11340404,4003,15975771,24299695971,8278150445,19429980,59,0,420348582,41680896
11336850,141416,15966466,24289071528,8276923224,23065160,65,0,420107089,41680896
11338310,158090,15972129,24297709234,8278672012,20067140,65,0,420572208,41680896
111971124,2501186556,61155842,5209752848,7680658298,5574368453,865,0,421287179,41877504
150749513,2903954921,81555711,3036556115,8235172927,6928436417,222,0,421070401,41680896
141412311,1673191146,90864600,9642697919,8186232206,4759352706,154,0,421529236,41877504
140698683,1662768635,91898316,9758609690,8261236364,4797356135,58,0,420907533,41811968
138759070,1697279132,93173814,10078852001,8254167220,4595836874,16,0,420887173,41877504
138077130,1689920611,93576459,10095874060,8257962355,4552327017,27,0,421431346,41811968
182545783,3178075322,64933407,5278167000,7699624773,5403015843,297,0,421468149,41877504
203375286,3789263701,62374505,4538876527,8256005648,6136632540,85,0,421184339,41877504
202731947,3475950940,63702946,4521863969,8072614441,5976423620,429,0,421643132,41877504
195497736,2978535595,69816296,4596382686,8263309909,6221285942,29,0,421572606,41877504
170999784,2411187919,72557839,4600208395,8132632396,6142777184,499,0,421476986,41877504
195790492,363346264,93740752,15501457382,8257958516,2952519136,1920,0,420077795,41680896
263446007,183339672,98676143,22328106612,8283194863,678895974,2204,0,420322633,41746432
263230135,182580713,98643020,22320982228,8281699971,678699967,2099,0,420326619,41746432
263120466,182899336,98604070,22317370874,8281557892,679183539,2094,0,420085680,41746432
263284470,180360438,98665646,22327607288,8280356079,675741168,2131,3,420253487,41746432
263312731,183207768,98631589,22320788491,8282429017,679432284,2332,0,420409993,41746432
263260507,182779744,98646017,22314792805,8282491117,680609296,2176,0,420264844,41746432
196875565,111432467,69737049,15254672289,6568847720,1286893697,1787,0,420237406,41680896
234798092,95232668,77423823,15947084933,8278157060,2538235519,1001,0,420243670,41615360
238111498,96927707,78535454,16180117276,8274496804,2451688591,1032,0,420388205,41680896
236136115,95967345,77835652,16034688964,8276655209,2505480023,986,0,420005302,41680896
234652591,95373329,77397266,15946671198,8277939905,2537107551,913,0,420452409,41680896
234619895,95214265,77345933,15951617547,8275751067,2535110130,951,0,420417397,41680896
