l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
1438001,2935,605437,10899553926,6215060970,682998461,160,0,473444879,0
1305928,1360,621768,7643413577,4339998104,480884755,17,0,420451976,0
1428919,1067,607826,4385390490,2502467572,281904226,3,0,420547063,0
29081353,50784,8409401,3689107709,3703130818,1275174282,2112227,0,420578810,524288
43820119,39924042,22122402,3180472079,4766638883,2383336954,2747268,0,421150021,3342336
64434995,178653822,50611329,2236169175,3595938248,2827777478,278,0,421144979,2490368
63823251,177852185,50408901,2204730654,3581012387,2802371697,316,0,421061710,2752512
19365139,17708045,17754962,24347950926,8053613662,1506976364,40057,0,420909797,2686976
15401090,4246983,15003715,25374366783,8288475391,1445364911,58254,0,420861152,2818048
15112765,3017086,14925076,25370334631,8284676907,1423326933,54357,0,420834103,2949120
14590945,2267806,14599625,24978765632,8284581105,1520480450,9355,0,420619197,3342336
14205367,1598012,14358653,24620895622,8287288321,1608858588,36666,0,420854990,2752512
14044853,1183762,14319300,24492085495,8289793609,1639248494,10203,0,420836592,2490368
14027733,1038895,14412752,24414699827,8280426415,1647674416,21623,0,420618856,2949120
14092652,935110,14604319,24392646174,8280865963,1643231676,29774,0,420719675,3276800
14276920,772086,14875152,24706197365,8286347516,1570269916,42780,0,420599494,3473408
14092403,803347,14776683,24294833612,8288391251,1674615471,47647,0,420983157,2424832
14160192,737210,14909289,24231908843,8286345542,1681982628,40757,0,420707687,2883584
14092721,593275,14916768,24091104793,8287945984,1716394393,42027,0,420855003,2883584
14163544,574554,15072566,24044532093,8284834905,1721896600,44124,0,420751951,1966080
14427485,499009,15446574,24332493067,8279570539,1640335874,30300,0,420411572,2752512
14495748,609543,15589576,24186851097,8284811883,1683993381,38307,0,420873043,3014656
14557648,614317,15737777,24078336663,8289424895,1716361457,18855,0,420828880,2293760
14656626,609874,15925597,24077100062,8287482187,1713025264,36974,0,420808080,3604480
14742569,586791,16060302,24028237298,8287583491,1715074680,35023,0,420903292,2097152
14835727,543652,16184689,23992277020,8282750442,1715954077,34348,0,420565782,2490368
15091986,502777,16570656,24284778855,8284876436,1648020682,4197,0,420583953,1835008
14954902,551127,16489350,23893114774,8287896326,1745822548,6472,0,420865773,1966080
15161349,634171,16713392,23918747291,8289013392,1734863450,21699,0,421027600,2621440
15357333,744586,17033048,24012555832,8286503168,1715842614,9154,0,420666050,2031616
15464531,761976,17198011,23987500902,8288181656,1715535048,2585,0,420945974,3538944
15772860,815419,17630395,24274438251,8281615637,1633045500,23611,0,420408295,2949120
15771429,884504,17669100,24088681439,8286171839,1684849328,17804,0,420935725,2818048
15784331,881115,17679674,23945468265,8290701930,1724911458,3162,0,420866676,2621440
15860881,930276,17836889,23904649873,8286564751,1724697557,4169,0,420841932,1966080
15981092,962255,17976499,23902254619,8283387042,1719304883,1295,0,420734368,2555904
16203437,1128724,18272814,24028732812,8279769880,1685938590,6090,0,420515961,2228224
16644245,1272758,18801148,24447302847,8289115132,1583854140,25740,0,420921287,2555904
16519285,1441440,18697730,24105766200,8288634955,1674853981,13263,0,420914220,3211264
16646619,1571668,18894814,24142404166,8287224055,1664398837,31853,0,420913380,1966080
16765734,1685441,19069904,24152278791,8287654665,1654722773,23074,0,420863572,2424832
16881194,1831234,19206387,24147883330,8290408218,1664245266,16460,0,420937757,3670016
17175764,1795622,19569606,24402552445,8284049744,1583249138,16049,0,420622696,3080192
17130039,2030875,19521684,24213848260,8284115167,1635678049,29150,0,420821243,3407872
17262000,2266446,19669690,24199593946,8289345083,1643837773,47370,0,420897772,2883584
17469176,2593274,19989414,24347591002,8289255622,1607159233,32398,0,421002648,2162688
17606918,2770551,20158494,24377297899,8289898189,1597479952,34579,0,420934324,2621440
17798594,2980160,20383953,24430555021,8280889780,1576075662,28433,0,420508711,2424832
18098649,3189740,20777962,24765433411,8288330632,1498267383,54339,0,420999592,3211264
18012877,3488797,20671871,24455767496,8283350936,1568545639,18288,0,420616673,2949120
18077602,3528041,20797302,24387941906,8284806681,1583830915,27070,0,420753229,3080192
18209487,3841853,20953632,24450031596,8288935351,1574706895,35486,0,420965376,3145728
18354929,4085727,21160573,24526011904,8290018692,1552318295,75097,0,421010547,2883584
18726613,4230433,21569553,24876841340,8283715340,1455565171,70859,0,420705133,2293760
18737529,4773792,21554163,24712229985,8282298413,1496588015,85220,0,420732115,3538944
18817308,5127929,21709425,24722929907,8286310279,1502746107,53189,0,420655511,3342336
18942637,5495081,21860372,24769137151,8289486143,1490009201,67398,0,421026661,2752512
