l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
3096,0,12029,1029137089,492265290,20130139,0,0,466156575,33751040
3087,0,12071,1028263762,491732754,20086415,0,0,420110008,40960000
3267,30,11366,1030428756,492807806,20130997,0,0,419891920,41680896
2679,15,8932,1027127798,491374317,20085592,0,0,419306108,41680896
3226,0,11474,1021550382,488123158,19976673,0,0,420148117,41746432
2916,0,8146,1029883442,492583127,20166962,0,0,419742071,41746432
3144,10,7751,1030009192,492753361,20160904,0,0,419932476,41811968
3152,0,7851,1029845989,492722470,20260211,0,0,419620218,41811968
2611,0,6949,1029648037,492660299,20307522,0,0,420116298,41811968
2765,2,7271,1016108247,486260962,20031494,0,0,419715246,41746432
2568,0,6690,1032565385,494059657,20331794,0,0,419769714,41811968
2669,0,7328,1029161806,492513841,20294772,0,0,419615972,41811968
2641,0,7463,1029562142,492603896,20267676,0,0,419631227,41811968
2978,4,7987,1030137028,492664991,20230897,0,0,419987453,41811968
2718,4,8268,1028045875,491845360,20185469,0,0,419603754,41746432
2827,0,6720,1016773732,486314095,19988195,0,0,420047543,41811968
3008,0,6940,1030359173,492984503,20271117,0,0,419439423,41811968
3251,0,7472,1030531753,492920730,20294705,0,0,419758632,41811968
3130,0,7633,1030725621,493232202,20327841,0,0,420064696,41811968
3163,0,7781,1029220519,492415510,20273954,0,0,419842976,41222144
3004,0,6157,1016277358,486471857,20038420,0,0,419540121,41418752
2653,0,7680,1030876534,493204406,20309275,0,0,419949567,41746432
2286,0,3938,438945413,207610079,8568086,0,10,419886996,41811968
2370,28,4564,315876155,152368166,6315063,0,42,419872380,41811968
2493,6,14080,1013996765,485169617,20059154,0,13,420033920,41811968
2432,0,11083,1030049591,492718504,20299722,0,0,419532292,41811968
2573,0,7560,1017247881,486871290,20047234,0,0,420039593,41811968
2322,0,6271,1030743193,493111488,20301915,0,0,419604624,41811968
2169,6,7173,1030014761,492604766,20335056,0,0,419914387,41811968
2223,0,7750,1030010599,492587108,20324689,0,0,419775991,41811968
2630,0,7420,1030654119,492857250,20325146,0,0,419744721,41811968
2742,0,7005,1018989868,487379830,20091320,0,0,419525520,41811968
2425,0,7026,1028609568,491968341,20287448,0,0,419918448,41811968
497692,372,104032,1017380810,495033525,38923365,0,0,419763280,41746432
60719,141,21452,1473523826,595287205,48505398,0,0,419786232,41746432
54738,378,19538,1478539205,596619587,47259606,0,0,419703912,41746432
55572,210,19300,1473667736,597204348,48868436,0,0,420054108,41746432
52766,311,18890,1472533255,597637276,48670376,0,0,419723917,41746432
2164911,1788259,952452,1527139173,593357271,69713763,0,0,420026103,38338560
46844864,3969190,22287640,3747037472,4603665089,2596126178,1761,0,420300819,41943040
59950551,2129,39973366,4297690568,7797197491,5213528484,8,0,420426046,41943040
58541356,3376,41789084,4029769523,7842947045,5395873102,19,0,420496316,41943040
59110942,2772,43233317,3948986820,7839947964,5430172108,10,0,420102848,41943040
60139498,1430,44862635,3973616347,7859295628,5426338867,18,0,420279027,41877504
57693889,2140,43548622,3776648273,7885548702,5585047538,9,0,420276439,41943040
57486721,2369,43746280,3737159888,7898102567,5621545516,16,0,420465573,41943040
57485439,2881,43842932,3710337103,7899457533,5643193496,20,0,420407717,41943040
57623136,2046,44049730,3686307723,7899985048,5652064568,13,0,420540507,41943040
60014662,2675,46384792,3866873167,7898744157,5549852486,23,0,419876218,41943040
58871572,3070,45583019,3766608587,7898211519,5623767334,34,0,420358420,41943040
58766670,1471,45421820,3730043464,7891721535,5615258131,13,0,420290311,41943040
57013842,2145,44186467,3600581415,7902811584,5711634151,22,0,420213880,41943040
56961359,1807,44452058,3590526758,7917345952,5720709581,14,0,420337321,41943040
57478711,1278,44913675,3597330047,7898703961,5709202250,18,0,420145578,41943040
60616801,1968,47386847,3798262054,7910716884,5606724628,15,0,420546641,41943040
57028629,1349,44727804,3551643252,7922121218,5750622282,9,0,420345374,41943040
56697058,1453,44716965,3531943924,7942812261,5774635123,22,0,420453345,41943040
56640751,1195,44712871,3528062503,7939492111,5789755789,18,0,420407773,41943040
56459329,2181,44489115,3540668627,7938319401,5783039948,21,0,420375347,41943040
58487488,1678,46185509,3688150211,7906840273,5683894483,19,0,420078942,41943040
57819161,608,45372517,3661224855,7937040938,5726407212,22,0,420366342,41943040
56329262,1325,44111912,3546936635,7935085216,5773094264,20,0,420373240,41943040
56218793,1130,44185712,3540366958,7936532447,5780848466,17,0,420184517,41943040
56101125,1465,44227329,3534365593,7934771469,5778262015,13,0,425052740,41943040
56891789,1242,44740981,3559068569,8014824420,5846161473,16,0,420025617,41943040
59216828,1874,46612835,3717327446,7921839966,5663423611,11,0,420412666,41943040
56047090,1629,44129301,3508468630,7939160919,5797977157,28,0,420519800,41943040
56033721,1390,44239257,3505803877,7936560896,5800582203,14,0,420484056,41943040
56043957,1760,44140650,3493676606,7940268765,5810002630,15,0,420412509,41943040
55944439,1319,44013264,3493177522,7936519200,5800603878,14,0,420660507,41943040
57707038,1931,45638458,3624605103,7942299730,5714014305,19,0,420093830,41943040
57320592,1136,45376897,3587969838,7960903897,5765016374,21,0,420430702,41943040
55718790,1441,43892252,3467717737,7933369491,5807194583,16,0,420330044,41943040
55703904,1454,44068439,3470601116,7948097971,5819909746,28,0,420289994,41943040
55664094,1887,44181304,3463222967,7949583028,5818869215,13,0,420236954,41943040
55771501,1491,44328911,3465823474,7951653646,5826869482,13,0,420255171,41943040
58822583,1469,46656940,3646564498,7933891085,5695783889,11,0,420433171,41943040
55765372,1042,44448718,3459390376,7950605073,5836374568,25,0,420530254,41943040
55613065,1293,44433998,3446704857,7960610788,5843583585,19,0,420317159,41943040
55641896,773,44417992,3442019979,7958158475,5847722058,7,0,420278552,41943040
55462488,886,44289251,3438096246,7941999592,5842977810,14,0,420411713,41943040
57140346,1138,45661614,3557671522,7947013255,5760291500,16,0,419952795,41943040
57346378,1207,45824079,3555094318,7951551168,5780953865,18,0,420412711,41943040
55323707,1962,44168449,3437178812,7950430301,5843333114,23,0,420535290,41943040
55376142,1736,44092983,3433063601,7965564820,5848323725,25,0,420117984,41943040
55352517,2120,44189133,3432535388,7964925990,5848344802,17,0,420347825,41943040
55407647,1855,44290487,3435120581,7962597649,5858249005,21,0,420267843,41943040
58358917,1096,46628190,3625942811,7947570590,5726100000,20,0,420320472,41943040
55521397,1266,44302037,3431825446,7959051783,5846460257,16,0,420559379,41943040
