l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
14435469,71724,3497873,5284896843,8301345911,2913149004,6542,0,477735234,196608
14371068,68386,3406329,5255731486,8290517635,2907252029,6557,2,420771441,196608
14346128,72830,3055109,5258205319,8303088709,2913193714,6424,0,421056548,196608
14517949,72117,2944500,5237563890,8295077638,2912644840,5811,0,420935789,196608
14716145,69971,3009776,5209409759,8292140640,2910039444,5479,0,421142215,196608
15280980,73019,2947176,5196269386,8295904760,2907101150,5643,0,420720029,196608
15365918,74375,3014068,5196750839,8296868739,2915849789,5278,0,420896493,196608
15626908,80799,2985759,5189006324,8287125811,2915398471,5362,0,420881246,196608
15919785,83206,3109745,5219700590,8288160260,2918988465,5693,0,421015780,196608
15942319,79007,3318614,5244162779,8302473296,2922000283,5745,0,420950644,196608
16031863,85211,3461412,5262382821,8295114234,2922484401,5744,0,421001246,196608
15484765,83278,3438013,5251514938,8282957508,2914329361,5418,0,420527113,196608
15063726,81576,3464998,5254496653,8290893570,2914808197,5478,0,420867389,196608
14931032,78006,3317026,5251920495,8299660681,2915442898,5851,0,420896282,196608
14940392,75050,3414200,5269425200,8289556702,2909218519,5942,0,420916867,196608
14566725,74922,3268768,5261840676,8292379763,2909801376,5792,0,421032759,196608
14638689,71881,3214183,5258760476,8297860762,2909983231,5883,0,420705684,196608
14588433,69048,3147030,5237947448,8295027592,2911252129,5877,0,420824449,196608
14792371,70359,3037379,5221302249,8288138282,2911093345,5636,52,421304008,196608
15243780,58859,2976400,5222646805,8292322740,2907797717,5841,0,420661729,196608
15175521,61313,3034023,5211639228,8302616782,2917519286,5663,0,421004862,196608
15431837,61563,3067431,5206521985,8290756289,2917564849,5737,0,420762768,196608
15663296,59792,3223925,5210890721,8281966862,2912139301,5626,0,420574741,196608
15583074,65858,3196650,5227537009,8293930952,2915633345,5866,0,420842459,196608
15774382,64226,3258458,5238501029,8300135950,2920815418,5948,0,420999848,196608
15352728,65849,3236031,5231555046,8292725271,2916140069,5932,0,421065699,196608
15477906,64213,3276476,5250878790,8292739299,2916501681,6089,0,420908237,196608
15313087,60412,3362600,5257304702,8301362008,2916896415,6208,0,420983460,196608
15258353,65225,3390766,5259293914,8286651311,2912361428,6240,0,420530176,196608
15136915,64727,3277967,5252883802,8292906031,2915134922,6211,0,421173648,196608
14902663,66975,3270437,5238090110,8290882466,2913089498,6386,0,420484331,196608
14862952,62650,3150034,5231227982,8302213376,2915698394,6642,0,421268293,196608
15148823,56900,3169127,5238553414,8294435765,2914185130,6607,0,421048320,196608
15007100,58735,3212481,5236038947,8285324483,2910532489,6508,0,420432309,196608
15130018,59276,3151289,5239319282,8295575659,2915516882,6235,0,420816155,196608
15141144,58017,3187933,5240484019,8300475367,2918503921,6134,0,420991155,196608
15216417,60441,3149656,5222655294,8288645880,2913366984,6234,0,420962126,196608
15345817,61461,3167116,5236056772,8297492147,2914165604,6315,0,421086323,196608
15323674,62337,3189500,5233735395,8299999794,2916751769,6358,0,420775963,196608
15299440,59154,3210601,5228156357,8291153051,2915488379,6320,0,420844666,196608
15400511,60503,3214837,5232550895,8291560629,2916884614,6242,0,421206731,196608
15302983,63185,3225862,5244174988,8298459797,2917901253,6220,0,420797726,196608
15414774,64234,3210824,5237439395,8298930269,2919801069,6348,0,420884005,196608
