l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3613189,149,1563845,6400896679,8185558336,3183016782,11,0,592945471,41943040,719257600,0
3647146,0,1625793,6348674954,8150596280,3173068053,14,0,420150681,41943040,529727488,10551296
3665946,256,1682712,6379365205,8122294456,3150522074,0,0,420172017,41943040,540475392,29163520
3624021,0,1698193,6384848728,8178395402,3167472563,17,0,420389682,41943040,547749888,9306112
3598375,0,1651701,6377900919,8170883859,3168033365,0,0,420037575,41943040,540016640,0
3650860,0,1722960,6329206340,8106071126,3163059562,12,0,419996328,41877504,544866304,0
3669737,24,1766197,6382779958,8131437717,3145356878,14,0,420196977,41943040,542244864,0
3604022,0,1722073,6394656493,8173841268,3172328772,15,0,420309705,41943040,543162368,4980736
3604659,0,1711470,6360881555,8165428484,3169714987,11,0,420092049,41943040,547356672,0
3669841,263,1791040,6356878010,8125216908,3164986258,0,0,419848803,41943040,552140800,1376256
3664849,215,1824509,6407115739,8165489629,3158042715,14,0,420277392,41877504,562954240,5963776
3612523,77,1752942,6398792123,8183203025,3180203146,32,0,420119400,41943040,545652736,1835008
3614557,0,1717852,6376386257,8179999285,3176376895,3,0,419838642,41943040,548339712,0
3667696,687,1767307,6351489143,8117195812,3163338262,8,0,419873010,41943040,540868608,3735552
3653313,509,1841189,6392546610,8146977392,3148908208,25,0,420203051,41943040,562888704,0
3593170,0,1751205,6388754110,8164365108,3169803241,10,0,420175174,41877504,539820032,9764864
3617455,238,1810696,6341813860,8153015750,3171992213,0,0,420345153,41943040,563216384,0
3664869,0,1773543,6360695431,8101497288,3151078526,11,0,420216555,41943040,545587200,0
3637290,249,1894266,6393015713,8177850282,3160015312,2,0,420108477,41943040,550043648,917504
3606168,108,1863747,6398183159,8180204605,3174394652,8,0,419881254,41943040,567607296,0
3637686,25,1960969,6358777592,8167653620,3177188385,5,0,420196860,41943040,583794688,0
3670777,0,1879027,6370969179,8121825263,3157427040,5,0,420402135,41943040,558497792,0
3641471,130,1895660,6391701891,8163265131,3158367933,3,0,420227517,41943040,560201728,0
3594974,0,1813736,6385635621,8172420376,3170985680,2,0,420433590,41943040,553844736,458752
3639413,0,1872527,6343529834,8140525565,3170582447,0,0,420183813,41943040,563347456,0
3667054,0,1870816,6370442300,8120405044,3150751482,0,0,420349725,41943040,557252608,1179648
3621112,0,1891017,6386087662,8157402648,3160475318,2,0,420247587,41943040,565772288,131072
3598137,0,1868156,6382319896,8176257716,3171278423,3,0,420139680,41943040,562692096,1310720
3647001,0,2012236,6335661570,8122313864,3168390111,0,0,419926444,41943040,577306624,0
