l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
151836588,1822066844,83763931,5115369414,8282970596,6175659161,1815,0,673319802,41943040,12671778816,40894464
99024370,1272566517,68139568,7817030527,8031278814,4701251561,1889,0,420644385,41943040,6667894784,42926080
162175607,2144824193,82224575,5734768629,8273654435,6012637377,2840,0,420360852,41943040,9025552384,0
135340752,1540607754,86127534,4696829860,8279416748,6241685052,2536,0,420483699,41943040,8752857088,25755648
156395574,2031164009,82595724,5744467340,8269956995,5928063609,3222,0,420252675,41943040,8915451904,0
140535533,1610898982,87371084,5324334521,8273254898,6060208610,2611,0,420429000,41943040,8773304320,12582912
155142311,2023599951,81336146,5171483691,8270587271,6070672502,3268,3,420396546,41943040,8930590720,10420224
144414769,1646003096,88502420,5598079546,8282435280,5941356061,2686,0,420414678,41943040,8781234176,17170432
149939072,1922558256,81474067,4927713513,8267176599,6233622934,3855,0,420330978,41943040,8882421760,19529728
147213425,1875229914,85775636,5557067259,8270930754,5948637605,2551,0,420080208,41943040,8814657536,5308416
147765417,1773567893,85128660,4955974981,8270155501,6194818929,3690,0,420173033,41943040,8829665280,12713984
157276024,2122085702,84116024,5585638090,8277930789,5974993396,2053,0,420378083,41943040,8894611456,17694720
135399680,1431547090,86952513,4894741219,8267802373,6210803972,4035,0,420551870,41943040,8817672192,0
163879793,2384004762,81913438,5506927668,8275120143,6020857539,1984,2,420234068,41943040,8919056384,18677760
133060358,1317621008,89002440,5036338368,8276683599,6168873565,2862,0,420547639,41943040,8735490048,25624576
164972409,2365098653,82559625,5559530066,8276550984,6008595648,2257,0,420364580,41943040,8954052608,5963776
130475766,1224457210,88560275,5067484697,8267430625,6148749451,2258,0,420452188,41943040,8688566272,6815744
167882767,2515543516,81311782,5586922673,8282072243,6027532280,2372,0,420536643,41943040,9042984960,20578304
131628948,1191625096,90559284,5107720496,8280514251,6119072552,1893,2,420565803,41943040,8602255360,393216
169160528,2447949350,81279994,5515610102,8273511068,6023756799,2830,0,420387915,41943040,9097838592,19464192
130951722,1221122789,90995522,5101044714,8267851965,6082565740,1911,0,420442311,41943040,8564703232,23068672
170844703,2524744450,81723620,5580530697,8275358171,6016374405,3945,0,420173454,41943040,9100328960,0
135273755,1394123296,89452306,5006917511,8277731786,6109975099,2799,0,420407394,41943040,8631615488,23855104
167423753,2340796636,83411583,5644594745,8271123328,5990550678,4152,2,420527223,41943040,9065136128,3997696
