l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
91487862,851146186,60772334,5300190414,6394105420,4588530811,157225,0,474775314,4980736
28828105,28941084,25022755,6804057791,7228517575,3966599582,157962,0,420802363,2293760
1936271,1386664,1986697,7341829880,8269229658,2989858539,13,0,420776694,3538944
1954498,1596305,1983515,7271800510,8271837994,3002946623,3,0,421156819,3997696
1928250,1631737,1981780,7236627633,8259579443,2992812265,71,0,420857634,1966080
1963142,1609070,2036079,7338279573,8257419002,2996053910,21,0,420875416,3342336
1881385,1454844,1933478,7181192763,8261614712,2992695440,22,0,420913454,3276800
2013731,1718344,2101857,7498862774,8255532984,2973277443,6,0,420665429,4259840
1854629,1276584,1883613,7056101711,8265251594,3022539089,11,0,421306375,1638400
1804334,1313127,1813684,6797459816,7895516208,2880702715,39,0,420700484,65536
1628884,1306707,1589054,5932317976,6664993238,2408228855,14,0,420641946,65536
1167869,832833,1207016,4548935678,5369484779,1982010262,5,0,420704130,65536
42726039,72933283,36527694,3781315548,4642588064,1996112998,4178,0,421137322,2686976
102640893,993871098,73055767,11151445065,8209278965,3770781171,11568,0,420634885,2752512
81850953,514248972,63698139,8159406546,7682562566,3573632990,9435,0,420940885,2752512
66176493,266166368,56091793,9980581687,7533078401,2979010269,9039,0,421249026,2359296
139305599,1670088717,78878232,4036008493,6566470271,4883335253,10953,0,420862451,2752512
88399027,848053885,60977756,12655187279,7770532947,3072823013,3428,0,421134817,2949120
121164099,1063309099,79352900,5160457793,7957720560,4795655389,11668,0,420476634,2097152
160612708,2364461112,88746386,4116821153,8249358122,6511479146,4435,2,420834479,2818048
67004872,311868661,60746998,13365009598,8229135828,2581135789,15341,0,421147508,2424832
152303280,2024161871,80375976,4279885962,7931359813,5780284829,4481,0,421272958,2621440
124163702,1567564907,80210854,8889185599,8222620956,4879804177,5932,0,420835350,2883584
94152632,602459573,66036113,8867301846,7974417177,3493809074,13416,2,420853903,2621440
155820703,2303438897,85896036,4221008898,8253181555,6450509768,3628,2,420653528,2424832
91064402,874120191,67419775,12920147215,8237942248,3372032226,3151,0,421254134,2818048
125364188,1139630396,79569066,5107750811,7970261472,4954416724,7028,0,420904385,2555904
161508443,2376059864,89455957,4090369493,8243473319,6527358043,3291,0,420632788,2228224
62518147,216475209,58056211,13483900746,8229530225,2409546203,8906,0,421001083,1900544
159026529,2190568502,80935760,4135432794,7973179743,5993448073,5604,0,420919039,2555904
117511779,1400890897,78119033,10061312080,8231068758,4487238995,3464,0,421113538,2359296
100820723,729470588,68492812,7797494607,7975613019,3861479696,10313,0,420826932,2621440
154129532,2268458901,86346694,4266884960,8258807896,6463227236,3171,0,420997093,2097152
87410621,776242678,66394629,12988314751,8233563007,3178231116,5627,0,420939414,2424832
129647647,1231572928,80374940,5062427806,7975589877,5059652661,13084,0,421088773,2228224
159889496,2322957824,88464792,4400894465,8215254478,6392799469,5942,0,420569761,4653056
60574570,166273600,58799589,13118090804,8267767392,2433900292,12387,0,421115270,2424832
164147919,2406278051,81289280,3971491785,7972245794,6146412386,2893,0,420922064,2359296
110277557,1245144591,76597808,10998779659,8233371577,4115804848,3849,0,420957082,2555904
105703352,790588526,71089067,6975329864,7981270402,4214084637,20680,0,421043791,2621440
154888544,2291796952,85770621,4211837276,8251281153,6474818290,3831,0,420529217,2883584
82716860,639802807,65749001,13171844821,8232270170,3091377511,3869,0,420945970,2555904
132300705,1332161349,81489564,4959823808,7971554249,5211656834,21937,0,421111789,2686976
96710442,1201703859,64938283,3317983494,5286984538,3830157685,4009,0,421079727,34471936
2122397,2681322,2432399,7538820446,8292965277,2995570356,2,0,420758975,3342336
2012811,2328377,2311174,7329557475,8296063370,3015265520,3,0,420879987,3866624
1877256,1875867,2238912,7208100126,8290078379,3016224896,5,0,420860029,2490368
1909543,2039769,2244936,7189144571,8295475472,3041518903,35,0,420935967,3211264
1995746,2441556,2434763,7468407506,8297670751,3010526356,14,0,420978203,3670016
1970122,2319043,2380750,7436381051,8296542218,2985913771,14,0,420967431,6356992
1898838,2089180,2283719,7248508306,8292870200,3040630140,2,0,420771789,3080192
1821628,1871346,2182879,7011564582,8099229657,2963831328,13,0,420525320,655360
1710951,1691729,2015288,6399423457,7252265310,2626742171,10,0,421000596,65536
1280475,1308034,1519166,4922883751,5773098670,2119851161,0,0,420492811,65536
10178015,88225138,10785012,3060666301,3891893972,1616409491,711,0,421029912,2162688
114913634,975679846,85623799,6081151399,8211561541,4746272229,17178,0,420486044,2359296
72530896,462720939,61371661,12177422872,8267352857,3113589762,5612,0,421056421,2097152
138184045,2114178762,79630529,4001617018,7961260674,6064792964,4689,0,421013570,2555904
69995383,383282998,61270912,13232330110,8231673849,2661794122,8512,0,421131009,2293760
148844854,1876667499,80852154,4430033212,7971789005,5689184672,4689,0,420936489,2818048
131983000,1721974044,80565105,8292424736,8228423211,5074241763,4199,0,421001152,2752512
86532191,544626034,65048800,9385331055,7978320591,3284127602,10278,0,421195517,2883584
159135453,2332237409,86359817,4229085383,8253776630,6439143799,3451,0,420558426,2555904
94620631,972336891,69230998,12818161404,8234866311,3483105515,4731,0,421143800,2490368
122031063,1056237551,78292924,5126956105,7970911726,4856899865,14627,0,421176425,2293760
160592311,2372245284,89205407,4127021192,8258287433,6536618766,3225,0,420995680,2359296
65984496,271090749,57914539,13536609429,8234798293,2508267726,9630,0,421298451,2490368
154494542,2020495256,81480397,4295886190,7972160966,5890396317,6255,0,421009593,2359296
123028548,1563189953,79589138,9132589961,8233726314,4691550108,5760,2,420809917,2490368
97192804,666159061,67029835,8560211798,7972147805,3656974119,15313,0,420979996,2752512
155130744,2282621093,86482859,4255308975,8259267258,6450703888,3368,0,421161303,2359296
90411414,838803800,67524188,12935117696,8235007478,3308888382,3159,0,421167163,2097152
125379467,1168381057,79373150,5059776458,7974920856,5017569465,9014,0,421049867,2752512
161832503,2382490885,90223368,4084035117,8252623664,6534622135,4690,0,420596135,5373952
60204717,172047533,57311984,13568315478,8237980087,2327003145,8835,0,421236124,2228224
163130113,2278393028,81260854,4113089019,7966802416,6041589131,2681,0,420960671,3014656
114406523,1331087764,76531717,10462684599,8226348094,4297614410,5866,0,420899268,2818048
102325103,780296945,70164778,7311865896,7976169877,4039707263,18500,0,420999387,2555904
154956410,2286237826,86204733,4234660390,8257882857,6467568747,3259,0,421009191,2555904
86263279,723779695,66864430,13016601052,8234681633,3101798731,3461,0,420721719,3014656
130357143,1291680619,81136924,5005999461,7967189274,5123818347,9501,0,421060551,2686976
155898237,2298036175,87713264,4814086995,8211204920,6201458495,6402,0,420501063,2686976
62085401,152372741,58974460,12835361590,8264035245,2537124489,9823,0,420869804,3735552
157983045,1918041992,90818191,4433525959,7974651510,6077190328,4872,0,421089844,2621440
34660740,401308904,22331524,6948873421,8240959048,3716045590,1922,0,420460113,2555904
1949603,2082902,2319985,7358338759,8295809210,2997372823,6,16,421014523,3997696
1961929,2303203,2331724,7290478831,8298707986,3021066062,11,0,421054164,3080192
1881642,2045086,2264890,7233363137,8292087475,3032157094,8,0,420925395,3604480
1953417,2278376,2325663,7340567605,8297416895,3013191774,11,0,420822732,3342336
1972866,2263746,2348179,7334493860,8299984151,3001569793,0,0,421070109,3735552
1958948,2022636,2350400,7341002480,8292791453,3012493012,3,0,420878904,2424832
1878051,1963591,2165520,7017886350,8170703061,2998168595,19,0,420966853,851968
1790801,1960649,2048927,6569474275,7555874725,2767413244,8,0,420809686,0
1435687,1558625,1691625,5519393512,6244746317,2272757659,21,0,420747765,0
919974,928451,1084011,3506888904,4196440512,1561193895,2,0,420381561,0
87937892,644679422,69967990,4624930933,7216046566,4140942854,16118,0,420792221,2293760
86641669,842891457,65235613,12812455984,8239064697,3323030662,5293,0,421171786,2621440
117759164,1586832222,73562314,4504613058,7977269561,5377992701,19515,0,420981281,2228224
92221248,909153158,68373864,12743752591,8233444889,3362817333,4414,0,420821186,2490368
124443991,1157098680,79580604,5101500369,7977970281,4917671012,10983,0,421029874,2818048
161894937,2388390118,89996545,4092849665,8256857576,6526527031,3779,0,421061376,1966080
