l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
83429,60,19042,1118511609,529532876,95935560,0,0,505724460,12451840,11862016,131072
84519,63,11117,1135198577,527219100,93527409,0,2,419375364,20578304,9961472,0
83486,296,11356,1125028414,526441737,93955617,0,0,419407380,25624576,11468800,0
84824,92,11422,1145203070,528575066,93287472,0,0,419379624,29163520,13828096,131072
82992,91,10797,1130115041,529973405,93524615,0,0,419395716,32702464,13500416,0
83502,21,11137,1127451151,530391389,93923438,0,0,419394573,36765696,15138816,0
84182,41,10776,1123929479,525957153,93447303,0,0,419396331,38797312,14417920,131072
83206,6,11120,1126090659,525919414,94204395,0,0,419405970,39714816,15663104,0
83872,22,11201,1118874406,525725121,94583144,0,0,419392980,40304640,18939904,0
84968,79,10995,1123331780,523013109,91244356,0,0,419392536,40239104,17235968,262144
88527,185,11592,1210607716,554540490,93187330,0,0,419447961,40173568,17432576,0
91051,133,12272,1234303393,585154396,107429477,0,2,419398665,40239104,17956864,0
91333,532,12209,1236479510,584701999,107212450,0,2,419404965,40304640,20381696,131072
90367,108,11740,1244307092,587028871,106024869,0,0,419384403,40435712,17235968,0
92479,299,12382,1236763107,586848086,106624949,0,2,419407764,40501248,17301504,65536
91991,598,12201,1241076045,585008362,107709063,0,0,419412402,40566784,20905984,0
91573,246,12439,1248648262,584339034,104464376,0,3,419398779,40501248,17367040,131072
91243,106,12012,1235513245,587988349,107740505,0,0,419332200,40501248,17694720,65536
90470,54,12132,1235371489,584917322,107159847,0,0,419400993,40501248,19988480,0
92245,232,12434,1247376935,584859157,107225101,0,3,419498862,40501248,17563648,0
91576,38,12050,1231842527,587262825,107426600,0,0,419369433,40501248,17563648,0
93709,92,12531,1257112869,583890537,103378887,0,2,419339208,39911424,21168128,0
90471,120,12210,1234282860,587698864,107778172,0,2,419412291,40370176,17694720,262144
91436,194,12255,1238951743,585078620,107424131,0,10,419465886,40370176,17432576,0
91076,81,11994,1253354790,583436548,103228169,0,2,419323602,39780352,20578304,0
92013,46,12186,1250461359,585949907,103484315,0,3,419384772,39911424,17629184,196608
92932,150,12361,1246215110,588411763,103825298,0,3,419395089,39845888,17891328,0
92141,12,12453,1244463903,585700540,103999629,0,0,419400342,39911424,20840448,0
93015,34,12644,1262403446,585139079,102427914,0,0,419409534,39911424,17498112,196608
94786,219,12669,1270879830,582408774,100336873,0,5,419465178,40108032,21102592,0
91449,167,12645,1250949715,583574439,104132420,0,3,419398905,39845888,17563648,196608
91809,19,12122,1254335231,585918296,102533256,0,2,419334066,39583744,18284544,0
92079,45,12183,1244382975,583612603,103779134,0,0,419391675,39649280,20316160,65536
93056,23,11905,1266512491,585797419,102171690,0,8,419488611,40042496,18219008,0
92651,413,12441,1243636399,587562263,107895529,0,3,419332746,40108032,17170432,196608
92470,273,12369,1259884827,583279055,102853765,0,0,419462013,40042496,21233664,0
90977,132,12088,1242911103,584571654,104670120,0,0,419411301,40042496,18481152,0
90977,56,11924,1231437740,587070707,105890470,0,2,419401290,40173568,17563648,0
91511,149,12270,1230598379,584994268,106753168,0,2,419332935,40173568,20119552,131072
92599,217,12238,1259436997,585721988,102929652,0,2,419396004,39780352,18350080,0
91379,91,12213,1243279703,583803845,105580768,0,3,419477604,40173568,18284544,196608
91307,338,12335,1237529804,585069429,105889299,0,0,419603628,40501248,20250624,0
91272,27,12327,1252082360,586159339,104733219,0,2,419098767,40304640,17760256,0
91210,98,12378,1280122259,584949660,100436228,0,2,419384610,39714816,21168128,0
92065,405,12381,1264025516,582082381,100925816,0,2,419394132,39911424,18153472,131072
92013,176,12643,1263610760,585805204,103684732,0,3,419414883,39976960,17694720,0
92479,256,12623,1253438064,583769690,103485646,0,2,419460009,40108032,21102592,327680
90788,114,12158,1264931309,583548792,101400433,0,2,419408139,39976960,18022400,0
91065,300,11863,1240675213,586892357,106050474,0,3,419393211,40173568,18350080,196608
92342,191,12368,1239310010,584341755,104785854,0,5,419404851,40108032,20054016,65536
93994,290,12408,1257235312,586588037,100547051,0,2,419315574,39649280,17891328,0
92862,146,12809,1267348069,585208682,104351293,0,0,419483391,39845888,18087936,131072
92351,307,12164,1269102083,582731018,100539423,0,5,419323005,39583744,21626880,131072
93123,278,12355,1253513191,584431400,103384659,0,5,419401986,39976960,17235968,0
90765,121,12398,1239024907,585118485,106193292,0,11,419481720,40173568,20578304,0
92495,293,12099,1243923697,587198007,105462802,0,2,419388684,40239104,18284544,0
90825,4,12343,1249612829,587430518,105865967,0,0,419403453,40435712,16973824,0
91167,30,12249,1241240651,583833033,105755653,0,2,419320098,39911424,21168128,196608
91526,54,12364,1235315084,585184613,107210500,0,2,419479035,40239104,17104896,0
90982,155,12126,1242814153,587275090,104616739,0,3,419402631,40304640,18481152,0
91770,25,12253,1236138690,583698972,104894725,0,2,419318271,40239104,20709376,0
92416,28,12342,1259177927,587966755,102408181,0,3,419390106,39649280,17498112,196608
90802,281,12342,1252204009,586214478,104205035,0,0,419401611,39649280,17629184,0
91064,174,12215,1248558163,582813186,103287402,0,0,419410536,39714816,21037056,131072
90697,75,12339,1239115939,584190246,104947339,0,0,419448930,39845888,17956864,0
93118,26,12342,1283230382,586232445,102477370,0,2,419405892,39780352,18219008,0
90415,165,12157,1238203245,584921068,106343190,0,2,419329623,39976960,20250624,131072
90712,82,12105,1250177781,585725536,103734339,0,0,419473086,39845888,17956864,0
91375,190,12130,1257204003,582531080,103937123,0,0,419391774,39976960,20119552,851968
90480,135,12158,1227945601,585050440,106886907,0,2,419335668,40108032,17956864,0
91149,211,12279,1258618045,585781702,104541682,0,0,419464737,40042496,18415616,0
91031,101,12387,1238725989,583709742,103791825,0,3,419341257,39976960,20709376,131072
630172,4103432,629679,1139869211,542078202,113602430,0,5,419790153,40435712,161021952,12779520
13789107,60015564,6266802,2278728214,3942496412,1631047408,17,0,419481595,41680896,893124608,0
3263692,1267138,3289972,4746805608,8289614416,3393990184,2261,0,419729104,41811968,229179392,655360
3264899,1281873,3315176,4747722885,8289335964,3393308547,3,0,419340722,41811968,228851712,0
3264166,1266369,3315405,4748131525,8288536063,3392492154,2439,0,419632137,41811968,228065280,262144
3266245,1297567,3316626,4748940432,8291910261,3394231527,1491,0,419674275,41811968,228786176,65536
3267017,1339394,3314748,4747612218,8289946694,3394294907,2,0,419433849,41811968,228851712,0
3270829,1343077,3316659,4748180856,8288831947,3392881414,2,0,419588685,41811968,228851712,0
3269528,1281161,3316051,4747645775,8289526290,3393763012,2268,0,419559807,41811968,228655104,65536
3268140,1265750,3316050,4748696849,8290944454,3393756688,2332,0,419711064,41746432,229376000,0
3266054,1244596,3312563,4747686654,8289858271,3393799063,0,0,419707494,41746432,228720640,65536
3266425,1287734,3316824,4747434563,8288927585,3393165114,2103,0,419471131,41811968,229179392,0
3269587,1282041,3317402,4748165422,8289602632,3393466946,2,0,419408114,41811968,227540992,0
3265644,1255596,3314693,4748251524,8291040760,3393867176,0,0,419778388,41811968,229834752,65536
3269005,1295826,3314003,4748011844,8288953510,3393254927,1860,0,419554311,41811968,227868672,0
3266301,1277224,3316225,4747761569,8288915840,3393111021,2325,0,419619788,41811968,228458496,0
3266396,1267948,3316800,4749010361,8290134425,3393306910,2186,0,419548413,41811968,229572608,524288
3264142,1300254,3315393,4747747380,8290286683,3393558263,6,0,419396982,41811968,228327424,65536
3268447,1297649,3315118,4748686114,8288418644,3391903209,5,0,419702519,41811968,229048320,0
3271403,1289129,3317388,4749582997,8289063644,3391455946,1131,0,419455786,41811968,228130816,65536
3267558,1266764,3317651,4749823959,8290062158,3392329638,6,0,419775979,41811968,230555648,0
3268219,1271761,3313983,4748486187,8291453497,3393719804,2225,0,419595137,41811968,228130816,917504
3267359,1311482,3315432,4749289127,8289643168,3392054066,2330,0,419460915,41811968,227278848,0
3268986,1165569,3317239,4751021172,8289087678,3389566587,5,0,419414950,41811968,229113856,851968
3267678,1289345,3317496,4750354003,8289998122,3391228176,3,0,419592377,41811968,229179392,327680
3269399,1317030,3315825,4750103430,8292016858,3393610687,1085,0,419573781,41811968,229900288,0
3268479,1287000,3316119,4747335732,8287754393,3392198859,2089,0,419797998,41811968,227868672,720896
3266073,1222717,3315432,4747680966,8287864468,3392241617,11,0,419395256,41811968,229244928,0
3266423,1236429,3315632,4748596596,8290874415,3394071302,1854,0,419479704,41811968,228458496,851968
3266802,1362315,3315294,4747939226,8290300120,3393928669,285,0,419575915,41811968,228851712,0
3269810,1288937,3314309,4747173300,8288559671,3393351202,33,0,419744476,41811968,228851712,589824
3265875,1437301,3317469,4749760427,8289454445,3391507970,2,0,419388641,41811968,227082240,0
3272294,1137794,3317559,4752628360,8290581988,3389649611,1862,0,419504481,41811968,229900288,0
3270508,1228590,3318830,4752746612,8290809813,3389649667,1942,0,419572542,41811968,228655104,524288
3269420,1208817,3317012,4751276346,8289394252,3390035174,5,0,419627256,41811968,229572608,0
3270434,1145215,3318553,4752444564,8289695303,3389461255,358,0,419509601,41811968,229113856,1114112
3273005,1100702,3318691,4753270597,8290779840,3389144077,22,0,419444617,41811968,228458496,0
3271670,1445208,3316712,4750776416,8291032655,3391722213,1899,0,419616318,41811968,229507072,524288
3270184,1219410,3316412,4750845775,8288213116,3389340220,2,0,419604090,41811968,228917248,0
3270741,1324489,3318960,4751610619,8290029548,3389750474,1712,0,419626254,41811968,228065280,655360
3271410,1141287,3316241,4751358783,8290527645,3390288920,367,0,419583339,41811968,229048320,0
3269471,1313499,3317318,4749832978,8289129773,3391655508,13,0,419425722,41811968,229703680,393216
3270841,1356165,3314749,4747867857,8288710667,3392589992,11,0,419703912,41811968,229310464,0
3271607,1250627,3317405,4749686429,8289880957,3392244794,1649,0,419347920,41811968,228196352,786432
