l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
6393263,5888675,5478287,418233305,489180271,255321676,0,257,465591459,41811968
3520483,785,734079,570677074,561049626,255382469,0,0,419967248,41877504
3755068,885,790431,521686475,565560673,280108591,0,0,419532287,41877504
3721171,787,901109,477799416,569050539,305238189,0,0,419722882,41877504
3615037,781,953798,457453374,570185876,316705043,0,3,419550300,41877504
3605467,344,1000823,442116407,572538013,327989587,0,2,419730151,41943040
3600568,692,1034644,432183024,573814012,336275068,0,0,420113452,41811968
3602103,424,1061812,419820829,575558552,343481438,0,0,419880628,41877504
3633628,683,1089521,407927356,575941573,349994879,0,0,419770904,41811968
3645932,520,1108212,400096805,576988225,354775079,0,0,419552251,41877504
3657437,388,1124734,392323849,577763638,359484591,0,0,419690581,41943040
3669202,492,1138873,385555014,577960621,362795965,0,0,420085468,41353216
3693182,287,1152721,377706791,579247909,367871470,0,0,419727356,41746432
3706052,645,1162862,372653189,579620631,370596569,0,0,419473349,41811968
3721098,322,1177817,366517375,580350718,374404790,0,0,420033227,41943040
3738381,225,1183317,361077910,580955564,377363655,0,0,419571556,41943040
3748104,555,1191118,356827157,581119566,379799124,0,0,419851052,41943040
3760318,169,1197750,352623614,581326029,381832616,0,0,419578224,41877504
3761576,731,1202366,351906273,581800975,383763668,0,0,419637744,41680896
3777613,434,1210830,348054972,581958006,385458565,0,0,419725004,41877504
3803149,198,1217261,345370846,582776999,387897960,0,0,419884036,41877504
3824048,128,1224766,342578331,583088912,389997714,0,0,419943580,41746432
3832680,246,1228894,338590672,583609212,392467685,0,0,419773940,41943040
3836891,417,1233843,334910960,583369820,393980149,0,0,419846596,41811968
3851886,774,1238872,332374351,583860270,395385823,0,0,419798416,41943040
3857716,533,1244873,329035319,584182080,397358190,0,0,419993544,41943040
3861215,292,1247663,326495349,583763770,398486078,0,0,419533564,41746432
3874231,691,1252825,323946334,584520393,399863064,0,0,420032492,41943040
3886103,511,1257305,320723450,584548050,401452195,0,0,419655000,41811968
3894156,273,1262755,318913883,585244394,402952526,0,0,420029056,41943040
3898161,411,1265177,317072554,585399611,403392123,0,0,419928232,41746432
3916848,688,1267787,314378170,585406480,405079509,0,0,419488295,41811968
3923423,369,1273343,312372680,585446724,406074150,0,0,420129033,41811968
3925937,807,1278540,310127028,585500379,406884436,0,0,419786792,41615360
3934442,495,1285945,308560495,585819931,408301273,0,0,419926396,41877504
3954260,589,1286831,306829780,585561802,408969493,0,0,419526350,41746432
3958187,1029,1288384,305695349,585589019,409437470,0,0,420009862,41943040
3963621,752,1293222,304482630,586007037,410295287,0,0,419538871,41877504
3974348,492,1296118,302141177,585254683,410635161,0,0,419658321,41811968
3974438,779,1299672,300415304,585538728,411591001,0,0,420142532,41877504
3980454,801,1301251,299076138,585826768,412645579,0,0,419475825,41811968
3987420,803,1304865,297953597,585582210,413128360,0,0,419547477,41222144
3914449,783,1281509,290508580,573408108,404652288,0,0,419550398,41811968
3903327,1114,1268658,286726917,567442304,400728049,0,0,420092148,41877504
4016429,843,1313995,294385904,586086684,415006930,0,0,419656504,41746432
4019812,506,1317350,294155502,586011627,414965059,0,0,419892088,41877504
4010235,718,1316844,293306843,586110683,415708592,0,0,419856132,41746432
4043898,919,1318855,292220969,586387389,416390376,0,0,419669577,41877504
4046596,927,1317817,291173466,586176019,416309378,0,0,419939503,41877504
