l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1154785,1116841,805885,670088241,291355859,71435945,0,0,477394965,41877504,1001914368,0
44067779,96026591,26499615,13824490951,7068819263,1795425151,3540572,3,419887704,41943040,1928200192,3080192
43943585,104940550,26075903,14650989985,7481498568,2014587127,3112106,0,420007106,41877504,1929248768,3080192
45226399,136908001,30796981,13966878222,7449284871,2079582931,3312987,0,420076939,41943040,2029584384,131072
39141064,94619159,24896823,14213612797,7378604530,2165070281,2964258,0,419803416,41943040,1809186816,0
38202053,76351749,24284728,14034396109,7338872899,1967125388,2729957,0,419690121,41943040,1779695616,0
38086429,71355815,25221371,13120054533,7150004260,1940973909,2488084,0,419693190,41943040,1733558272,327680
32381018,59302818,20833263,13839531645,7173494825,1689234183,2283162,0,419840871,41943040,1493696512,7340032
38614562,88326045,24034741,13321097212,7256567146,1910045853,2556223,0,419881296,41943040,1580531712,720896
35426706,80537949,23139461,13756284758,7511229235,2117484888,3186006,0,419877456,41943040,1678311424,0
35046810,86696719,21212356,14172017809,7470951400,1822957275,2424086,2,419961072,41943040,1513291776,17235968
37656803,75183956,22394022,13411472097,7465539990,2119564690,2972101,0,419930901,41943040,1686962176,0
34040739,62743736,20875170,14130214034,7560365783,1803474906,2741735,0,420003035,41943040,1450639360,196608
34460278,62100383,21345347,13249578366,7434595481,1998740230,2695971,0,419697022,41943040,1540554752,0
28679432,61098828,19128951,13559363832,7534432897,1756824612,2690189,0,419827458,41943040,1260716032,2621440
30507699,46144635,15354661,14096830711,7498878614,1678535869,2572264,0,419997678,41943040,1231683584,2293760
26783248,41431710,17007536,13635024882,7466690729,1737486197,2470013,0,419897523,41943040,1212743680,0
27298949,56406509,18302795,12877297468,7300443643,1692560829,2062370,0,419933340,41943040,1200422912,917504
27122983,41390372,17265625,12891187194,7308393689,1592270372,2226719,0,419964810,41943040,1093533696,2424832
25964513,47323313,18849664,12803993554,7396237378,1651661083,2030060,0,419960082,41943040,1102577664,0
27210371,40089998,18267581,13315136533,7596241719,1580852437,2230541,0,419903661,41943040,1072955392,0
28815960,52028424,18122420,13678095055,7703783664,1616285460,2294534,0,420005679,41943040,1113587712,0
21932924,31917294,15690991,13518505661,7637609899,1769053510,2523445,2,419747646,41943040,1011548160,1441792
22329756,22123841,11121443,14170159051,7711818627,1560952117,2213064,2,420128315,41943040,816906240,1441792
26324973,34288636,14431432,13312316300,7579563309,1629315028,2241873,0,419924635,41943040,982777856,0
18948365,14866327,11048429,13827794284,7525594337,1472403613,2053812,0,419673483,41943040,758054912,43843584
23448003,27577366,14362471,12735730055,7397290410,1660301594,2026775,0,419947890,41811968,926285824,0
21931185,18868246,11699384,13592875562,7375951347,1464910259,1827301,0,419730714,41943040,842661888,60751872
21419561,18622670,12075265,13029590613,7386481855,1717584650,2098193,0,419999607,41943040,900333568,0
21995290,24843726,15313159,13112184468,7461105036,1619296415,1850812,0,420044349,41943040,972357632,2162688
20216269,18394877,10789650,13486884047,7511509040,1604328131,1902283,0,420003102,41943040,744488960,589824
25921914,23089408,14978460,13168357948,7449600348,1548481996,1940334,2,419847249,41943040,989331456,0
18397151,15193699,11590672,13805469188,7570363477,1486688491,1980232,0,419785626,41943040,769130496,2293760
22644764,19250547,12562395,13398072830,7525970799,1757653049,2197791,0,419806050,41943040,1014038528,0
27868011,22650684,15383494,13345887577,7545397441,1555900390,2143748,0,419810604,41943040,1024851968,0
21065860,17801206,12760700,14008727233,7722931992,1513145860,2205879,0,419842317,41943040,850132992,1900544
20554076,21656711,15545391,12998439939,7587209199,1851314794,2406694,0,419873136,41943040,1015939072,1376256
22874484,24194816,18844599,12595574118,7447223580,1867995020,2206182,0,420139434,41943040,1146159104,0
21553824,20346692,17469743,12824491172,7541770639,1900729881,2420117,2,419756514,41943040,1119813632,1179648
25778339,20081159,17603707,12567336781,7384511082,1727379513,2347734,0,419931570,41943040,1098907648,0
27069218,28568750,14231583,12896273337,7347718456,1647204916,2187462,0,420130965,41943040,1147666432,19595264
24941598,23067407,14414278,12744771626,7347564744,1688487240,2101057,0,420005489,41943040,955056128,8912896
26491034,30771332,18584509,11861443241,7231840290,1871464293,1870479,0,419843445,41943040,1167785984,0
28106634,47944063,19336524,11415967731,7061468828,1754879894,1634335,0,420170746,41943040,1168179200,1835008
30635224,42066045,16605349,11928456215,7091893341,1763939564,1849105,0,420061734,41943040,1233256448,0
25871506,26775375,19189929,11868848291,7199519334,1975071530,2116390,0,420019056,41943040,1205993472,720896
