l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
292341,92075,16470,1289580745,528376446,54967476,0,0,507685581,11796480
38761,0,5017,1299510919,532606719,55538404,0,0,419481720,16646144
406987,761465,38708,1288678762,531320202,56505565,0,0,419563398,23855104
39839,40,5079,1288401413,531912756,56504887,0,0,419517459,27131904
39479,68,5317,1294753164,531390481,55302215,0,0,419502435,29032448
34892,0,4379,1316304191,542254221,57309426,0,0,419513409,31195136
812659,1826278,191362,1315072844,552173901,57527413,0,0,419538180,35389440
39978,15,5263,1335523677,552439070,58925694,0,0,419563270,36569088
40462,71,5282,1335138917,552801638,58546074,0,0,419512373,36634624
41063,0,5035,1337824606,552161082,57750468,0,0,419542185,36831232
43353,234,5513,1428174030,587122009,60335511,0,0,419537217,36962304
43472,12,5134,1436393379,588780744,61678591,0,0,419518818,37224448
35156,145918,317877,1362055865,559978412,67067927,0,0,419747895,39780352
42645,0,12252,1435279180,591338380,63425134,0,0,419350941,39845888
42717,258,5080,1429192212,589379444,63083762,0,0,419520552,37945344
42862,88,4983,1441799258,591781770,61050185,0,0,419497461,37814272
43525,0,5114,1438022667,589060234,61616820,0,2,419520252,38141952
42827,0,5167,1428224042,589505143,62958220,0,0,419489025,38469632
42156,176,4992,1428019815,589896289,64328811,0,0,419514360,38469632
42136,83,4947,1434369142,592065681,63737658,0,0,419500974,38928384
42651,0,4863,1436879931,591009151,62730468,0,0,419564080,39256064
42417,0,4916,1426096535,589631622,63803731,0,0,419433701,39190528
42685,0,5101,1432469734,592150988,63924554,0,0,419499567,39256064
41952,2,5141,1422499677,589471690,64457389,0,0,419503626,39649280
42389,285,4887,1448073911,589279093,60606410,0,0,419534379,40108032
1130251,7155240,919688,1289345030,536195376,73718060,0,0,419866275,40632320
70824,0,20129,1447239204,591735575,61351704,2,0,419266662,40435712
43330,56,5165,1447088877,589622966,59599888,0,0,419494482,40370176
43482,120,5098,1441736009,591199574,61507770,0,0,419510556,40370176
43298,0,5194,1435051640,587887970,60692311,0,14,419571006,40435712
89831,7739,8841,1426151824,587550620,64210448,0,102,419465349,40435712
395206,269748,106474,852409426,575046136,216250832,0,0,419489916,40501248
339424,622,54073,755386813,588858782,265505972,0,2,419499639,40370176
923568,327475,84382,718689083,576003471,271592533,0,3,419510199,39190528
3033672,1660,47803,686043148,590905815,296228135,0,3,419514441,39190528
787311,984532,166409,697055951,588024547,287352294,0,0,419510331,39845888
879523,101988,285384,658765258,577251311,298066601,0,0,419581083,39845888
5084926,4201,58454,621469605,592398681,323936916,0,0,419439762,39714816
8984057,10231,50264,539265891,595272921,360428077,0,0,419503455,39583744
8602471,18936,51118,575993448,590255027,348313778,0,0,419505585,39911424
11903299,2991,51665,538423134,588324443,358168805,0,0,419499345,40042496
15081778,3027,53023,498755777,590629131,371708749,0,0,419505633,40042496
3108048,6454099,595506,582220731,575618181,329204497,0,0,419668035,40435712
3187882,124534,385604,573011550,576020282,327101542,0,0,419617836,40566784
4979146,53654,172086,561710999,592516468,352884112,0,0,419423180,40763392
6848738,859,74810,503395959,595302612,382611907,0,0,419458210,40566784
7975955,1844,77761,508831820,590531287,376029162,0,0,419669848,40763392
8885289,1628,74390,524364238,595390277,375538525,0,0,419321315,40697856
11100949,861,69387,472341094,595433147,394494945,0,0,419498031,40501248
11950834,965,72617,475649068,595662775,392041788,0,0,419496693,39583744
8136164,3681,60891,521314784,591257485,361683062,0,0,419513490,39911424
7791686,7573,47410,511158141,591380020,370644745,0,0,419511795,39911424
9814158,4497,43967,465309063,586985622,389815575,0,0,419508717,40108032
6865266,1783,47780,520940901,589161418,364526449,0,0,419508867,40239104
9585406,895,37037,469699411,592161591,392898484,0,0,419492952,39452672
6132226,747,44313,513942230,589939925,368303964,0,2,419503218,39452672
8736690,551,43520,477346221,590660542,385447478,0,0,419508708,39583744
8698287,450,41521,463108155,591753116,394170925,0,0,419502783,39583744
1138163,2816641,571257,576915915,553997288,308976800,0,0,419829399,40501248
7265293,10841714,585928,530647146,585226376,351013100,0,0,419581359,40763392
8744743,818,88268,492961149,594963339,386361365,0,0,419331402,40763392
9316822,634,82525,484013046,595519296,388267140,0,0,419500080,40697856
5080865,7398,100905,545388910,592659359,363482404,0,0,419505585,40632320
10102625,1406,50159,455534521,595018917,400177888,0,0,419549433,40697856
10552594,926,50906,450330676,593915963,401441670,0,0,419459598,39649280
6876938,1331,66133,492203712,594881586,386674267,0,0,419504640,39845888
10030451,662,59698,463053409,594932413,397076114,0,0,419510835,39911424
8477953,993,67468,480633736,594943469,392282884,0,0,419506548,40173568
9558454,1518,76616,506278087,589903182,377014963,0,0,419517006,40173568
10755827,705,65354,490770264,593885480,383497230,0,0,419497785,40173568
11186957,814,66800,457395144,594973761,399494066,0,0,419504430,40239104
11168048,901,67350,474822545,594261371,391221285,0,0,419506455,39976960
11404037,831,66238,469606015,594476438,394107537,0,0,419504997,40042496
12574401,899,72597,452880793,592777129,399719530,0,0,419506743,40108032
12334385,1706,64004,453439663,595003587,402816572,0,0,419503185,40108032
12188965,432,56322,457279170,594874663,398550059,0,0,419510115,40108032
7296077,440,46707,508652005,590807769,375361633,0,0,419508279,40108032
9175098,221,43523,498661995,591448694,378247853,0,0,419499204,40239104
9299040,484,36712,490313034,591707165,381625820,0,0,419511723,40304640
9382485,488,47104,486023721,592001643,382446923,0,0,419503635,40435712
5932447,1860,44295,521266155,591463584,369892864,0,0,419499564,40370176
8997777,1105,40414,470361366,590731176,390983401,0,0,419515134,39845888
9932845,524,39908,436651805,591790122,405120733,0,0,419529918,39845888
10126050,6021,34969,430123412,592079910,408226151,0,0,419511345,39976960
10306676,320,35932,425019559,592433418,411037807,0,0,419507313,40108032
8014038,645,37568,459480371,591662190,394589620,0,0,419515158,40239104
8484846,471,44634,468344428,586531463,386771439,0,2,419501034,40370176
9224432,432,37983,457343605,592286367,393790578,0,0,419503998,40370176
10078994,731,43797,439615229,592442402,403677185,0,0,419504355,40435712
10327188,786,39918,433630951,592636561,407210170,0,0,419505123,40435712
5925354,675,39876,501887901,591677031,378426698,0,0,419507115,40501248
8787106,430,37274,455326728,590168475,394870938,0,0,419504400,40304640
1424352,473,58346,593988505,588068365,332704978,0,0,419503728,40370176
3254037,17264232,1844110,541620374,527384251,304390121,0,0,419932515,40632320
7595402,9503058,687463,496606488,561532160,341318241,0,0,419581494,40304640
15588004,2543,78129,473747098,590004555,381974700,0,0,419303925,40435712
20179798,3366,63001,440824939,595663324,397080516,0,0,419494614,40370176
22452683,2905,56812,434510303,595532262,404959579,0,0,419794981,40501248
23017222,2841,58046,424467871,595238689,407761236,0,0,419220611,40239104
23915383,4184,53144,428150637,595378236,406972004,0,0,419503197,40304640
21949881,2515,60496,427160294,595676672,407047343,0,0,419740661,40435712
17623767,3533,52333,405802298,593173564,414603516,0,0,419241700,40370176
20125357,4103,62773,431515038,592177396,402785529,0,0,419488308,39583744
22858027,3061,56871,424537019,593577903,407541324,0,0,419513226,39714816
24177673,4960,56270,423681890,595397636,409271360,0,0,419518497,39911424
23456537,3288,54062,404728774,592186196,413633351,0,0,419502123,39845888
23928656,3035,54486,409838453,595494743,414162757,0,0,419509029,39845888
24197343,3073,54636,418395019,595361654,410304756,0,0,419504676,39911424
19555621,33793,79649,431918603,592908672,398625057,0,0,419508771,40173568
20452032,7628,61700,397083787,589203324,416245737,0,0,419545614,40173568
22153686,5716,62529,423339717,594536132,407377451,0,0,419505654,40042496
25002833,10509,65407,417986362,595068816,409292664,0,0,419513712,40173568
25036113,9861,61369,408021551,595913125,413831041,0,0,419512263,40108032
23091388,17403,59459,415547376,595324403,409640494,0,0,419506545,40239104
17461645,459165,69207,478359822,595231799,382686310,0,0,419503695,40239104
15201835,204223,79382,485507585,592602117,372705138,0,0,419519718,40501248
15866985,134939,67365,488437062,595273822,373582886,0,0,419722751,40566784
15451098,13052,58007,463693131,592855652,384891227,0,0,419280205,40566784
14987874,20151,61320,453790108,594229201,392049658,0,0,419498193,40239104
14391957,21920,65525,448857731,595403058,397444406,0,0,419500602,40370176
14882577,13826,67408,444319495,595518677,395122479,0,0,419507733,40304640
14852071,16157,70195,450680640,593695129,387599648,0,0,419520420,39583744
12422296,20684,60042,491104578,592576000,378127779,0,0,419483391,39976960
6665739,32673,56111,565736266,587981480,351774332,0,0,419509380,40370176
5751114,11619,45176,534695165,591361075,357642240,0,0,419710839,40501248
8585664,7830,37392,490245825,592018662,382132022,0,0,419456709,40501248
9862198,4690,39227,441678429,591976699,402237385,0,0,419279841,40042496
10160033,8487,39982,441808137,587667318,397968288,0,0,419490807,39976960
10686493,10265,34833,432759360,592384064,408459358,0,0,419515617,40042496
11018123,14976,37968,411598635,591107886,415030362,0,0,419496426,39976960
10785062,2194,34541,422620481,589217447,408980620,0,0,419502984,39911424
10774776,9128,35977,409766035,592522654,415705044,0,0,419511300,39845888
10879771,3439,32612,416652562,593334708,413098363,0,0,419554359,39976960
11267208,693,34550,402354775,589760195,418952813,0,0,419543060,40173568
10160730,1285,32521,436709411,589928459,404232543,0,0,419428720,40173568
9146242,611,34404,464738807,590682967,389558934,0,0,419492475,39518208
9876066,3045,30653,434138361,591091771,403066925,0,0,419506407,39518208
7611376,13646,41148,456454251,591969893,398549510,0,0,419504304,39452672
9115878,31338,61905,451535547,592434245,400064626,0,0,419512773,39583744
9035458,30378,73171,447700819,589117998,399466447,0,2,419508897,39780352
8759048,4861,42629,432542569,592327764,407116566,0,0,419509545,39911424
10587526,1118,31131,408358274,592584951,417130336,0,0,419507829,39976960
11209429,3079,32894,390174757,592999885,426550482,0,0,419505981,40108032
11353168,4128,28972,383797300,590705285,423048796,0,0,419516649,40108032
11366153,6567,29292,379015213,591709483,430003970,0,0,419494950,39452672
11257797,8981,30468,382844200,591959305,429191288,0,0,419515533,39780352
11128083,7272,33373,394544588,592920419,422793426,0,0,419494188,39845888
11298377,895,29130,386539513,588390254,424404680,0,0,419506995,39845888
11364706,471,26924,379287710,591657553,429785216,0,0,419496708,39845888
