l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
195642,21119,74837,1530956530,501199090,32371716,0,0,511848699,31784960,42074112,1703936
200766,4934,31871,1577741518,510410225,31960904,0,0,419260602,30801920,42860544,0
197836,16075,62672,1549208208,502501963,32418943,0,0,419476578,33095680,54919168,1703936
221972,5513,34904,1744565230,570738596,36284636,0,2,419387886,34078720,45416448,65536
226292,13436,57738,1716469880,560209537,36356497,0,3,419468100,35454976,59768832,327680
224782,9728,44124,1742500700,565992380,36305076,0,0,419367123,32112640,53411840,0
222721,17863,59215,1740088844,567406559,36461677,0,2,419449861,37027840,53084160,196608
225190,6071,38016,1759061629,573689758,36313288,0,0,419307206,37748736,47513600,0
226234,7630,43895,1736546703,565737313,36306412,0,0,419493216,38731776,57475072,0
221342,9199,45534,1714136513,554894717,35629756,0,0,419310921,38076416,61931520,262144
209987,4218,33028,1645831239,532663128,33859297,0,5,419293032,38797312,41746432,65536
222922,8345,41793,1744796545,570026270,36561299,0,10,419291241,39714816,50200576,0
212435,540,37058,1673479680,545708213,34741649,0,2,419467467,38141952,50855936,786432
125098,1009,18666,1629384276,566098675,45318343,0,2,419333052,37879808,41418752,0
70716,57,6274,1531789244,579799751,57650169,0,2,419350779,37486592,29163520,0
70835,2,6196,1534909420,580184694,57641756,0,0,419379567,37552128,28311552,131072
70664,2,6149,1529871416,576302968,57131434,0,2,419391789,37683200,29097984,0
69383,275,6299,1487707691,560687307,55971699,0,2,419406750,37355520,24117248,393216
71170,98,6279,1539166613,578892098,57457172,0,0,419352942,37224448,29163520,0
69997,96,6380,1528810088,579264467,57649212,0,0,419394822,36700160,28901376,262144
71466,94,6316,1534328353,578242619,57553901,0,2,419373942,37289984,28311552,196608
71623,42,6352,1539470348,579536690,57617231,0,0,419398794,37552128,29097984,0
70508,251,6440,1536435405,580326552,57444069,0,0,419417586,37814272,28704768,262144
71509,65,6328,1538068129,580360768,57661185,0,0,419413635,38141952,23920640,65536
71320,64,6182,1539352629,579250078,57632807,0,0,419441733,37814272,29687808,0
71349,104,6334,1533939107,576373501,57432646,0,2,419342769,37355520,29360128,0
71012,18,6166,1540979125,580183117,57517769,0,0,419379960,37421056,28311552,131072
71316,42,6313,1530288483,576069517,57114047,0,0,419413944,37355520,29229056,65536
72907,110,6246,1541433916,580984659,57697961,0,0,419381862,37683200,23855104,131072
70404,115,6060,1508741245,565981123,56387714,0,2,419431722,37748736,28311552,0
71462,86,6179,1536815991,580169535,57559938,0,0,419354436,37683200,28311552,65536
71357,94,6076,1526592325,577625593,57700530,0,0,419420433,37617664,28442624,196608
72320,100,6237,1530069470,576701093,57405910,0,0,419400093,37355520,29753344,0
72764,33,6271,1540933574,580913792,57727489,0,0,419381994,37224448,29097984,262144
72046,111,6439,1538762859,580796445,57577721,0,0,419395965,37224448,24313856,0
71563,110,6450,1531243542,578008228,57684761,0,0,419403600,37486592,28508160,196608
72165,148,6444,1537235505,579027923,57669341,0,0,419393925,37224448,29556736,0
72376,150,6479,1537606326,576461348,57386000,0,0,419387304,37289984,28835840,327680
72001,12,6224,1540371285,580941241,57362509,0,2,419394123,37552128,28639232,0
72648,275,6350,1529108483,576884630,57631078,0,0,419413761,37748736,24182784,65536
71314,170,6657,1531613541,576165837,57322020,0,0,419413449,37748736,29032448,0
72634,142,6482,1539447604,578999719,57538247,0,3,419503662,38010880,29163520,0
71613,98,6191,1536021697,579943093,57647710,0,2,419321028,37158912,29622272,0
72053,27,6292,1532212897,577150419,57291969,0,0,419481876,37289984,28704768,131072
72831,113,6288,1533062171,577637272,57528721,0,2,419343576,37552128,24117248,4521984
71742,106,6364,1540502408,577901864,57513951,0,2,419428056,37289984,28835840,0
71879,142,6234,1535758137,580112492,57685092,0,0,419385288,38076416,27525120,0
71880,173,6085,1534288882,578310484,57685424,0,0,419399430,38273024,28639232,65536
71751,42,6081,1533283231,578092949,57302468,0,2,419389464,37945344,29425664,131072
70969,62,6091,1523379051,573162717,56748135,0,0,419413065,37421056,28639232,0
67775,29,5837,1436769506,541957926,53885682,0,0,419488758,37617664,23265280,458752
71569,4,6262,1523165019,575829735,57421125,0,0,419409837,37552128,28508160,0
72114,411,6306,1523872945,577046602,57593794,0,0,419316408,37748736,28639232,131072
71874,151,6588,1544320715,580968596,57691575,0,0,419393097,37355520,29097984,0
71405,71,6272,1532995086,579634773,57784834,0,0,419462844,37552128,28704768,0
72191,26,6076,1540459224,578711940,57696519,0,0,419348892,37224448,24379392,131072
71836,190,6450,1534086912,580106705,57673961,0,0,419392149,37552128,29294592,0
70882,142,6447,1544817549,581031047,57491255,0,0,419440149,37748736,28246016,393216
71493,279,6421,1540600298,581992321,57780428,0,0,419389143,37879808,29294592,0
72665,159,6433,1539528457,580312730,57793678,0,0,419396688,38076416,28835840,262144
72449,19,6292,1540705255,580896594,57862994,0,0,419392152,38141952,24444928,0
72023,109,6450,1542886930,581113795,57645942,0,0,419394654,38076416,28639232,0
72104,131,6555,1537531089,581794312,57672122,0,0,419392803,38076416,28835840,262144
71511,283,6395,1541959729,581048146,57830397,0,0,419417352,38469632,27787264,65536
71140,100,6254,1527617900,574687332,57128815,0,0,419404596,38273024,28639232,0
68885,86,6120,1474859896,555731427,55041799,0,0,419300388,38469632,23986176,196608
62300,121,5662,1338808665,504071853,50329565,0,0,419267733,38273024,26214400,196608
62295,177,5550,1338077961,507843652,50444210,0,0,419293335,37945344,26214400,0
65497,2,5692,1395597126,525268911,51956154,0,0,419315160,37748736,22740992,0
70278,185,6149,1499923966,569041190,56606098,0,0,419383038,37683200,28508160,262144
68067,117,6035,1437962213,541000105,53767643,0,0,419481939,37814272,27000832,0
67647,55,5962,1436335774,542991828,53935196,0,0,419385819,37617664,23789568,196608
70444,96,6037,1487479923,558128896,56137117,0,0,419404890,27262976,38535168,0
71175,132,6581,1540908381,580652066,57652445,0,0,419370537,29032448,26738688,0
71679,188,6352,1529057259,577230552,57591060,0,0,419410107,32505856,24903680,0
72910,51,6314,1528418100,575853547,57322320,0,0,419420571,34603008,26411008,393216
72463,2,6342,1535773990,578164126,57493673,0,0,419381142,37027840,26411008,0
71276,417,6561,1543490330,581685104,57523733,0,0,419388579,37486592,24707072,65536
70772,117,6262,1532177876,577812197,57621705,0,0,419420232,37683200,28442624,0
68286,51,6149,1449179246,544103361,54180329,0,0,419416869,37486592,28377088,0
71609,146,6465,1539721309,579893943,57390852,0,2,419387547,37748736,28835840,0
71966,21,6595,1548171241,581006377,57634711,0,0,419396760,37748736,29032448,65536
71420,23,6428,1527771036,575743978,57682815,0,2,419414151,38076416,24444928,0
71800,172,6489,1528613671,578444123,57566393,0,0,419423718,38207488,29360128,262144
71616,202,6710,1538830580,576841388,57436767,0,0,419395695,37683200,29556736,0
71096,104,6464,1536499361,580854027,57418326,0,0,419393502,37421056,28508160,196608
71314,38,6379,1532235329,575248170,57585868,0,0,419425608,37289984,28966912,0
72452,27,6320,1533625467,576893385,57410981,0,0,419404242,37158912,24510464,0
71168,135,6316,1522216004,575898267,57286731,0,2,419559174,32833536,33488896,458752
71013,71,6435,1526888340,580334673,57654434,0,0,419308614,32571392,29556736,0
71777,232,6158,1533463578,577948254,57763620,0,0,419419137,33816576,27066368,196608
71775,133,6480,1534344120,578279729,57629850,0,0,419417088,35782656,26673152,131072
71914,29,6260,1548809775,577547903,57370700,0,0,419404281,36438016,23527424,65536
71441,208,6535,1526084759,577098577,57592616,0,0,419483859,37879808,27721728,0
71493,131,6510,1522413069,575644156,57413572,0,0,419339145,37617664,28377088,524288
71893,142,6450,1536642793,579331117,57578121,0,0,419390523,37486592,28966912,0
71476,415,6479,1540069918,579078453,57454899,0,0,419393454,37486592,28901376,65536
71211,121,6325,1538321360,578526174,57622456,0,2,419407158,37486592,28704768,0
72261,10,6326,1535220360,578534774,57630664,0,0,419469615,38010880,24379392,0
71737,152,6437,1529645498,576952793,57377855,0,0,419399271,38010880,28966912,262144
71527,225,6252,1543345086,579822152,57488392,0,0,419328789,37617664,29622272,0
71191,65,6362,1537482300,579746213,57616790,0,0,419398884,37748736,28377088,0
71471,146,6373,1527883604,575944869,57433829,0,0,419426847,37224448,28901376,0
72276,8,6170,1533792309,577098077,57417323,0,0,419416974,37224448,24379392,196608
72120,14,6383,1536641176,580450331,57672169,0,2,419381025,36962304,28835840,196608
71413,246,6378,1533999333,580609877,57677959,0,2,419388393,37093376,28246016,0
