l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
59089,0,582,205595644,89193815,8298846,0,3,488608123,40566784,210370560,655360
58556,15,608,204789868,89144561,8524905,0,0,419463375,40763392,208535552,524288
58845,0,666,210035452,91058991,8854131,0,0,419542179,40697856,207552512,0
58903,40,776,210003606,91017652,8853439,0,0,419525334,40763392,207421440,327680
61032,0,887,197149697,86257352,8413299,0,2,419503479,40566784,198115328,0
60440,84,1230,202801237,89599525,8436083,0,0,419671773,40894464,199491584,0
81272,3679,162126,741323412,387669375,83041110,0,0,419442132,40763392,134086656,0
105132,127,13706,1156281482,587887980,121845567,0,0,419348601,40632320,32768000,262144
106725,480,14209,1147221476,580199503,120851107,0,2,419318946,40697856,30474240,0
105258,21,14286,1162156508,585400831,121157732,0,0,419422404,40370176,24051712,0
106683,99,14835,1149057465,583383913,121832420,0,3,419438901,40435712,23986176,0
107432,60,14112,1156815654,583170079,121290495,0,0,419407131,40239104,23461888,65536
104934,63,14198,1157222015,587423369,121639584,0,0,419327160,40435712,21823488,0
106192,138,14369,1147715147,580286108,121104963,0,0,419462367,40501248,24182784,0
105439,0,14204,1162135797,585294334,121324769,0,0,419321946,40763392,24182784,0
105441,88,14437,1147300520,582762768,121734955,0,0,419470128,40763392,24313856,196608
106716,80,13774,1153796422,581828821,120846788,0,0,419333523,40763392,23920640,0
104995,46,14258,1152330774,585423231,122219030,0,2,419440065,40632320,25100288,0
106457,2,14194,1147133321,580429855,120744457,0,0,419395962,40697856,24051712,65536
105019,517,14522,1155245088,584580792,121459015,0,0,419463600,40763392,25034752,0
105398,72,14402,1144003220,578933632,120977839,0,0,419325942,40042496,24379392,0
105362,15,13816,1154275091,583384608,121053463,0,3,419411544,40042496,23855104,196608
104943,16,14276,1145911725,581921073,121495943,0,0,419376615,40304640,23855104,131072
106206,25,13867,1150151146,581355949,120603882,0,0,419391540,40304640,24903680,0
105311,42,14431,1154483089,586720851,122042823,0,2,419402310,39714816,21430272,0
105897,85,14114,1145614966,579705896,120996654,0,0,419388798,39845888,23592960,196608
105170,0,14133,1154861042,583108763,120878412,0,0,419403528,39845888,24772608,0
105101,44,14098,1145122027,582019040,121533715,0,0,419401989,39780352,24182784,65536
105189,0,13935,1154277310,581602824,120367709,0,2,419384967,39976960,24707072,0
103874,110,14284,1146401183,583461104,121878165,0,0,419392089,39911424,23592960,0
105950,0,14161,1148211099,579687553,120586138,0,0,419394111,39911424,25100288,262144
104573,79,13874,1154296038,587077850,121696100,0,0,419397024,40042496,24379392,65536
105853,0,14237,1146270355,580595426,120714370,0,0,419391735,40042496,24313856,0
104611,54,13990,1158112904,584743363,121008334,0,0,419401185,40108032,24051712,0
106568,76,14511,1146589800,580834650,121295014,0,5,419452866,40304640,23396352,196608
105993,13,14086,1152432531,581929562,121074071,0,0,419332716,40042496,24379392,0
104501,58,13882,1148042433,584018142,121435400,0,0,419416194,39911424,21233664,0
106111,8,14055,1145876029,580904066,120764183,0,0,419386080,40108032,23855104,0
104055,10,14143,1152472275,585361554,121448784,0,0,419391456,39845888,24248320,196608
105422,38,14326,1142357700,578745099,120853402,0,2,419416593,39911424,24248320,65536
105125,148,13568,1158670192,584189480,121003541,0,0,419394888,40042496,24444928,0
104752,66,14157,1145846924,582679124,121701188,0,2,419453829,40173568,24117248,0
105633,0,13751,1151872463,581250739,120453503,0,0,419347629,39845888,23920640,65536
104909,520,14025,1150466076,584057303,121572668,0,2,419397915,39911424,24313856,0
105515,0,13975,1146734575,578909118,120403730,0,3,419388645,39780352,23986176,0
103971,0,13908,1145644318,582908198,121848937,0,0,419390925,39714816,23527424,131072
105974,196,14201,1144071730,578868281,120484527,0,0,419459103,40108032,23986176,0
105233,10,13807,1159349154,587264577,121664187,0,2,419335590,39714816,21823488,131072
105105,108,14376,1145097232,582388018,121683305,0,3,419382729,40239104,23592960,0
105126,0,13840,1152832246,581957518,120666675,0,2,419460726,40370176,24444928,0
104538,42,14256,1148516353,583969317,121933818,0,2,419362968,39976960,25100288,327680
105512,0,13933,1147102605,578471133,120378498,0,2,419360814,40239104,24117248,0
105030,430,14158,1155870370,587249470,121707960,0,2,419462682,40435712,24641536,0
105555,57,14040,1142742779,578844096,120457096,0,2,419332863,40304640,23920640,196608
104425,496,14071,1152235108,583756518,121152152,0,2,419393472,39452672,24969216,0
105492,10,14264,1145428140,580079514,121146887,0,0,419395176,40042496,24051712,196608
105062,38,13868,1154106291,584478238,121178491,0,2,419457834,40173568,23724032,0
105377,10,14119,1143534583,581600438,121534289,0,0,419346363,39976960,24313856,0
105506,0,14099,1151499404,581208542,120931138,0,3,419486490,40042496,23461888,196608
104499,84,14270,1154639901,586886626,121606283,0,0,419381715,40304640,20971520,65536
105479,6,14104,1144048565,579531941,121060579,0,0,419428329,40501248,23986176,0
104861,32,14098,1159102045,584716021,121216802,0,0,419418111,40239104,24444928,196608
105946,23,14228,1141967691,580906213,120966406,0,0,419348547,39845888,24707072,0
105285,2,14466,1152693350,582012079,120549953,0,2,419456685,39845888,23658496,131072
104610,8,14437,1144388502,582237607,121570632,0,2,419421252,40239104,23920640,65536
105359,93,13892,1146501341,578276287,119799607,0,0,419374353,39845888,23920640,131072
104653,63,14097,1147279640,583486406,121871356,0,0,419385522,39845888,24117248,0
105988,22,14050,1146848845,578849262,120481288,0,0,419466366,40042496,24248320,0
104033,361,14023,1149954226,583604638,121390415,0,2,419351349,40304640,23920640,0
106077,0,14234,1150529849,582766284,121152182,0,0,419440200,40435712,24379392,196608
105869,52,14228,1154749829,582757781,120742685,0,2,419333133,40370176,21168128,0
104612,20,14535,1144927503,581607985,121477272,0,2,419392830,40370176,24510464,262144
106465,0,14189,1146591398,578779529,120431479,0,2,419394717,39649280,23855104,0
11837372,99830428,7023665,184484381,301909240,218002312,0,0,419694723,40828928,1713569792,3538944
128603325,4093558,8711851,5568073109,7899412227,5127876928,86604203,0,419564677,41877504,607322112,1966080
130333105,3656951,9161348,5773836558,8116402302,5393062428,91796378,0,419835576,41877504,576978944,0
131093173,2550710,8664563,5472094586,8129583190,5465278954,92912474,0,419545626,41811968,554369024,589824
127796196,2441901,8987230,5731606963,8008542379,5249459292,89221678,0,419371644,41811968,574750720,3211264
132850301,3755387,8187730,5237927694,8104725017,5452731697,92198945,0,419689982,41877504,541720576,0
130985181,2632016,8492162,5398009016,8142679836,5421154284,91315615,0,419632126,41877504,560660480,0
130084069,2049173,8758232,5578216640,8121509542,5387148832,91932452,0,419642946,41877504,575733760,0
130564648,2187495,8747802,5500505850,8138438727,5442007518,91848892,0,419844727,41877504,558039040,1507328
127419203,2553435,8519710,5418108588,7996044217,5295624347,89173132,0,419446628,41877504,557187072,1179648
130031041,2631627,8649755,5502256155,8131875070,5423502615,91507631,0,419936442,41943040,572391424,720896
129465311,2860513,8924800,5688826915,8131187559,5374416220,91346072,0,419893899,41943040,579010560,0
