l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
25872209,569912,1712,2887644392,7302702337,4944367355,15473028,2,610543998,34013184
30154356,433943,1598,3242035053,8203597847,5561179288,18005877,0,420764757,38600704
30346906,597856,1882,3228964990,8191652993,5565327420,18034340,2,420700055,39780352
30488386,537801,1741,3236556728,8196216466,5561559189,18113477,0,421115252,40501248
30361165,297593,1872,3236867577,8202679686,5568844735,18107269,0,421162992,40697856
27283998,441152,2270,2901366716,7337868423,4963551264,15975872,2,421100240,31588352
30414484,582648,1778,3244136245,8198283568,5564462426,18168811,2,420769210,33947648
29873923,386470,1762,3246798079,8195399969,5545869635,18035567,3,420667474,38141952
30420882,506631,2027,3238985018,8202257932,5568724481,18075213,0,421167499,40173568
30539993,610288,1934,3240190201,8194898531,5558390403,17940550,0,420860013,40828928
26058013,508308,1668,2881140246,7314494987,4956762239,15989196,2,421092968,32047104
30631621,459659,1864,3240570031,8194867010,5564610295,18077185,0,420911336,32702464
30161568,273919,1673,3252628689,8192882600,5549188333,17916019,2,420587582,36700160
29980204,478213,1861,3246493591,8203733546,5561356719,18008632,2,421023258,40304640
30178217,484216,1960,3238528015,8201971650,5573395838,17997175,0,421152200,40960000
28411883,445562,1829,3083785315,7772970585,5271224898,17213925,0,420456216,36372480
28331379,469452,2466,3038444863,7671590648,5201918623,16814979,0,420973986,33357824
30181654,386789,1717,3245794183,8203928391,5567172641,17775660,0,421241226,37617664
30408512,683442,2107,3238763371,8190448978,5559891815,17825257,2,420695312,40042496
30105950,480993,1870,3250908943,8201208373,5558865421,18041465,0,421052912,40632320
30302785,390943,1697,3245031928,8208435758,5563559194,18235708,0,421079240,40894464
29649375,558995,2210,3202890197,8077989953,5461892956,17520236,0,421194696,39452672
30511686,514007,1813,3243839175,8195338507,5559242067,17642843,0,420873996,39976960
29694308,349961,1961,3259179450,8198153239,5554009323,17799019,0,420817614,40763392
30131715,529930,1838,3239624042,8204001688,5561504272,18356258,0,420975712,40960000
30762522,552168,1837,3231147774,8200354381,5574937211,17951420,0,421049768,41025536
30251104,459723,1963,3242975183,8194296056,5560180950,17703562,0,420967142,41091072
30082616,503578,1956,3240372568,8202648840,5567016037,18172041,0,421040236,41025536
30225026,378283,1770,3235010131,8200282550,5558876952,18328986,0,420809580,40763392
30901749,695509,1951,3228276862,8194348743,5567243503,17827829,3,420787024,40960000
30148289,454611,1890,3247672710,8195475238,5559930478,18042821,0,421035289,41156608
30153919,520391,1784,3232442269,8207906544,5570724681,18212989,0,421137136,41222144
30590737,439635,1706,3236001009,8199870230,5563396780,18106071,0,420990517,41287680
30359433,521466,1791,3237540965,8195526694,5567407936,17624710,0,420869070,41091072
30111849,601034,2131,3237049582,8194956998,5563832903,18118834,3,420854724,41091072
30212169,531235,1639,3229123063,8203039753,5563821778,18346878,2,421030636,41222144
