l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
59337531,353244939,39448124,6751925293,3927056813,1534241139,1004,0,500345151,41877504,4641390592,214368256
59625112,335786983,25596917,10034409215,4145562891,772376191,627,0,419772216,41943040,2664169472,0
26794760,563209,13658045,8639297234,4138900111,1113146565,2,0,419677530,41943040,547487744,0
26508884,374052,13035114,8521704481,4131244859,1163498386,157,0,419767512,41943040,501809152,1703936
30198561,200668537,18148781,9407913971,4072289077,818741099,1173,0,419866617,41943040,2115829760,180486144
97650939,608278517,47899197,8461314668,4137825742,1207259617,795,0,419864718,40894464,4725932032,0
24570550,946947,13798690,9664947405,4136832249,798865015,2,0,420120962,38535168,612761600,0
27185671,414607,13289850,8496900305,4134276286,1161114598,29,0,419576459,41943040,511049728,196608
60388163,325009804,32669329,7602548237,4133281372,1440754109,599,0,420023427,41943040,2931884032,57737216
78984912,585500487,35578795,9207095862,4140704657,845314553,1187,0,419927179,40828928,3517972480,0
26717840,667197,14121998,9214661715,4137982449,908323200,178,0,419449705,41943040,576061440,0
27107161,380963,13548897,8816250657,4126185430,1071561108,159,0,419614209,41943040,522059776,0
105400182,700536603,52476432,7053264253,4129537980,1532628041,428,0,419812911,41811968,5006753792,88145920
34792713,72863045,18605116,10663611373,4136100264,567891507,536,0,420138327,41943040,1496842240,0
28081418,428315,13712200,8462392101,4148008362,1187108747,3,0,419544212,41943040,530382848,0
30466127,392540,14091205,8885621039,4129391000,1061436643,107,0,420037662,40763392,524877824,0
116685673,802315046,55913144,6361727538,3914075178,1581063751,860,0,419485333,41943040,5800656896,6553600
21806561,1361243,13813884,10764556125,4139703247,494094456,124,0,419951400,41943040,678166528,0
27645392,418574,13520995,8369098388,4131186234,1190705068,106,0,419927630,41025536,516227072,0
26007091,353308,12927688,8598541087,4145697494,1182001115,2,0,419693142,41025536,503578624,1310720
116168379,848955224,55454006,7278471738,4131192488,1475071180,1204,0,419794732,41943040,5874647040,5111808
23353925,1156677,13766490,10159266822,4140570989,658395252,85,0,419741277,41811968,641531904,0
27247816,414448,13340501,8409069969,4129795162,1182822621,87,0,419928761,40828928,512163840,0
40635632,184994520,20148059,7860687503,4136567602,1385577381,437,0,419632786,41877504,1795489792,122290176
100151029,688902084,48966753,8438077991,4139785793,1088371756,1155,0,419818467,41943040,4625596416,0
24762291,1018752,13677680,9562988299,4140141292,827579620,113,0,420036360,41746432,602537984,0
27087630,399770,13309871,8517078251,4131579590,1154514523,87,0,419822697,41091072,514785280,0
60228290,334301729,34028880,7575547617,4132937636,1435693554,508,0,419700805,41943040,2935488512,64487424
80922606,563734574,36743350,9281548327,4141316624,845949922,848,0,420032450,41943040,3524460544,0
26293229,673842,13629172,8995705196,4142903719,1002845273,168,0,420062531,40960000,563609600,0
28242521,476595,13501352,8610226649,4129618311,1144413681,116,0,419563750,41877504,513802240,0
89123849,611708242,46422129,7163691015,4027897218,1408568520,572,0,419878443,41943040,4367056896,73007104
52168815,277037705,26100837,10256757936,4144150605,617391725,665,0,419898387,41943040,2127691776,0
27803284,433717,13626305,8457505633,4140240562,1166492395,192,0,419939745,41943040,531103744,1376256
26357767,364841,13052320,8583476119,4130574643,1155537236,100,0,420007878,41811968,507183104,2293760
121044126,884201442,58957920,6618313236,4129565183,1660833536,1003,0,419823873,41877504,5813305344,6815744
21509265,1546111,13834294,10994579180,4141079487,434562936,127,0,419778273,41811968,702087168,0
27835130,420495,13695322,8486168216,4130047633,1163518478,180,0,420027156,41943040,520814592,131072
28393658,388540,13424847,8679834142,4099645205,1112093290,0,0,419956809,41943040,508624896,917504
122236206,863850941,59488105,7076941212,4069479583,1457834928,838,0,419632542,41877504,5851185152,4259840
23336661,1157848,13955838,10492420816,4138927534,573332489,168,0,419708349,41156608,656343040,0
28935276,458755,13997338,8780744259,4128926484,1055377712,138,0,419619726,41877504,539099136,131072
44325400,217192871,22953453,7835672859,4041421190,1298039037,261,0,420016023,41943040,1972633600,57606144
99234912,669492646,48410148,8710393746,4138500045,995529380,1098,0,419898246,41877504,4460773376,0
27232400,1158328,14506441,9870352206,4130202206,723549796,187,0,419628156,41943040,616169472,0
27871566,482194,13610786,8696015773,4039798528,1021821634,155,0,419666337,41943040,521338880,1245184
74938708,411178367,41943674,7787380740,4129113417,1342701254,589,0,420509501,40894464,3732668416,98041856
63306997,421252671,29248875,9696045331,4141964534,792808231,689,0,419178513,40960000,2754215936,0
27807332,544343,14107285,8993694060,4139779084,993622894,117,0,419637211,41746432,567410688,0
29191544,505596,13873248,8956713941,4127761391,1027349281,110,0,419722641,41943040,527630336,0
119986279,857083503,58613340,6448115077,4033831884,1608079534,1172,0,419767314,41811968,5796790272,7274496
21472834,1546861,13894132,11015919318,4139757615,417574179,163,0,419819064,41943040,701759488,0
27475026,413010,13605265,8395155327,4129348488,1185709375,130,0,419912079,41943040,521076736,327680
25844379,349575,12817316,8554034071,4145220841,1196193720,31,0,419679090,41943040,496238592,1376256
120078656,843356229,59473485,7128661512,4129671110,1499303482,1001,0,419848494,41811968,5853937664,5963776
23012230,1240446,13871173,10467931806,4139754598,577143139,228,0,419722161,41943040,655949824,0
28084743,417716,13680196,8530001675,4130310680,1148281023,134,0,420178784,41025536,524025856,2359296
35495947,89903065,17129433,8163135563,4031727299,1186659892,280,0,420039925,41943040,1187512320,93650944
108374906,754356505,54017990,7980020741,4139744012,1274172834,909,0,419748768,41746432,5205983232,0
24306703,1018100,13743865,9835885157,4139895659,765207768,136,0,419757681,40108032,614727680,0
27175263,400221,13343163,8490495336,4129876751,1160741250,141,0,419537575,41943040,514654208,131072
53818573,290380628,29309827,7529838894,4134402535,1465225618,509,0,420393127,40894464,2569666560,65732608
85372587,563037278,41313712,9174082764,4141356938,915644923,635,0,419259802,41025536,3875012608,0
26391077,817338,13971834,9426025740,4138400634,871783253,82,0,419502405,41877504,589496320,0
29187178,410786,14104094,8960964886,4128818572,1023857960,141,0,419631167,41943040,535494656,327680
91022486,637258301,47075528,7209780965,4036097403,1382924225,598,0,419851105,41943040,4435738624,115146752
50521900,261721879,25438737,10341289410,4144120091,597995285,780,0,419782704,41943040,2062745600,0
27922998,419557,13803996,8538098933,4140365211,1150372305,148,0,419939298,41943040,537395200,0
26359296,360594,13050657,8629122779,4129730217,1136741909,86,0,419686125,41877504,507379712,1179648
121421125,815162309,59671492,6928296962,4128879920,1600212699,724,0,419874807,41943040,5828247552,7602176
21870151,1406168,13882594,10848516757,4138404965,473930820,168,0,419767707,41943040,687996928,0
27583870,414185,13592751,8379267673,4129200424,1195137037,183,0,419624837,41943040,514588672,1507328
25890320,343467,12872587,8568301281,4145783408,1190696123,2,0,420017484,40960000,502923264,0
116409437,815541829,55426630,7223582767,4126856886,1521503798,1241,0,419634355,41943040,5870190592,5373952
23768802,1289830,13942363,10288490826,4140449571,619216211,96,0,419748531,41943040,651493376,0
28013098,468436,13403827,8306845766,4021412442,1116501592,111,0,419722119,41943040,507969536,0
37944082,135056116,18129423,8060056646,4137244056,1333611248,328,0,420217869,41877504,1489960960,101384192
102084486,704250422,50994253,8183089958,4139394850,1200737926,760,0,419695872,41943040,4918018048,0
24605493,981037,13827326,9779125364,4140192135,767987271,114,0,420180714,41943040,614334464,0
26957234,388447,13173910,8440991098,4130517045,1186956664,114,0,419614635,41943040,509411328,720896
58731705,315485311,32052546,7587928292,4132973497,1456996333,425,0,420019233,41943040,2788229120,48627712
81354436,551580657,37637761,9228595965,4142207181,870397975,889,0,419918037,41156608,3662872576,0
29147717,781217,14727965,9479436396,4140843760,849891517,41,0,420071289,41943040,597753856,0
26133754,442666,12615332,8140146412,3921550692,1086878644,72,0,419784408,41943040,487260160,0
87899225,590251712,45661122,7439682966,4133240638,1421864020,608,0,419811465,41877504,4304338944,92405760
54173597,297877474,27229066,10152935158,4143411489,643832422,794,0,419713092,41943040,2198077440,0
28060617,434155,13885694,8625532864,4139873033,1113018937,157,0,419834880,41877504,543883264,0
26114357,360323,12950262,8538227880,4129423022,1177560046,165,0,419688789,41943040,498401280,1114112
118362063,821258991,58613846,6648328012,4130369864,1672856928,1022,0,420156096,41943040,5812584448,5767168
21593382,1506337,13819836,10951013800,4141848404,438272349,167,0,419703327,41877504,698613760,0
27560798,418324,13548084,8356691170,4128763923,1196043205,119,0,420154257,41877504,517341184,0
25896401,348686,12869302,8556245722,4147599909,1197361141,0,0,419637927,41943040,497942528,1048576
116283481,820907615,58204597,7138627213,4126874078,1526512884,958,0,419734044,41943040,5865603072,5832704
23678995,1276338,14000855,10480672208,4139485025,575779190,167,0,419800761,41287680,655949824,0
28037139,469895,13450376,8318208534,4021151507,1115727818,130,0,419861304,41877504,511639552,1376256
33202977,80869108,16926906,8261886146,4138220927,1262141922,289,0,419744757,41943040,1151729664,79691776
108261057,761449987,54455576,7967478689,4138501461,1252541037,800,0,419849430,41943040,5250285568,0
24560230,983083,13881373,9894885790,4140578284,737118238,188,0,419740176,41943040,619970560,0
28685089,413805,13886211,8737935678,4131585652,1094061672,139,0,419758281,41943040,526712832,0
59417067,311412188,32798882,7576744966,4029306399,1358219359,317,0,420483617,41418752,2782527488,64618496
83112447,553089333,37907571,9249114328,4142531989,880342718,693,0,419522038,41877504,3667001344,0
25817741,764514,13699686,9133619194,4139223858,964160729,48,0,419753499,41943040,573243392,0
28332949,397373,13433390,8580154684,4129632372,1147896441,124,0,419805507,41943040,514392064,1441792
83553431,545513447,43178800,7218283799,4025066874,1388157890,631,0,420199557,41943040,4038262784,119996416
56830676,342220343,27275466,9990715708,4144683455,710790876,670,0,419750856,41943040,2444296192,0
27134734,470230,13580206,8513493101,4140931890,1150994797,125,0,419892090,41877504,538116096,0
26073788,361923,12816428,8441847168,4131161616,1192364833,91,0,419666225,41943040,495255552,786432
114965597,864320586,53403247,6598256523,4131006830,1619362654,776,0,419968852,41943040,5531303936,93061120
24423354,25775974,17164022,10848817227,4138593366,475861472,665,0,419680239,41943040,979959808,0
30258796,523200,14251579,8452101166,3967287335,1026843696,8,0,419650815,41943040,525402112,0
25463664,350228,12566298,8377000217,4085894135,1181857074,92,0,420055133,41091072,492699648,917504
117673044,887545439,57003854,6833177201,4126722770,1569531723,1220,0,419658136,41222144,5847187456,4456448
22360442,1238013,13763992,10570502466,4141023180,536543237,107,0,419744301,41943040,666304512,196608
27480015,398034,13421971,8411263173,4128176966,1176994174,123,0,419759799,41877504,516096000,0
25811565,350555,12848492,8531432449,4146532317,1202716669,14,0,419786565,41943040,528941056,98500608
117724956,886525311,58202240,7382916274,4125924352,1389387067,1169,0,419826581,41091072,5855903744,0
24856379,1208831,14142555,10200530392,4131122063,626680793,92,0,419479717,41943040,638976000,0
28153976,565807,13644048,8614257326,4029860306,1029121145,129,0,419546187,41943040,525729792,0
54312446,284290045,30545701,7815263508,4131473946,1378684084,354,0,419867562,41943040,2516975616,52232192
87594337,542605305,41851271,9220896514,4140487823,900355141,711,0,419907215,40960000,3939237888,0
27404839,788994,14203098,9496950204,4139580716,865710710,114,0,419958424,41943040,596246528,0
26622789,418625,12925573,8265326320,4025741740,1156469992,148,0,419565528,41943040,495845376,0
76178922,453080336,41057984,7474694160,4132836796,1420132526,516,0,419965995,41943040,3733258240,76873728
62748910,405936565,28959785,9751223311,4144259743,785888684,686,0,419951544,41877504,2747531264,0
26752067,515560,13555757,8607237359,4140765879,1117447894,106,0,419655210,41943040,539557888,0
28392424,402314,13484171,8658446915,4130600457,1128757808,116,0,420061016,41025536,514719744,851968
108293903,778170901,51399752,6505642504,4023185862,1558827376,828,0,419764894,41943040,5235408896,74776576
29774899,68105852,18277989,10700364682,4137270457,517186351,507,0,419693730,41746432,1246953472,0
28165022,413830,13883482,8575582438,4146929262,1145997539,3,0,420014661,41746432,537788416,0
25979075,345807,12747989,8503139801,4132746366,1183879774,35,0,419927160,41877504,497221632,131072
116931030,881063062,57308601,6840817929,4129358563,1560289718,1282,0,419723007,41746432,5838602240,5111808
22455795,1339891,13878441,10621310760,4139460975,514453352,197,0,419905860,41943040,666566656,0
27561222,397418,13493204,8434442684,4130235145,1171094288,99,0,419784390,41877504,516816896,131072
27601365,361395,13162178,8522958086,4041179401,1111504923,0,0,419831040,41943040,518979584,103350272
119677851,882647828,58758921,7408762490,4108295208,1364280923,1037,0,419753917,41943040,5851119616,0
