l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5233724,5285797,5312719907,2076345888,518880909,30348,0,286820304,41746432,504102912,0
5426500,5627139,5287038931,2075816514,518441736,35442,0,210073254,41746432,402653184,1900544
5633888,5919354,5268201088,2075457708,522870249,2264,0,210213537,41811968,447741952,720896
5670874,6045981,5175245131,2077069209,543749203,16543,0,210344682,41877504,458883072,851968
5872500,6367401,5194735687,2075886262,542147959,7646,0,210126180,41811968,493879296,1900544
5902347,6436684,5089026468,2071916044,559032159,20983,0,210196453,41877504,504102912,0
6150945,6770859,5194382270,2075822825,538328257,19175,0,210132989,41877504,526516224,0
6485478,7165726,5328879536,2074343587,494914743,3729,0,210054888,41877504,566820864,3014656
6608201,7372853,5349302735,2075411600,488065253,1408,0,210164685,41811968,604045312,0
6798604,7578698,5396727711,2074475092,478402180,2687,0,210166599,41877504,598540288,2621440
6875787,7657343,5323003394,2070357631,481979864,5761,0,210406897,41877504,616890368,65536
7035291,7899530,5452618924,2076750214,469874264,419,0,209994555,41811968,636551168,983040
7217108,8094380,5499960201,2073554800,441056017,586,0,210125238,41877504,667746304,786432
7272647,8128385,5471325709,2075163320,454170047,26,0,210203421,41549824,670957568,0
7292026,8123293,5396033897,2074219346,470630229,820,0,210111056,41877504,676134912,4325376
10365038,8816019,4465318461,1754064426,410178289,2001,0,210634898,41418752,1062666240,51838976
73180305,23153625,1365304772,1838856477,1256506607,35029,0,210343467,41943040,2270887936,0
87107490,16374341,804308507,2076574499,1575713436,36238,0,210160555,41877504,1048510464,5832704
87764501,16487509,824255855,2074480128,1563013624,49375,0,210278404,41877504,1068367872,0
86807423,16340056,802761377,2074363916,1575337174,36525,0,210588380,41615360,1049100288,0
86506702,16328771,804321761,2070484010,1567599597,52537,0,210113285,41943040,1047461888,2031616
87184316,16400814,804481382,2074254629,1573472520,35924,0,210204787,41943040,1052114944,1572864
90865784,17041308,849740828,2073490314,1546428813,48144,0,210486935,41680896,1094320128,5111808
87373041,16401301,808368717,2075980816,1576125129,29520,0,210392956,39452672,1055195136,0
87318467,16375084,806953442,2076159894,1576668077,30350,0,210445408,41943040,1052246016,0
92545865,17394096,861051928,2075141245,1543399389,52785,0,210068762,41943040,1110966272,1966080
93206500,17572824,863573994,2071270114,1538321081,30505,0,210180590,41943040,1133314048,6291456
88713678,16687875,827149575,2073646577,1558140206,47221,0,210634630,41877504,1073020928,1703936
92912494,17382557,856653859,2075744374,1546767143,29503,0,209943729,41943040,1118240768,786432
98183499,18531164,916183557,2074221982,1508507230,48751,0,210096891,41943040,1188102144,1507328
96239980,18176673,899719983,2073364533,1518045347,46833,0,210139673,41943040,1164443648,458752
90919865,17070492,838880139,2073866581,1557066956,36714,0,210258062,41943040,1096744960,3014656
88198580,16699049,822721882,2073855153,1565382951,58766,0,210131150,41943040,1064828928,1507328
92210363,17286912,847522991,2071223134,1544481348,36008,0,210345465,41943040,1110507520,4653056
89685391,16844933,840726673,2075183492,1557700848,42434,0,210163095,41943040,1085341696,0
93743350,17648234,862447629,2074282326,1540720421,35579,0,210139503,41943040,1127809024,0
97726077,18417791,909879656,2073816376,1510095895,52508,0,210193206,41943040,1179975680,524288
94485583,17730381,870388948,2075154396,1533349337,34417,0,210636601,41943040,1143537664,6291456
94088984,17749661,878105167,2075311204,1533174428,48573,0,209878517,41943040,1137573888,3473408
94995218,17869244,890847397,2071881665,1523094847,46196,0,210619824,41943040,1152712704,0
88819680,16749975,818597571,2076030892,1569698016,41816,0,210248610,41943040,1071775744,4325376
91987015,17329867,847620553,2076632723,1551789897,42948,0,210319533,41943040,1104674816,0
95590138,17954119,893774842,2075108531,1524158886,46817,0,210245811,41877504,1161101312,0
98990545,18584836,921328740,2073607087,1503124934,48689,0,210449181,41943040,1191772160,0
99265730,18682701,924120545,2076150167,1504103736,52740,0,209933784,41680896,1197867008,6094848
99803995,18698502,917668099,2073906387,1504830032,35900,0,210113754,41943040,1197604864,720896
98847781,18598912,919502397,2068282174,1501212553,46374,0,210087423,41943040,1192558592,3407872
98542016,18577879,921817492,2073438164,1503575312,46175,0,210117039,41943040,1195900928,0
99069046,18645346,916825021,2074741211,1509123988,30595,0,210310686,41943040,1199767552,4784128
98645400,18540553,916949032,2075098665,1506255132,52505,0,210153441,41877504,1196949504,0
94816479,17839523,884141053,2074061519,1528044531,57209,0,210296010,41943040,1140719616,5963776
90043032,16883325,832012026,2076607345,1562423070,29728,0,210219704,41943040,1082589184,1572864
87339822,16443373,813984609,2073758175,1569821319,47379,0,210186043,41943040,1053360128,0
88411050,16583061,816487535,2074991080,1570766990,30449,0,210229317,41943040,1070530560,1245184
90717429,17031912,838869425,2073374090,1556393900,35339,0,210228326,41877504,1091174400,5701632
86602235,16374536,811687891,2073348057,1574397843,48979,0,210577340,41943040,1050214400,0
89021347,16766857,820143228,2077517372,1570656566,41322,0,210261700,41943040,1072103424,1310720
90940729,17096835,847388742,2076152827,1551317662,56460,0,210327881,41549824,1096351744,0
87619163,16463440,808100448,2076528592,1573652854,36336,0,210389365,41943040,1055326208,983040
87097140,16380961,804423674,2075760837,1575248857,35328,0,210227241,41877504,1048051712,5111808
86876676,16418041,808288541,2074435567,1568242146,54720,0,210250492,41943040,1059979264,0
87430622,16427886,806662075,2075258477,1573682644,35038,0,210136633,41877504,1048313856,3211264
86839894,16273257,811250819,2074651061,1569370689,54146,0,210230626,41943040,1045430272,2031616
87131299,16352867,803381149,2073817804,1574147328,35465,0,210290880,41943040,1050607616,786432
90769168,17080583,838477524,2074002557,1554001267,35737,0,210241315,41877504,1093074944,2555904
93418542,17579268,867697570,2074814422,1537889989,54965,0,210209962,41943040,1132462080,0
88448479,16629491,820032001,2075762770,1569244457,35446,0,210629336,41877504,1066663936,3080192
87708414,16599383,819969122,2074456003,1567778869,58566,0,209828664,41877504,1064763392,0
95936913,18019819,897132582,2074936586,1520989028,45547,0,210141327,41877504,1157300224,1507328
99905960,18713932,918041902,2073949433,1504969340,36985,0,210092085,41943040,1196425216,4128768
99167296,18680890,923387588,2074526347,1502505735,54327,0,210161265,41943040,1196294144,2752512
98825482,18617497,922124381,2071280807,1501352010,46981,0,210071856,41943040,1200553984,0
99150678,18660523,917575647,2074238630,1508317175,30438,0,210049938,41943040,1198850048,0
