l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4248719,637576,1309012028,2077465141,729872171,0,0,377706050,458752,458752,327680
3881960,929467,1339374590,2076899715,727718462,3,0,210198616,393216,0,131072
3680087,921332,1298389062,2076289887,729949099,3,0,210151342,458752,0,0
3534221,808277,1299266895,2076886702,729543881,1,0,210688890,393216,0,65536
3945619,603244,1298617987,2078440756,728446246,128,0,210009698,720896,393216,65536
4041175,846866,1332137691,2074110019,725422720,1,0,210050985,720896,65536,65536
3648452,925167,1311948064,2076316425,726987610,1,0,210106386,720896,0,65536
3459294,913535,1295021248,2073964818,727698127,3,0,210147315,786432,0,0
3823820,583299,1290507313,2076910662,726776176,0,0,210559798,851968,65536,131072
4206101,746052,1329019105,2078882410,726766243,3,0,210166046,786432,0,0
3759185,953214,1327332619,2075160563,725503440,1,0,210496050,786432,0,65536
3674937,950919,1306258384,2079553610,730968005,0,0,210200840,524288,196608,262144
3490475,702841,1292644149,2075809188,726940776,0,0,210284012,589824,0,0
4077361,614327,1301526889,2077896991,727454902,1,0,210463474,524288,0,131072
4093754,853436,1338793189,2076410374,726736241,0,0,210044959,589824,0,0
3573913,954876,1311879540,2075656533,728475027,0,0,210473468,524288,0,131072
3515856,827379,1290088422,2078061181,730366072,0,0,210021460,524288,0,131072
3799583,658595,1301098622,2074024635,726501144,0,0,210032382,524288,0,131072
4152834,716373,1316116130,2075990233,725631370,0,0,210126201,589824,0,131072
3910740,932755,1330570901,2073700417,725605209,0,0,210221466,589824,0,0
3509680,938893,1308923702,2076327654,728743230,0,0,210113280,524288,0,0
3610481,755507,1288555117,2075875862,729715482,0,0,210148995,524288,65536,131072
3948074,612857,1301954735,2074622179,726117625,0,0,210068517,393216,0,65536
4076071,831544,1328414455,2076857858,726956856,0,0,210266951,393216,0,65536
3607621,930782,1316561435,2070889818,726426053,225,0,210317812,851968,393216,65536
3632024,824189,1294748463,2076713400,730138424,0,0,210164592,786432,65536,65536
3739355,672363,1300782796,2074870068,726902661,0,0,210010389,851968,65536,0
4083436,731084,1312523824,2074801681,726946613,0,0,210165915,786432,0,65536
3882340,911313,1332071833,2076393424,726883132,0,0,210050308,786432,0,65536
3607793,916519,1303945340,2073835179,728844248,1,0,210107582,786432,0,131072
3640937,769800,1299074459,2076528872,728563822,1,0,210145275,786432,0,131072
4036124,640939,1302533076,2074296186,727403336,1,0,210081264,851968,0,0
3833572,826979,1325285283,2075728637,726971100,1,0,210247674,655360,65536,196608
