l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1825990,120,665210,3169598042,4067689473,1584268264,26,0,507710556,41811968,266403840,458752
1841171,0,686275,3191356240,4054179513,1573472049,2,0,419642214,41811968,240910336,327680
1812269,0,695659,3204349087,4098883363,1584811177,16,0,419815593,41811968,241565696,0
1803722,0,666656,3194860685,4084407346,1589997983,15,0,420070449,41811968,239927296,65536
1825763,0,664097,3171747522,4070741512,1585823689,0,0,419626485,41811968,240844800,0
1831715,0,684417,3191166044,4060217670,1573282614,0,0,419878455,41680896,240648192,131072
1808681,0,679220,3190238141,4091784529,1582823659,12,0,419910315,40763392,240975872,458752
1809020,0,663366,3195254711,4087112002,1584697578,13,0,419649759,41484288,237764608,0
1827468,0,670394,3172114109,4066793810,1584934236,0,0,419889390,41811968,240844800,786432
1834800,0,675767,3191388736,4066850629,1574345398,0,0,419617359,41680896,239927296,65536
1809588,0,681349,3195098782,4082475885,1584695862,2,0,419779149,41549824,240320512,0
1796302,0,668809,3190487236,4095035040,1585933065,0,0,419857398,41615360,239403008,196608
1830576,0,667702,3162324327,4048479309,1580524847,6,0,419799585,40960000,240320512,65536
1837657,0,685896,3191673912,4062557818,1570231543,9,0,420282237,41746432,240320512,65536
1798824,0,679421,3201954878,4093214153,1588254919,16,0,419493528,41025536,239403008,458752
1799538,0,662326,3180865626,4088755070,1587796393,2,0,419789946,41811968,240844800,393216
1836633,0,666817,3165159996,4043956974,1576296529,0,0,419880408,41811968,239665152,0
1827427,0,683167,3198589938,4073255334,1572871282,0,0,419851482,41811968,239271936,0
1798200,0,673769,3194484832,4084639194,1586745509,0,0,419797920,41680896,239075328,327680
1808963,0,663908,3172364804,4076045181,1585176522,0,0,419753247,41680896,241041408,393216
1832738,0,672002,3175852123,4046019998,1573827340,0,0,419711895,41680896,239075328,196608
1818636,0,682444,3192802338,4079186967,1576893874,2,0,419567928,41746432,240451584,458752
1802348,0,672070,3201533514,4091504684,1587235814,0,0,420176601,41680896,239927296,131072
1813966,0,662129,3166887055,4071050003,1588159119,0,0,420008721,40960000,240713728,0
1838372,0,675317,3182851296,4049941856,1571722946,2,0,420053676,41811968,240713728,524288
1813838,0,682782,3198011782,4088667369,1579776762,0,0,419680740,41549824,238419968,0
1795911,0,664678,3191218242,4086562589,1586465862,0,0,419681751,41615360,241303552,65536
1825845,0,664887,3173868721,4068457095,1585813144,0,0,420075672,41680896,239403008,65536
1838160,0,680670,3192109440,4064701841,1575552729,0,0,419560185,41811968,239140864,0
1810163,0,680501,3195976699,4087020640,1581619402,0,0,420053861,40566784,240648192,131072
1801865,0,664471,3190588191,4087310552,1587271784,0,0,419559052,41680896,237895680,0
1827139,0,666643,3167851586,4060322588,1583913004,0,0,419808479,41811968,239140864,196608
1833446,0,680711,3189270931,4059659264,1570949099,2,0,419867260,41680896,240648192,65536
1806890,0,679598,3197230594,4091830315,1587842642,0,0,419926454,40763392,239796224,262144
1803909,0,665745,3191380080,4091245054,1587614014,0,0,419431357,41680896,238157824,655360
1831202,0,665138,3174003191,4063910760,1583622997,0,0,419713515,41615360,239403008,65536
1835891,0,683323,3194800079,4069055244,1574391994,0,0,420014372,40566784,239861760,131072
1805447,0,678520,3198449479,4090294761,1587306617,0,0,419838059,41680896,238616576,196608
1798165,0,666466,3186067635,4089693899,1586410373,0,0,420026519,41680896,239206400,65536
1834525,0,668702,3171367952,4053673831,1580398476,0,0,419795600,40566784,239271936,327680
1835481,0,680639,3197288657,4076161200,1577344408,5,0,419455024,41549824,239992832,262144
705462,0,265520,3150812604,4051968451,1581629648,2,0,419664321,41615360,173080576,1835008
7326,0,2168,3128122354,4019104155,1562919128,0,0,420023497,41025536,337313792,786432
7287,0,1942,3128439032,4019072044,1562604302,3,0,419810186,41877504,186843136,458752
7178,0,1912,3128917388,4019330081,1563024205,3,0,419682901,41811968,223608832,0
7130,0,1921,3122837721,4012681404,1561263103,5,0,419829827,41811968,234749952,0
92209,404,42166,3130161214,4020139412,1563869885,2,0,420073877,37879808,235536384,720896
7803,0,2160,3122634020,4011925278,1561610791,17,0,419629702,38338560,233177088,0
79439,0,28722,3124820814,4013698044,1561630809,22,0,419721669,38666240,234225664,589824
33692,0,15328,3125251429,4015752222,1563125928,8,0,419914920,38207488,232914944,0
123900,0,33728,3122594045,4010654888,1561005931,0,0,419894771,39911424,231604224,458752
152706,0,58624,3128686590,4015170245,1562040752,19,0,419567503,40697856,231407616,0
262855,0,102309,3133182976,4029408508,1568962421,16,0,420101417,38993920,234291200,0
255674,0,68659,3126121495,4014333798,1562189997,20,0,419653505,39714816,232521728,983040
181131,0,69192,3134097868,4017347782,1563082200,27,0,419793671,38862848,232849408,1310720
36109,0,14022,3124518800,4015274124,1562434114,22,0,419873400,38207488,233766912,0
79251,0,27116,3125852702,4013892733,1562082312,2,0,420084692,36831232,233242624,0
211698,0,84599,3135200450,4027995152,1566308058,43,0,419652070,36896768,232325120,0
8173,0,2292,3123228282,4013092993,1562013245,8,0,420062564,35586048,229965824,1048576
156959,0,55593,3127841987,4014476969,1562364715,6,0,419834311,36700160,234225664,0
88466,0,34254,3128926074,4021489144,1565110566,18,0,420072848,36306944,228851712,262144
288831,37,82213,3127111017,4013723455,1562090424,8,0,419605506,36438016,232587264,0
342067,88,125087,3141474525,4032149856,1567131924,9,0,419494029,36503552,234618880,983040
424121,0,162313,3141097250,4031524457,1570742807,9,0,419764059,37814272,234225664,0
391228,0,136302,3144011618,4030330337,1567039853,16,0,419727999,37748736,229703680,1900544
249190,0,95319,3139247572,4031764350,1567990418,23,0,419503135,38600704,232652800,0
566810,19,182992,3134415897,4022804363,1565358369,28,0,419807592,38928384,234029056,1441792
303295,0,121834,3138053554,4025045123,1563407541,31,0,420096558,40239104,231538688,0
258592,0,97042,3134260189,4029912374,1569175534,5,0,419583918,40370176,231604224,655360
198687,0,62709,3127944635,4013013279,1561644426,44,0,419862651,40108032,232456192,0
229775,4,97713,3138339594,4028384359,1565222213,22,0,420051635,39452672,234094592,1376256
194186,134,62081,3128142596,4014174484,1561572690,28,0,419838970,39059456,236584960,0
200036,547,58257,3126525610,4013750698,1562285633,30,0,419874281,35848192,246874112,1835008
290836,785,102010,3134862114,4025789706,1568168826,11,0,419537083,40239104,214892544,0
219784,0,97817,3135056551,4020726858,1563208691,56,0,419786374,37158912,239468544,0
389749,0,132463,3140285571,4029480633,1565956606,30,0,419872373,37224448,230162432,851968
118535,0,44110,3125716871,4014198870,1561794025,22,0,419944412,39845888,226033664,131072
393329,0,131970,3135445546,4024215486,1563790821,33,0,419681443,40042496,234356736,1703936
474221,0,186673,3143788145,4037290133,1568197586,31,0,419971208,35651584,237633536,0
150877,0,38438,3128516045,4018326878,1563805522,10,0,419446732,40828928,225771520,917504
142017,0,55573,3138285246,4026039090,1565422141,65,0,419683641,37617664,234946560,0
41209,0,11827,3127921302,4018602059,1564111188,2,0,419622372,37027840,244842496,655360
146961,0,51546,3135146731,4024849980,1566013821,3,0,419742882,40042496,214368256,983040
94963,0,36403,3132450521,4025875143,1566945143,0,0,419749766,37027840,239271936,393216
134375,0,52636,3128878787,4020774501,1564674481,10,0,419462321,37814272,241696768,0
124216,0,37509,3132077845,4023964764,1567096054,3,0,419728292,40501248,222625792,2686976
34433,10,11214,3124518744,4013556059,1562650221,2,0,419949902,37617664,233504768,0
77043,0,29165,3126457115,4015616759,1562307320,2,0,419640722,37486592,232325120,0
35045,0,15028,3126422339,4016112306,1562945027,3,0,420084053,40894464,228917248,1114112
114596,0,35476,3128196384,4017550590,1562417067,2,0,419852505,39976960,233308160,0
70394,0,25579,3130023845,4019623489,1563884699,3,0,419487080,38010880,233177088,1245184
68501,12,17266,3123540734,4012717159,1562809825,0,0,419871544,38076416,233766912,0
9527,0,8063,3125148482,4015223526,1562781384,0,0,419715273,40304640,230490112,0
46106,0,12905,3123551092,4012430991,1561539062,0,0,419630853,39911424,233308160,0
68801,20,25033,3128203672,4018436482,1563524401,2,0,419918346,38535168,231342080,1703936
63490,0,19439,3124994942,4014575715,1563633064,5,0,419748441,37748736,232980480,0
42272,0,20885,3121420391,4009161473,1559387023,2,0,419882936,37158912,243793920,0
210030,0,67224,3134674622,4024635033,1565997407,2,0,419744271,38600704,219283456,2424832
69108,0,26815,3124980653,4017250782,1563281756,2,0,419780453,40173568,229638144,0
68317,0,19680,3125169253,4015196110,1563991917,2,0,420122287,38404096,233897984,0
301543,0,108353,3135819471,4025560758,1566100585,38,0,419818576,38731776,231735296,1441792
198661,0,74101,3132083462,4018463051,1563349173,25,0,419831316,38273024,234291200,0
139821,0,43803,3126923056,4020355976,1566413054,11,0,420039177,37486592,231473152,131072
157298,0,59537,3129306323,4016693809,1563267117,13,0,419814027,37552128,240779264,0
285704,0,97443,3130824158,4021427305,1565964677,14,0,420058026,37355520,235864064,3801088
325482,0,117290,3143299734,4028729294,1565124749,25,0,419890973,36634624,235536384,0
421245,0,163298,3139926005,4033912215,1569546507,20,0,419413678,39059456,223805440,2424832
181318,17,52381,3126241194,4012610082,1562465241,12,0,419619951,40435712,224526336,0
471318,0,165581,3140364410,4031373164,1567574007,31,0,419758260,41025536,233897984,1179648
7461,0,2077,3124882892,4014083974,1561860071,42,0,420107204,39518208,230883328,0
7294,0,2168,3123280383,4013544575,1562424483,3,0,419693247,39256064,230555648,1114112
7145,0,2130,3124935842,4014401443,1562368230,15,0,419364601,40435712,231997440,0
6903,0,2155,3124642126,4013677163,1562174008,30,0,419710608,38993920,234160128,0
8212,0,2012,3124365066,4013177440,1561513796,23,0,419699748,37486592,235143168,0
7913,0,2125,3125078824,4015701066,1563156519,25,0,420054720,37879808,225378304,0
7805,0,2084,3128396580,4019356477,1564449599,21,0,419615097,37421056,231800832,0
