l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
95319375,466540079,69293990,6856455154,3634472693,740059159,103164,0,549204935,41943040,9681436672,4325376
98565382,462018819,68616940,6886238902,3833871465,843799176,249687,0,419844028,41943040,6395199488,0
127002263,693729409,88463441,8305262691,4135413223,1101936401,64638,0,419946225,41943040,8424849408,21364736
120257336,754716782,85600905,8778589706,4131523533,769047640,34771,0,419677158,41811968,7784431616,7274496
122534351,1060933841,89007330,6645725624,4133127815,1643346641,90409,0,420138744,41943040,8907784192,19005440
113725585,909720521,88891602,7189006091,4133415055,1819199148,59090,0,419957596,41943040,8796700672,0
118125378,647368165,78390663,7470970543,4136118098,962789734,239956,0,419856815,41943040,6732644352,0
124688760,614557862,82110730,8254404033,4132827253,1148484442,70798,0,419846583,41943040,8010006528,7405568
123018239,750834720,85523049,8745525235,4126064377,740807400,42189,0,419899176,41943040,7795834880,0
142539407,928120769,90368307,7917963223,4128620183,984259079,233836,0,419969280,41943040,8327921664,26869760
127185011,616741314,81956510,8319359422,4135554492,1147265587,117793,0,419636220,41943040,8032681984,0
123090475,751344212,85396160,8676677669,4068188583,710644470,45463,0,419877855,41943040,7778402304,7274496
141038025,911446205,89818887,7977418134,4134268255,946431695,205073,0,419720403,41943040,8281391104,2031616
124533672,604649805,83032789,8208268886,4132084370,1171095444,140248,0,419735151,41943040,7987855360,12255232
125312352,767811073,86742737,8713807459,4132134554,744454007,82871,0,419703032,41943040,7875461120,0
139330940,896389314,89308358,8094210713,4133011628,921166582,185850,0,419837104,41943040,8279949312,10354688
126338014,643363518,82747818,8144273195,4132431003,1194610719,189339,0,420028681,41943040,8011513856,1048576
126759988,778415070,85856765,8681947409,4089643726,723426103,53049,0,419825540,41811968,7886536704,0
137699508,871552723,89370314,8224828926,4130373941,923943808,179369,0,419768352,41943040,8192786432,19136512
126944127,621683599,82880658,8045670106,4132966428,1220748786,128022,0,419744209,41943040,7993294848,0
126097689,769217941,86460568,8655280376,4116468652,746478134,48830,0,419595677,41943040,7922253824,0
135629849,859333142,89685406,8287265588,4132053548,898086400,137204,0,419622846,41943040,8215789568,0
128838419,623180120,82967651,8042035381,4133908927,1226937263,159141,0,419772642,41943040,8028946432,2949120
127200730,762822013,87657055,8708644774,4132007348,742890800,53571,0,419891318,41943040,8027701248,0
135137507,838777387,89373621,8238770052,4128702063,881450215,153274,0,419641421,41943040,8179482624,2818048
127981211,634076498,82775125,8033812366,4133410071,1224698463,197808,0,419866703,41943040,8012038144,5308416
126975441,789374829,86608483,8586346772,4085351894,726599805,72640,0,419703789,41943040,7949647872,0
134074042,838351578,89483235,8409233609,4134078758,817902009,131967,0,419893304,41943040,8234336256,29818880
126320542,642957962,82292326,7824689329,4130462019,1278839157,243119,0,419812567,41943040,7909867520,0
128124445,796545155,87362686,8563579171,4132449404,758606144,104400,0,419953698,41943040,8001552384,30801920
133024241,847229298,88483642,8430032098,4134476992,820472602,118598,0,419581842,41943040,8188395520,0
127333730,650818594,82162495,7827106787,4131040483,1284962097,196603,0,419782835,41943040,7893090304,25100288
128876179,805179298,86562027,8504185021,4123250639,774297079,89717,0,420025378,41943040,7987724288,0
132020151,839574127,88062686,8490244002,4135493446,814257860,112809,0,419750517,41943040,8178106368,2293760
127792192,640725716,82767271,7851117343,4123718817,1291747468,246242,0,419621523,41811968,7878213632,3211264
131472244,815274785,87848811,8562951082,4132706248,777941709,78607,0,419854761,41943040,8125087744,0
131743590,826080833,88600199,8542506759,4134571568,798264680,141300,0,419774085,41943040,8153268224,27197440
127482175,645884009,81980654,7824935566,4124335270,1284890058,225678,0,419756085,41943040,7887781888,0
131899815,823028492,87421306,8507448143,4133621021,787229689,75934,0,420010107,41943040,8127905792,1507328
131037437,825480049,88428362,8564799137,4134202875,791328099,88921,0,419830248,41943040,8104968192,0
126552174,634205072,82263465,7824573824,4127714461,1277330484,221556,0,420045609,41943040,7885553664,30932992
132273820,830592023,87410510,8452804023,4121961658,792464871,83444,0,419754249,41680896,8157921280,0
129382945,816376653,87688907,8569933331,4134991694,791541894,102748,0,419712417,41943040,8026587136,0
126133245,649492924,83504213,7840829563,4133760722,1268952902,231163,0,419866122,41943040,7917862912,10551296
134398936,833528070,88514911,8517732461,4132564023,796850729,79285,0,419810802,41943040,8217493504,0
129607201,796619427,87706506,8643169379,4135545876,780668768,53900,0,419893803,41943040,8134787072,13893632
125854115,658993499,83522757,7828308701,4126972808,1270471436,244185,0,419926641,41811968,7874281472,12976128
133151418,840592133,87771140,8403969531,4122574635,807184742,130500,0,420144411,41811968,8182759424,0
128154149,807662885,87003668,8623024209,4136106742,781758354,88281,0,419591953,41811968,7979925504,0
127920309,669645690,83850738,7870275585,4124640856,1251738371,250557,0,419789630,41811968,7929069568,0
133070570,842190000,87248004,8359146574,4084818849,806061976,133566,0,419782950,41811968,8199471104,0
127313709,792176436,87202551,8636075826,4133513000,779521315,77595,0,419928603,41811968,7991263232,1507328
130511125,672666464,84295132,7889947764,4132564199,1236151022,240104,0,419622060,41811968,7900626944,0
130674683,801701020,88582148,8357803418,4132800604,834862704,80422,0,419663955,41943040,8314814464,0
126959627,778718667,87305141,8691123495,4134351525,766019689,77173,0,420009942,41811968,8032354304,10551296
130354942,676110974,85459141,7899577936,4128405835,1195362736,268838,0,419790789,41811968,7900889088,10420224
130898501,812476117,88265077,8306832781,4127118755,876652273,93971,0,419717154,41811968,8293842944,6356992
125545602,790529844,86279585,8687611740,4134208284,766259919,68806,0,419853288,41811968,7903313920,2359296
130754191,696262252,85797615,7936822565,4134583491,1157666578,271902,0,419825781,41811968,7887847424,16515072
130438894,796273483,89426965,8250996591,4122077274,930154885,131817,0,419723301,41811968,8350138368,0
125514906,757469579,87272167,8772534519,4133883732,742916976,42905,0,419748180,41811968,7969505280,8126464
132256491,709808817,85734461,7990856865,4134364331,1132969270,252717,0,419857863,41811968,7922712576,6946816
132084688,817352936,88218072,8205747354,4133622882,955522082,99286,0,419881521,41811968,8419016704,8781824
124354216,781101864,86263818,8723254462,4132143889,747334137,70472,0,419809500,40960000,7908294656,0
132623738,732632662,84518516,7970536271,4119790132,1119149360,299605,0,419698899,41811968,7776567296,4980736
130047174,795725498,88489340,8084885500,4118359125,988878179,176873,0,419727086,41680896,8419672064,0
123326427,758936188,87026692,8803734640,4134140775,734959684,45776,3,420117058,41811968,7872577536,9306112
77679589,384618118,56238049,5664765171,3064534556,621753959,69660,0,419527584,40435712,4707909632,0
