l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
79813270,39764395,2988272653,2071440752,852861830,1982,0,323741232,41943040,3629383680,0
8537532,8375449,5412916448,2006659589,69325929,495,0,210241998,41943040,685834240,26148864
81353130,41262045,3309807428,2070230909,888786513,647,0,210212592,41615360,4086235136,8912896
96251048,42300487,3585801022,2070942794,759429520,1446,0,210100575,41943040,2619867136,0
82163570,38688720,3068409775,2068161963,828685485,1957,0,210151833,41943040,2511536128,34668544
77736768,41047408,3125207952,2069121009,883811866,823,0,210207771,41943040,4015849472,0
97884341,43569313,3529271761,2071187949,814139386,1305,0,210193281,41943040,2896822272,0
82174641,37788265,3155628228,2069828399,781441382,772,0,210204168,41943040,2248802304,65732608
77295788,41802216,3212849751,2071955920,896883666,544,0,210270759,41943040,4085710848,0
98736818,43533764,3337515969,2069360873,843222699,1524,0,210186123,41615360,3100704768,0
82633597,38080217,3240133888,2070194827,738398355,491,0,210155487,41943040,2005794816,9764864
74115569,42522828,3255308457,2067818757,922397401,2301,0,210186095,41943040,4087414784,2228224
100044423,41787571,3183409422,2068551660,888546179,1612,0,210246535,41943040,3327328256,0
81661062,37181337,3454035048,2072654739,692083809,667,0,210614654,39780352,1611726848,28573696
71554949,41267855,3203374378,2067780375,912337926,1001,0,210155490,41943040,4038524928,3866624
99148255,40636313,3286697101,2064559514,809389728,966,0,210389573,41549824,3454795776,0
80395527,36413184,3609617013,2071010250,762476008,1313,0,210231687,41943040,1810956288,0
74117013,40677240,3207761848,2070353486,870448689,818,0,210688998,41943040,3788242944,7995392
93616870,40060959,2838436134,2071333401,851622930,1250,0,210136651,41943040,3706060800,0
75331002,37925883,4043441166,2069416681,659682894,1518,0,210271489,41943040,1847459840,0
76237909,40548297,2991871588,2071480967,917716752,894,0,210555650,41943040,3618439168,28704768
88332009,39086783,2691959473,2067967571,837791275,1662,0,210046315,41943040,3876323328,0
78173893,39250643,4152231491,2069781542,568238514,1195,0,210121353,41549824,1890254848,0
77781965,40201235,2804554633,2070478150,922193004,843,0,210089420,41943040,3454926848,14614528
83617867,40201627,2929577083,2068621840,837869872,4911,0,210513806,40828928,4068737024,0
77597041,38522278,3988920451,2068958658,553610124,1164,0,210285393,41943040,1854275584,8585216
77224415,39394008,2615151568,2069559825,928868629,1216,0,210595594,41615360,3268149248,16908288
81264034,39972825,2985800003,2070193222,874545476,280,0,209763172,41943040,4138074112,0
82754220,40414115,3939737641,2071255240,520582586,1063,0,210123138,41943040,1961426944,327680
77578304,39542268,2695155791,2070554146,939471170,945,0,210200073,41943040,3177906176,0
81004067,39687985,3090365272,2066069898,799447275,596,0,210325452,41943040,4050780160,12124160
86367635,40244866,3737998706,2065232776,557636837,826,0,210108468,41943040,1970470912,3932160
73971780,39671867,2714478857,2070477756,936720602,1210,0,210240117,41943040,3223257088,0
85667815,40044500,3082082924,2070581695,817055581,417,0,210126330,41943040,4012900352,2424832
81175428,40007324,3665469662,2068043869,571556001,881,0,210165198,41943040,2192113664,0
73575354,39480738,2925078038,2072278540,860431731,1300,0,210183264,41484288,2948661248,54198272
82550146,39717660,2882316176,2068931990,849623433,204,0,210165864,41811968,4085383168,0
82993121,40447809,3530666110,2071852627,635185296,1055,0,210129789,41943040,2370306048,0
75170805,38559877,3107301766,2071153715,814379497,1429,0,210343333,41943040,2682912768,35848192
78433799,39731829,2871488849,2065822796,854220135,339,0,210584654,41943040,4025679872,0
