l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
37309272,27194300,2175866259,2060611517,918060242,21574,0,322523020,41943040,4033937408,11534336
44388529,27333317,3096945166,2058496243,815210711,29768,0,210433460,41943040,2617245696,31064064
38867579,26644113,2223861036,2060773083,914331553,21113,0,210660727,41943040,2564030464,0
42422446,26455510,3105579417,2062468830,801748352,26613,0,210255957,41943040,2530344960,0
3301239,2513491,2000300192,2049831413,749403011,13063,0,210158959,28049408,247791616,0
475984,588850,1785541349,1778231278,615600254,427,0,210088536,37158912,47775744,0
8232949,7616929,1250854805,1183296604,425377999,8232,0,210210719,41943040,582942720,15204352
35214621,23633279,2757470861,2059132727,857831955,31337,0,210441225,41943040,2311389184,0
42422328,27384446,2586336902,2060590076,846272461,24123,0,210186170,41549824,2524774400,2949120
39766135,25160602,2754809391,2058496504,851863169,24065,0,210284422,41943040,2522284032,0
40850596,26570044,2690869625,2059821225,853936257,25886,0,210164309,41943040,2525560832,0
39815637,25671297,2743893303,2057265991,860539874,26132,0,210240689,41943040,2519990272,262144
13850525,9210197,2097226222,2066930863,793177345,6586,0,210690024,41680896,828506112,0
520132,621470,1928781045,1920556214,664212164,612,0,210009996,40435712,56295424,458752
6544757,5162270,929879679,1088304354,445945639,5824,0,210594868,40697856,476774400,36241408
36751652,24567880,2797207908,2057953189,841002976,25270,0,210231553,41877504,2275344384,0
41546956,26371065,2654493413,2056490528,844941047,27605,0,210101865,41943040,2522349568,0
38498438,26121440,2854306146,2058394258,852664033,25159,0,210144789,41943040,2526347264,0
42728938,26681184,2661682547,2055022502,840344903,28856,0,210323522,41353216,2527920128,2424832
38108429,25692351,2797489439,2058152889,858620151,26359,0,210230119,41943040,2518286336,0
16023280,10288263,2215784792,2065570113,801070841,13004,0,210293784,41877504,977600512,0
632931,668481,1987823770,2007849810,695032334,717,0,210057906,39714816,61669376,0
1300249,1829524,871403272,1035003128,394260000,2886,0,210163182,41943040,170721280,15204352
