l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
47772,6489,670670331,264907674,33846721,0,0,263860035,14745600,10944512,0
48177,7051,671140609,266014057,34038360,0,0,209880641,20905984,7405568,131072
49219,6391,668654158,264990393,34219936,0,0,209845464,26148864,7405568,0
50460,6896,685462196,290824422,42963245,0,0,210366453,30408704,8257536,0
52688,7214,732563968,291552444,37637409,0,8,209674717,34340864,10289152,0
50970,7233,700811111,282881002,38037041,0,3,209851566,21037056,14155776,262144
51725,7318,726944138,286454902,36598367,0,0,210281981,19464192,13041664,0
52871,7297,738491941,292531544,37481008,0,3,209923728,24182784,12779520,0
50300,7085,707727341,276418613,35387431,0,0,209951177,27852800,8716288,0
46964,6778,644600402,272472374,40471685,0,4,209901634,30736384,8585216,131072
50887,7027,685200127,288324614,42062292,0,4,210040545,33423360,12320768,0
48907,6826,683914652,270692618,34615412,0,1,210209750,34734080,7864320,0
47858,6510,664271085,261027258,33537549,0,0,210183960,36175872,9043968,0
46772,6683,644542579,253809406,32542765,0,3,209700975,36896768,8257536,196608
42697,5863,566411669,254190424,42760921,0,0,209945700,37945344,7667712,2621440
45419,6429,646815211,255715572,32895585,0,0,210238163,38928384,12320768,0
46765,6721,653257403,258189304,34194539,0,0,209816134,17170432,17039360,0
47906,6512,674214953,272161910,37251838,0,3,210259160,20447232,10747904,131072
51082,7323,722659694,286115680,37194780,0,3,209756431,25821184,13565952,65536
51953,6874,739801451,292158846,38882201,0,1,210113393,28901376,8192000,0
51494,7190,737749836,292373819,37695702,0,0,209958326,32112640,9699328,131072
50556,6996,713705650,282991055,36074551,0,3,209906137,34406400,10747904,0
45517,6264,640345340,263168143,36859893,0,0,209960280,35651584,7733248,0
47354,6780,658427976,262519731,33760803,0,1,210216323,37093376,7667712,0
46611,6274,662508884,263101338,33736369,0,0,210013510,37814272,7929856,0
48236,6677,675108088,291490789,44365975,0,0,210246340,38600704,11665408,131072
49668,6506,702143346,281199251,36993080,0,3,209607017,33882112,12189696,262144
47034,6462,639913646,263473781,36784414,0,3,210303997,13303808,18415616,0
49647,6756,709985560,282174966,36722020,0,0,209751427,17498112,12058624,0
47541,6425,675584798,268155641,34887020,0,3,210206193,20512768,7405568,0
48304,6508,674894095,267853047,34635635,0,1,210067704,23461888,8388608,0
49583,7084,700188937,279838639,37412797,0,3,209748088,25690112,7864320,0
47782,6671,686942822,272203075,35103805,0,0,209976523,28704768,9895936,131072
