l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
852859,413726,292241110,246258689,79760297,0,0,260777216,30408704,18481152,0
2031450,415743,428186158,235230452,44215027,0,11,209918040,40173568,33751040,262144
771254,192193,405293656,245827487,55328107,0,0,209938563,39583744,32702464,0
894871,370090,395186968,243526281,59525926,0,0,209927466,40828928,42860544,0
1514644,980014,357764351,236415468,80370504,0,34,209925186,40894464,63045632,393216
516642,138388,421478628,275770958,92521124,0,0,209922420,39845888,13172736,0
2295694,693439,344661453,278028840,86947379,0,0,209886044,39976960,1179648,65536
6986209,2965529,312588731,273454065,102734414,0,0,209988297,22806528,18219008,0
521308,58250,422771718,268252220,84694082,0,0,210290841,25296896,3932160,65536
4960861,2032873,598783576,408308822,127318570,528,151,210431534,41877504,227082240,3014656
2945890,2672683,3190844405,1872823326,526509174,856,8,209860916,41877504,211550208,0
2592637,2120937,2264645809,1375762926,388853172,1624,0,210576711,41222144,167116800,2490368
3863744,2952819,2477907350,1591910783,469183322,17491,243,210091284,41615360,265748480,0
63979917,4629328,4714404964,1652887588,74139598,1034729,24,210123654,41025536,917504,0
63139112,4275883,4697614700,1677962512,88198388,981991,0,210446823,40763392,5963776,1310720
2782220,2417586,3267516836,2046723079,605680763,1108,0,210319346,41877504,191037440,0
2812637,1889802,1648361811,1065083247,323982444,9397,0,210099472,41811968,174850048,1245184
3010937,2514472,3321737864,2074689194,576481221,1426,0,210068700,32440320,206241792,65536
2203184,2164516,1984641175,1234967659,343126945,1169,0,210058077,41549824,142802944,0
3289457,2518017,2874923115,1794064700,496684109,9009,0,210064791,41877504,231669760,5439488
56898797,4961572,4459374195,1622014977,108545159,1005322,1,210004756,41484288,75104256,0
66143073,4218889,4852491418,1649716875,60287784,1129097,0,210121875,41549824,196608,0
6491332,2683715,3459987830,2040546441,555872294,73043,0,210353675,41287680,186187776,2162688
3177070,2157465,1712018959,1084922432,320460757,7161,1,210243030,41811968,182190080,0
2842738,2411241,3267367437,2035614741,594994525,810,0,210113976,41746432,190251008,0
1941025,1672021,1927724009,1205085590,359728441,2575,0,210246831,41877504,142213120,2031616
2492213,2182312,2880154350,1849664382,566327909,864,0,210428797,41877504,171311104,0
45915916,4860372,3869156635,1492284339,169421818,765950,1,210100682,40435712,150929408,0
65332730,4197035,4788925966,1648768352,65340321,1100773,0,210190044,29491200,589824,65536
17012402,3049303,3912692854,1954731430,429764632,303359,0,210074775,41877504,145948672,983040
2002726,1731165,1935072930,1191700984,334086202,2170,0,210497362,41287680,164560896,3145728
