l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
13343981,5619771,3293988662,2076324046,509814591,9922,0,306482429,39976960,93257728,1441792
17307986,6116098,3312006317,2069421422,525802481,15298,0,210318175,40566784,95944704,1769472
19252235,7864778,3142303915,2069013261,577297480,20472,0,210664691,36503552,144244736,1769472
15348546,6016313,3279941799,2075026982,530282432,15758,1,210843231,39911424,92405760,655360
13261048,4777314,3328543290,2076918181,510738489,9347,0,210771189,41418752,72679424,786432
14045274,4746228,3456895008,2076276536,514171667,13583,0,210713310,41353216,81788928,0
13689376,4373807,3310259109,2071190984,489684985,7734,0,210591070,41418752,62324736,1310720
10019813,3903244,3323508484,2077160720,500340984,5781,0,210687846,41353216,57606144,3276800
12783408,3973361,3301043639,2076435460,522869392,9670,0,210786954,40697856,68026368,0
17367687,5918836,3195332631,2072053279,559817070,28127,0,210505796,41549824,114884608,2293760
17558079,6871949,3274744295,2069358626,524225278,18049,0,210629188,41353216,100139008,0
10546057,4416450,3457226148,2078486667,456154383,5797,0,210773033,41484288,37945344,983040
12044618,4757192,3393130411,2078251057,484153482,8763,0,210832448,41484288,53739520,0
14105135,5355920,3360227449,2076332579,516020776,10977,0,210589426,31784960,82575360,458752
13037441,5489158,3187759445,2075861764,529637105,21228,0,210809841,41353216,80478208,655360
13465487,5170845,3234833890,2078151810,527640418,11301,0,210850912,41418752,70909952,1048576
17377670,5296774,3286437536,2075193155,541941786,17532,0,210885669,41549824,97583104,262144
15725506,5925072,3213081136,2075325281,541972261,17352,0,210394352,41418752,91291648,2883584
18378282,6626043,3225909232,2073217149,540257272,13230,0,210353580,40042496,104726528,589824
16018157,6456570,3234584972,2072800522,519672631,16498,0,210330537,39387136,88145920,0
17211609,6906684,3160199719,2072349483,539560246,23788,0,210357894,41549824,93650944,1179648
13582034,4890262,3431289059,2073165606,501630465,10243,0,210367293,41418752,84738048,1179648
12208842,4831362,3365692950,2076162208,473691265,5086,0,210343405,41549824,44892160,0
9946797,4036856,3356321122,2077225341,487557181,9010,0,210936570,40828928,76218368,1507328
13219322,5008131,3327652610,2075970391,514723654,12118,0,210498509,38535168,95617024,1966080
11210691,4632710,3355258869,2064851827,506075321,9000,0,210623918,41484288,57868288,0
13289056,4859484,3339655369,2066260223,510452701,8160,0,210254084,41549824,81592320,196608
13005062,5364542,3319352290,2073309393,510627256,9112,0,210761019,41680896,75497472,1179648
13675793,5331576,3303959674,2073397898,493849430,10181,0,210408110,41091072,73728000,262144
16561908,6137021,3261711313,2071846836,521986083,11022,0,210366624,41615360,80740352,262144
19273020,6898519,3280312711,2071067969,523710673,13333,0,210361074,41615360,100597760,1245184
17890638,6694913,3259993637,2071647468,552112253,19635,0,210411617,41615360,117571584,983040
10970592,4602103,3339072995,2076761297,471514704,5395,0,210484795,41222144,22347776,0
19840217,7155440,3145055809,2074296298,566594605,21060,0,210783676,41680896,113573888,1310720
17711990,6849221,3148246529,2074201245,590408661,23090,0,210779988,35848192,112656384,851968
17658234,6424833,3173142354,2074082806,562426862,24351,0,210533089,40632320,108199936,786432
16797787,6774079,3122279407,2073782725,555098208,12429,0,210605311,41680896,96862208,3211264
16639213,6481901,3160652923,2074033387,569452525,16017,0,210571038,41549824,99024896,1245184
17510559,6742490,3147013581,2072372061,565134476,18618,0,210540546,41418752,117899264,0
15794494,6040304,3186368101,2075372051,552650525,13635,0,210613240,41615360,90374144,1703936
15361088,5430363,3330154463,2072601958,521332533,32568,0,210391343,41549824,94044160,851968
17920113,6819843,3195135687,2071646154,531546933,12503,0,210293465,41418752,96665600,131072
14277807,5040819,3425332322,2072622779,507322832,14194,0,210748316,41746432,90046464,327680
10219581,4176504,3312487950,2076036779,487704587,4364,0,210496201,41156608,37552128,786432
14659816,5361389,3306022519,2075106771,528025164,13613,0,210901098,41680896,86638592,1310720
10670016,4430617,3333500454,2077863402,503174820,6820,0,210526066,33357824,68222976,2686976
13804588,5700897,3214995059,2076075158,524676166,11415,0,210799602,41353216,87490560,0
12055779,4726074,3381644842,2078453358,503671072,7876,0,210777798,41549824,53018624,0
12791734,5004531,3303211563,2076781763,495873819,7117,0,210695094,41353216,77004800,786432
12827046,4860564,3313869793,2076608835,534514345,12376,0,210885434,41680896,85327872,1900544
9995843,3998779,3404639350,2079172783,468887032,5700,0,210727895,41484288,40108032,0
12225555,4490350,3277719378,2075789257,514595422,7550,0,210483071,41549824,75104256,786432
9372005,3322886,3353782435,2079784641,459688974,2742,0,210781045,41680896,25231360,655360
16427017,6226578,3240137285,2075630802,531448106,13951,0,210726036,41549824,99614720,1900544
12035411,5164359,3407221012,2074895489,484650265,7736,0,210606231,41287680,55967744,0
17588756,6191131,3251417609,2067107517,540205736,17895,0,210582305,41418752,101056512,1441792
11903154,4965589,3348327376,2069928503,484327840,6627,0,210654243,30998528,62062592,1114112
15925382,5373246,3301094902,2070108821,542881649,11683,0,210566355,41484288,93716480,589824
