l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
28215,10,3695,1257184840,511870200,54046651,0,0,494591448,11534336,10289152,0
37751,29,4904,1295040121,528900298,54921318,0,0,419285669,16711680,5308416,0
386286,358818,4427,1291264504,532456126,56346929,0,0,419407587,21954560,9306112,0
41720,0,5187,1377692635,567913052,59736888,0,3,419492544,24903680,7471104,0
42508,8,5026,1424390440,582423627,60235343,0,5,419624322,26345472,5832704,0
58565,2012782,205872,1395991389,574766564,61254021,0,5,419471950,29622272,18612224,0
41771,27,5663,1421564751,582240482,60344088,0,2,419734167,29687808,6094848,131072
42138,17,5135,1422313833,589603936,62094731,0,2,419311215,30801920,9306112,0
42565,12,4990,1421985748,588105870,61895263,0,3,419462253,31195136,8847360,0
44331,115,5244,1438872132,588609721,59914028,0,0,419544354,31719424,10420224,131072
42300,10,4748,1446077220,588753932,60034947,0,0,419613123,30736384,12451840,0
41223,29,4791,1414824943,581463652,60186403,0,0,419226420,31719424,7012352,0
37873,2067826,513899,1325156584,552997867,67161447,0,5,419621907,38469632,69402624,65536
40003,152,9285,1387636769,572536354,62654868,0,0,419402118,26476544,15400960,0
38273,24,4977,1338472441,546499658,56957208,0,2,419515524,24444928,14090240,65536
42281,46,5005,1410357717,577591379,59145613,0,2,419576178,24444928,11730944,327680
42575,0,5017,1429641633,586597168,61449054,0,2,419622141,25100288,10485760,0
42452,42,4790,1429744125,584979129,62314789,0,3,419488338,27000832,9437184,0
41577,10,4891,1423559279,587995744,63678746,0,2,419519439,28835840,8978432,0
41387,156,4814,1418210942,583694665,61815002,0,2,419743389,30867456,9371648,262144
42107,109,4907,1426404606,585619308,61671356,0,0,419723625,33292288,9371648,0
42944,13,4906,1425154689,587112887,63321118,0,2,419199897,34603008,7077888,0
41417,20,4763,1422680012,589001973,63806219,0,0,419396024,35389440,9568256,0
41542,12,4621,1421217488,584417804,61974914,0,2,419496730,36044800,9437184,65536
41730,55,4435,1445390597,584160034,59026635,0,3,419555280,36700160,9895936,65536
864318,8942515,1206406,1279918434,536428828,70465862,0,8,419796642,40763392,154206208,131072
41834,0,20115,1449697111,590997407,59483351,0,0,419352174,38535168,11468800,0
43094,13,4975,1436059701,584684720,59662143,0,0,419538633,38404096,12451840,131072
42711,2,5016,1443844491,586988089,59209322,0,5,419528194,38076416,12386304,196608
42934,190,4702,1443041036,587614677,59923086,0,5,419530808,37617664,12845056,0
257177,42776,50197,1260503041,584617964,109039847,0,12,419466231,37355520,14417920,0
263795,57131,83470,786665767,577440010,241941541,0,3,419551101,37289984,13762560,196608
667862,355897,146395,727608845,577486278,262756040,0,2,419504895,37748736,20578304,65536
