l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
14645261,13394355,1023490604,1747971717,1192447456,49916,0,300415308,41877504,1208418304,11272192
15527752,15442678,1085636552,1812170389,1232149892,35338,0,210457602,41877504,952696832,0
15654043,14785534,1035495108,2001889754,1435764211,35336,0,209993025,41877504,969539584,7995392
15084897,14102615,999870162,1889337501,1352460304,387354,0,210422487,41943040,897253376,0
16672363,13616355,991486286,2053905200,1502814655,1946039,0,210490788,41943040,875298816,1310720
17691214,13799452,1003672047,2050567149,1493946050,2599312,0,210139107,41615360,890109952,0
18650552,13798887,1009728378,2048298153,1488693241,3267458,0,210472185,41943040,879230976,6684672
18612920,13727210,996214200,2051655887,1497039395,3275055,0,210587601,41091072,873594880,0
18490477,13677667,998319923,2052448643,1499174064,3253233,0,210068274,41877504,871170048,1638400
17918541,13341424,981247384,2026241214,1477323162,3020411,0,210198825,41877504,854917120,0
19340129,14373659,1049603276,2048530430,1465235199,3318308,1,210341350,41877504,915603456,3997696
20094207,14947818,1093514634,2050762496,1445544068,3418178,0,210251309,41418752,953286656,0
20498131,15633076,1139872022,2049402521,1416361176,3217858,0,210069170,41877504,995688448,2818048
21096459,15682419,1147627842,2044389086,1410332001,3621141,0,210110500,41877504,998637568,1507328
21493161,15753689,1153474469,2043366522,1410553115,3797776,0,210110058,41680896,1008730112,327680
21152090,15735727,1146033370,2049825534,1415618425,3634380,0,210133098,41549824,1000865792,3997696
21459960,15683927,1149575404,2045088198,1413520245,3794342,0,209978165,41877504,998178816,262144
20386119,15212270,1112279349,2047592413,1432538057,3477050,0,210127510,41943040,969670656,3014656
19300033,14308315,1044786016,2047455912,1468111875,3367834,0,210354919,41746432,915341312,1638400
18118158,13521026,991424637,2050091453,1502630327,3001447,0,210471095,41877504,861536256,3407872
18118379,13679173,1001997293,2047339346,1492954903,2932107,0,210178329,41877504,870121472,0
19657546,14781895,1077781009,2049009800,1450125581,3303387,0,210133377,41877504,936181760,1048576
19379961,14249341,1044971029,2045453596,1467831220,3449265,0,210199352,41549824,914948096,2555904
18479589,13656110,990526291,2050239572,1500259297,3301179,0,210157419,41287680,866713600,1114112
18289755,13559222,984555809,2050289110,1501016843,3148865,0,210330561,41943040,859176960,327680
18431826,13535380,998122353,2045724576,1496737159,3278706,0,210588562,41877504,865009664,2031616
18401419,13641821,990423399,2053926679,1503027167,3158006,0,210093602,41615360,868220928,3080192
18340302,13561145,993902267,2047155562,1495613281,3226821,0,210417208,41615360,862126080,0
18189224,13563436,987270492,2054271660,1506359428,3098353,1,210315458,38993920,857210880,1310720
18895047,13894787,1011982386,2034135595,1472175411,3284455,0,210323232,41484288,889847808,3145728
19327389,14482357,1052956942,2053647231,1467170383,3203691,0,210114643,41943040,915472384,2097152
20858090,15507706,1138267386,2045188343,1418332147,3559140,0,210050814,41943040,990773248,0
20874815,15524412,1131230868,2048799997,1424072526,3527176,0,210095235,41484288,988151808,3670016
20365914,15294808,1121883716,2044128860,1424835605,3392003,0,210018373,41943040,975831040,327680
20081145,14842497,1082395777,2046046874,1447749780,3432989,0,210166570,41943040,941948928,2490368
18830039,13897633,1008175916,2048930854,1489984734,3274373,0,210193792,41877504,882900992,1769472
18353704,13515186,992584109,2048430226,1497229643,3226069,0,210740418,41943040,864747520,1572864
18246620,13549450,987115669,2053447294,1503067672,3138679,0,210306701,41615360,861601792,3080192
18586936,13834979,1015951432,2046930128,1485714951,3137277,0,210265369,41943040,881459200,1441792
18120721,13573546,989160741,2051569693,1501495912,3059763,0,210418688,39649280,860422144,262144
18406595,13560478,992919131,2047355197,1499562017,3205748,0,210517905,41943040,865730560,4128768
19448151,14486475,1060421910,2049628073,1462500566,3298259,0,209976562,41943040,916389888,393216
