l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
24622,11888,605308200,255380909,30936471,0,0,328367301,6881280,6225920,0
24890,11834,620983337,261976236,32001205,0,0,210038814,10813440,3932160,0
25944,12459,621858340,262241650,31673105,0,0,209625903,13041664,6488064,65536
26025,11921,637470933,268721707,32731360,0,4,209870748,10354688,10747904,0
26330,12233,642222974,271162362,33260422,0,0,209907462,12451840,7405568,0
27676,13368,680897651,288064509,35411481,0,0,209887572,15466496,5898240,0
28947,13854,698804828,294180798,35939319,0,0,209847117,18874368,6750208,196608
27394,14378,695740594,293690358,35743024,0,0,209893275,22216704,5898240,0
28253,15191,699481406,294800185,35894699,0,0,209871324,25034752,6750208,0
4905,2544,125719218,53558656,6719410,0,0,209932470,19333120,7667712,0
5740,1870,79485091,33638107,4188600,0,0,209794392,19005440,1769472,0
7225,1900,98576137,41659296,5174943,0,0,209853162,19595264,1572864,0
12868,6614,316075314,133313420,16441602,0,6,209894022,6619136,16580608,0
26734,12031,645105622,273111805,33672838,0,7,209890035,9502720,5832704,0
26041,12399,649904846,273623925,33322682,0,8,209880468,12713984,5898240,196608
13984839,1608029,3517105931,1832073686,283767749,136686,0,210232086,40632320,74973184,131072
17178102,1626809,4501605154,2074378118,209386029,206635,0,209775645,40304640,0,327680
19350864,1541618,4583516989,2073564732,187847613,195801,0,209906832,39911424,655360,0
17636721,1204757,4599426875,2073741010,189537112,241654,0,209991369,38928384,720896,0
17791253,1746711,4552543208,2073415242,188930299,219377,0,209888022,38207488,1048576,0
17388013,1518602,4368794788,2073661444,235717902,212397,0,209976837,38141952,65536,0
14419329,1184217,3877780264,2071485028,336402459,158985,0,209979342,38141952,131072,0
12943161,1165862,3834705363,2048938978,336357995,138451,0,209912196,38076416,196608,0
12883463,1123430,4134100614,2068755228,288649389,153525,0,210222841,31129600,11141120,131072
12893944,1204150,4467673382,2074031426,186187867,150607,0,209655561,31195136,65536,0
12907883,1013750,4573395541,2065444544,168607490,141970,0,209974909,31719424,720896,131072
12641704,1159165,4592136596,2074177912,167468405,158186,0,210030052,31719424,0,0
13180674,1142585,4582311899,2074228944,168555453,150165,0,209865813,31719424,0,0
12692876,1124099,4594206159,2073958259,167827070,160644,0,209934870,31719424,0,0
12763560,1146903,4584353576,2074075233,166912369,137354,0,209923821,31719424,0,0
