l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
25828,518,92547745,40373926,3852882,0,0,287240799,32964608,119406592,327680
34815,1522,97825053,48960498,6503162,0,0,209839674,31916032,103022592,196608
29666,562,105204078,45952833,4921311,0,0,209920146,39321600,96141312,0
30461,642,104949376,45927240,4920425,0,0,209887008,40108032,103415808,262144
30526,746,104462006,45660155,4884136,0,0,209865849,40894464,102301696,0
30024,772,105178120,46023508,4908491,0,0,210267922,40370176,103874560,393216
30445,812,105054004,45926254,4888499,0,0,210097635,40501248,104071168,0
30538,806,105155456,45958206,4916693,0,0,209649500,40960000,103546880,0
29228,681,105256760,45828793,4825048,0,0,210336904,40501248,104857600,0
26817,525,97220761,42405328,4477481,0,0,209970088,40894464,95748096,0
27180,563,97167944,42329236,4424704,0,0,210077198,40501248,96272384,196608
333525,2693,446429510,226745974,49014184,0,0,209731316,40370176,66519040,0
45537,5860,497172540,253507438,54274176,0,0,209834373,40239104,14155776,0
45463,6359,497078139,253626863,54417979,0,0,210348717,39518208,12386304,196608
44566,6186,497827174,253744110,54704021,0,1,209707365,39059456,16187392,131072
44970,6092,500939582,255096970,54295394,0,0,209872891,39452672,12976128,0
45390,6150,501307122,253330611,54240641,0,0,209900062,39452672,11927552,327680
45321,6089,496270736,252849592,54194349,0,1,209966925,39190528,14876672,0
45089,6422,492858754,251641388,54327483,0,1,210292517,38797312,9306112,131072
44687,6147,502131191,255344873,54632376,0,0,210110118,38273024,8912896,65536
45709,6348,505070811,257595760,54911597,0,0,209699939,38076416,9043968,0
46829,6471,517741846,263707346,56541691,0,0,210116567,38535168,12910592,65536
48209,6638,538539906,273132271,58580270,0,1,209757907,38731776,10223616,0
46744,6090,519713120,262991511,56330938,0,0,210045478,37814272,11075584,0
47772,7058,533606576,272017300,58141954,0,1,209920490,38338560,12845056,131072
52054,6823,566508286,289593274,62112193,0,1,210326357,38928384,10092544,131072
48606,7196,547899655,278426246,59578499,0,0,210085976,38993920,10092544,917504
47418,6643,518679726,262187322,56160751,0,0,209879159,38797312,13172736,0
46714,6390,520473426,264887136,57363434,0,3,209828046,38404096,9699328,0
46673,6322,518733931,263768108,56038439,0,0,209742765,38928384,10158080,0
47924,6705,529225174,270348109,58224157,0,0,209955654,39190528,12648448,0
46584,6380,520440138,264597487,56245495,0,0,209895339,39321600,9830400,0
46873,6120,518161383,261583882,56116811,0,0,209979716,38928384,9240576,0
47548,6511,525850451,268347264,57751711,0,0,209875761,38731776,12910592,0
47290,6502,525751384,264938167,56745250,0,1,209891241,38993920,9895936,65536
50128,6845,552301552,280735846,60096092,0,0,209991252,39059456,11075584,65536
47870,6509,533570287,271992153,58098184,0,1,209869909,39714816,12386304,131072
46606,6360,513872848,262016706,56040068,0,0,210333004,39059456,10027008,0
45085,6259,507598263,257661173,54915912,0,0,209636138,38862848,9699328,0
45220,6218,501928663,253506796,53883059,0,0,209862858,39124992,12320768,131072
46630,6474,514606443,261834756,56126715,0,0,209805593,38928384,9502720,0
48234,6693,531797923,269817208,58292679,0,0,210039154,39059456,10289152,196608
47976,6501,531834487,271377195,57783144,0,1,210185867,39387136,12320768,0
46536,6498,517039439,263340736,56781073,0,0,209768194,39256064,10027008,0
48916,6800,546458876,277221475,59037230,0,0,210122022,38862848,10027008,327680
50884,7194,565015401,287980891,61643960,0,0,210215070,38797312,13828096,0
51347,7289,566437272,287655314,61686315,0,0,209738373,38797312,10289152,131072
51207,7248,568970068,289856908,61793888,0,0,209816103,38862848,13500416,0
50607,6677,570083276,290138375,61585280,0,0,209900526,38535168,11075584,0
50888,6966,570316500,291048101,61893744,0,0,209939001,39059456,13041664,131072
50428,7051,561758828,286068878,61113732,0,0,209874024,39256064,10158080,0
47388,6255,527963910,268803051,57580323,0,0,209847596,38862848,10092544,131072
51090,7009,570307122,290567432,62461649,0,0,209818343,39321600,13500416,0
48576,6636,537034883,270790044,58140309,0,1,210063756,38928384,10223616,65536
46449,6475,515520620,262493323,56162118,0,1,210158159,39059456,9568256,131072
47893,6649,534613206,270276548,57983321,0,1,210238019,39518208,13238272,0
48600,6739,534024348,272349814,58229781,0,0,210150716,39714816,9568256,0
47791,6604,539099665,274248532,58663377,0,0,209622095,39583744,10158080,0
47192,6292,512214246,259915910,55914873,0,0,210025688,38666240,12910592,0
46303,6030,515210740,262439131,56558677,0,0,210170393,39059456,9306112,65536
45695,6183,504383922,257022649,54643871,0,0,209810290,38928384,10289152,0
46753,6217,514263378,260423972,55845556,0,0,210215095,39387136,12582912,0
46398,6561,513870397,262290329,56483435,0,0,209687436,38862848,10289152,262144
47862,6596,533943346,271355905,57610755,0,0,210414741,38469632,10354688,0
46484,6409,514081272,262232007,56013206,0,1,209599146,38928384,12386304,0
48466,6636,538304756,273906669,58668595,0,1,210121932,39256064,10223616,0
48393,6573,531919174,271541907,58215019,0,0,209911154,39124992,10289152,131072
51144,7072,568900174,287724677,61414403,0,3,210194890,39124992,13697024,0
47292,6607,515493745,262978307,56313869,0,1,209775777,38862848,9961472,0
48321,7120,535511772,272998192,58621095,0,1,210323860,39124992,10092544,0
48563,6695,530527139,269119480,57754827,0,0,209670110,38862848,13172736,0
46408,6433,512503171,261398319,56414798,0,0,209818653,39387136,9371648,196608
46390,6385,518333805,263595292,56050244,0,0,209954744,38731776,10485760,0
47795,6656,523464165,267818206,57326268,0,0,210283262,38535168,13041664,0
47708,6542,538650931,274283981,58127887,0,1,209675563,38928384,9830400,0
49857,6779,540679981,276066860,59099533,0,1,209853239,38600704,10420224,0
51128,7261,565392399,289000904,62251637,0,1,209965692,39124992,12779520,196608
51644,7006,567449466,290166985,62700515,0,1,210200006,39256064,10878976,0
51060,7108,567446686,289816299,62314599,0,0,210219596,39059456,13172736,262144
52152,7443,567244957,288677109,61936819,0,4,209619377,36634624,11534336,0
47960,6456,536828823,271628476,58228371,0,0,209927674,36962304,13107200,0
47409,6770,515261787,262756885,56106725,0,1,209893403,37552128,10027008,65536
48237,6710,532414848,271990456,58668563,0,0,210346282,37814272,10092544,0
48679,6552,536935657,271625243,57968838,0,0,209745190,37879808,12517376,131072
47448,6667,522588551,266324069,57445845,0,0,210320546,38141952,9895936,0
48220,6615,534258139,270675298,58031810,0,0,209690235,37945344,10223616,0
47718,6758,523789438,267836784,57906146,0,1,210054669,38404096,12648448,0
51985,7211,568772888,290211962,62299365,0,0,209964781,38797312,10878976,0
48620,6777,534239791,272404342,58640469,0,1,209923536,38993920,9633792,131072
47398,6237,512974878,260062825,55694861,0,0,210354803,39321600,12386304,327680
46556,6276,513078630,261352929,55968379,0,1,209642451,38797312,9764864,0
47458,6629,528922529,268656307,57589090,0,0,209906962,39256064,9633792,0
47925,6228,531234804,269200976,57687640,0,1,210059045,38862848,12779520,0
47827,6639,536863496,273763920,58594746,0,0,210372736,38666240,10485760,262144
48707,6651,530037326,271036675,58140507,0,0,209669180,38535168,10158080,0
46405,6510,525907258,268425473,57583660,0,1,210355165,38993920,12713984,0
52173,6909,567645021,290364112,62248710,0,0,209664903,39190528,9961472,0
51126,7141,567145687,289596711,62323636,0,1,210303534,39124992,13434880,0
46546,6554,513361716,261575504,56582839,0,0,209725318,38862848,9502720,0
47911,6661,536376800,272861118,57914437,0,0,210104230,38338560,9764864,0
46809,6533,515021322,263146136,56357532,0,0,210044853,38338560,12517376,196608
48291,6542,536055533,273373183,58142324,0,0,210229739,38797312,10158080,0
48133,6539,528100403,269430107,57964514,0,1,209900104,38535168,10223616,0
47564,6601,531874132,270453045,57582615,0,1,209882083,38338560,12320768,65536
48372,6546,531670959,271598220,58182147,0,0,210334096,38666240,9961472,0
47015,6595,521953350,266216939,56864484,0,1,209679737,38993920,10092544,0
48145,6693,531948138,271268251,57761971,0,1,210002025,39124992,12582912,0
47920,6629,531057373,270918236,58187020,0,0,209754789,38797312,10289152,0
46936,6649,517035026,263388492,56166788,0,1,209875785,38338560,9764864,0
51070,7173,566034085,289055167,62495909,0,0,209899116,38928384,13631488,0
48648,6753,538000930,271134866,58181347,0,0,209857262,38666240,10092544,0
49967,6971,553794487,282391594,60521503,0,0,209855674,39256064,13172736,0
50630,7223,569722093,290882377,61716148,0,0,209828150,38862848,10485760,0
45458,6153,508052967,259082512,55723177,0,0,209953720,38535168,9109504,0
48054,6581,534942583,270980286,57964891,0,0,209861910,38928384,12976128,0
48278,6560,535798477,273175595,58471203,0,0,209920197,38862848,10027008,131072
48159,6541,531593129,269580435,57876248,0,0,209841123,39059456,10420224,0
46168,6533,507741409,259195337,56053540,0,0,209904486,38928384,12648448,262144
46542,6235,517083038,263292443,56048670,0,0,209871669,38404096,10092544,0
48380,6513,534359014,272616007,58261785,0,0,209838739,38731776,9699328,0
46145,6289,512079385,261119274,56172554,0,0,210087832,38666240,12976128,131072
47446,6149,524929200,265467189,56963693,0,0,210144675,38928384,9568256,0
48230,6681,532521930,271380578,58086531,0,0,210117386,38928384,10223616,131072
50518,6998,564759591,288819203,61984042,0,1,209806301,39321600,12910592,0
50563,7177,567247151,289352064,62087246,0,0,210369309,38928384,10420224,131072
47293,6672,518523981,264196360,56560193,0,0,209647589,34471936,11862016,0
44538,6392,492657338,251560389,54098514,0,0,210047331,34340864,12255232,0
45453,6243,501657125,255356316,54600397,0,0,209907453,34930688,9568256,0
45153,6028,501027055,253582102,54212321,0,0,209931973,35979264,10354688,196608
45843,6282,497375303,253595811,54317340,0,0,209848134,36306944,9633792,0
45142,6158,493821035,252267051,53941385,0,1,210291743,36503552,12058624,0
45303,6329,496744388,253281535,54584440,0,0,209672598,37027840,8978432,0
46414,6275,515375580,262248226,55864291,0,0,209897161,38010880,8912896,196608
47064,6479,514601406,261004036,55936265,0,0,210237226,38076416,12910592,0
47003,6235,513727924,262394328,56604485,0,0,209768372,38273024,9830400,0
46617,6544,518783808,264192111,56304460,0,0,210109261,38862848,9437184,65536
48182,6697,529123058,269983935,57808638,0,0,210308237,39124992,12713984,0
47791,6561,534409907,272534196,58047456,0,0,209603672,38862848,10223616,0
51172,7145,568084185,290228919,62078940,0,0,209865157,38797312,10420224,196608
46368,6634,517919441,261530678,55919321,0,0,209837630,39321600,12779520,0
48337,6924,533261448,271987473,58281202,0,1,209911166,39387136,10158080,0
48080,6600,537505885,273562594,58584746,0,0,209997083,39387136,9699328,0
50732,7000,565264401,286975467,61975674,0,0,210093845,38993920,13238272,0
47797,6340,534739703,271037758,57989037,0,0,210048417,38535168,10092544,65536
48305,6501,529230603,270316184,57933963,0,0,209984038,38666240,10158080,0
47963,6796,533238907,270295408,58336495,0,1,209877522,39256064,12779520,0
48759,6630,530050323,270950994,58075470,0,0,209744715,39124992,10027008,131072
47719,6521,535300750,272787662,58651635,0,0,209953677,39321600,13434880,0
47989,7134,520918336,262483245,56105871,0,1,210350026,38993920,9699328,0
48180,6929,533191200,272278544,58579842,0,1,209622477,39321600,10027008,131072
48241,6806,532708540,270012840,57717287,0,1,209885144,39518208,12779520,65536
49417,6740,542066378,276668300,59458283,0,0,209861583,39583744,10092544,0
48406,6739,534317666,272510911,58387654,0,0,209929050,39452672,10616832,0
48030,6750,532718114,272079457,57933447,0,0,209840271,39387136,13303808,0
48297,6452,532047706,271512603,58369588,0,1,210310861,39518208,9961472,131072
27215,3464,534909642,271917887,58302706,0,3,210041860,39714816,9764864,0
7023480,3622020,116053894,159849876,109631795,0,0,209795780,40370176,918487040,10223616
10183459,2767041,396535690,349198061,187260336,1387523,0,210363904,40828928,830603264,0
43027404,4375565,2683248592,2076749937,957405451,29602401,0,210075103,41943040,271515648,1048576
40030768,4014700,2558340560,2015456955,934130056,27747011,0,210145203,41811968,261357568,0
42557669,3641984,2413832206,2075711622,985115126,29259506,0,210187723,41943040,251723776,720896
40618080,3784901,2387543233,2047797070,965153277,28311365,0,210415040,41943040,257228800,131072
44459333,3946577,2439879224,2077990861,1002451189,31127929,0,210155776,40763392,251920384,0
37813236,4322696,2705959483,2033021784,896647869,26745089,0,210193830,41943040,274989056,327680
37338592,4074162,2602908042,2039615434,930410471,26197944,0,210109811,41877504,269877248,0
41704481,3724658,2389909298,2075773909,1000563161,28058436,0,210077028,41877504,243924992,0
38851647,3740389,2358812885,2030518507,960253308,26859703,1,210081927,41353216,252510208,1245184
40861567,4227019,2631654330,2076057218,965643106,28487980,0,210329946,40697856,265486336,327680
39785169,4327432,2733050804,2025851019,875721044,26720137,0,210113300,41943040,277610496,0
40359701,4650144,2910870541,2064648840,875779933,26869355,0,210062635,41943040,291438592,0
40404292,3591656,2284368937,2021821683,1006894812,27938812,0,210087536,41877504,229441536,720896
37757680,3884667,2442181366,2024852167,960590714,26244750,0,210049486,41877504,250937344,1900544
39301730,3946489,2437893104,2074661476,1009489309,28134548,0,210104454,40894464,249167872,0
41607569,3625339,2309894039,2033231278,999163216,28328657,0,210079335,41353216,234618880,0
39545115,3879244,2417166477,2075112984,994584227,27371652,0,210089880,41746432,252510208,720896
39273200,4144936,2568705133,2040609191,942706254,27890299,0,210193374,41746432,261750784,0
41108173,4095622,2568465772,2073573059,956066180,28451582,0,209977398,41287680,265879552,1638400
40917338,3891869,2478979976,2028438008,956291325,28890075,0,210220944,40763392,257753088,0
41909098,4095460,2598774879,2074901414,947652908,28681818,0,210008208,39518208,264044544,65536
40598559,3481010,2229820969,2015145256,994579392,27793855,0,210033002,41943040,229769216,458752
40948471,3723497,2354879527,2073888071,1018277314,29018475,0,210067426,41877504,246284288,0
39677147,3847679,2399658197,2034167847,985187915,27966348,0,210062280,41943040,245039104,1114112
40543127,3599998,2311086056,2033454147,989557572,27689105,0,210038468,40763392,242352128,1966080
34429264,4762709,2934823059,2076088690,916215826,25628628,0,210607169,41943040,304152576,0
38636010,4137238,2634094876,2030608369,899927941,27030466,0,209990534,41680896,269156352,1376256
38388166,4330378,2713629278,2076733828,903369843,26838486,0,210407523,41877504,282198016,0
32233474,5031289,3056895264,2020056869,780060885,23654088,0,210113070,41877504,319881216,0
37293131,4469202,2743173546,2006247549,885969275,26909665,0,210585907,40632320,282722304,2752512
37038668,4852712,3066239049,2077012057,828839555,25211574,0,210023644,41746432,303497216,0
38220039,4681131,2967700517,2018887436,797423505,24994160,0,210081759,41811968,303562752,655360
37787734,4478377,2812064204,2000252601,816225484,24906484,0,210544035,41746432,294649856,0
36175010,4722686,2957955298,2075758415,854040628,25226229,0,209885642,41943040,306249728,65536
37967406,4662996,2970943386,2020399661,802517669,25412398,0,210336823,40828928,303693824,1769472
39845816,4242199,2740106373,2017500155,822289512,25449366,0,210294877,41746432,288161792,0
35891502,4160763,2633599762,2077330468,892043861,25132872,0,210154845,41943040,299630592,0
37835861,5016044,3053280126,2018427340,842121205,27207086,0,210594677,41746432,290324480,4325376
37801796,4879147,3145139033,2023163701,774874647,24250861,0,210151942,41877504,304611328,0
39509819,4175490,2777520160,2075970626,818848752,24241441,0,210004309,40828928,296747008,0
37412955,4884882,3033427641,2022417062,835918896,26413528,0,210516885,41877504,288227328,65536
43269147,3812447,2530463223,2078544767,948775839,28968811,0,210368272,41943040,255197184,1310720
30696387,5109835,3079432939,2021967598,781534710,22968086,0,210296057,41943040,329777152,458752
40066858,3977156,2527732915,2015263781,934009360,28310073,0,210115712,41943040,259063808,1835008
37671850,4530466,2898202629,2075749442,855248561,25314503,0,210208592,40304640,295043072,0
31952567,4896042,3051279357,2010918591,740452433,21759169,0,210023938,41877504,337510400,3145728
41773742,3805004,2411904700,2010879244,959361501,29680685,0,210081120,41943040,238551040,0
40135924,4342256,2796215721,2074659705,865772062,26998385,0,210078921,41811968,295567360,0
37601145,4449503,2754243014,2025953035,872755829,26557285,0,210096798,41877504,284884992,786432
40571025,4054671,2523586474,2045502869,962433842,28529201,0,209960892,40697856,259719168,2818048
37674116,5098975,3214421307,2055780946,764390605,24453228,0,210388904,41943040,328007680,524288
37332041,4156792,2577856576,2021883876,908132081,26804363,0,210548700,41811968,290979840,0
38767184,4534588,2763363645,2077221037,972899517,29596656,0,210332776,41353216,265224192,0
31882531,4819244,2997581674,2031782286,778317515,22701141,0,210014070,41746432,331087872,0
43417753,3874096,2453373103,2016466350,958212135,29644820,0,210032700,40697856,240648192,851968
42914093,3895285,2655049435,2073960763,846387863,25388129,0,210051939,41943040,291504128,0
37396248,5056779,3103905454,2016068733,846893692,26921284,0,210245614,41877504,289734656,786432
41160087,4160564,2698630937,2021699157,887656471,27383123,0,210129983,41811968,267583488,1507328
37540861,4550388,2982807889,2072139501,782146239,23953346,0,210074961,41943040,322633728,0
35586493,4798999,2981565663,2027674629,840807091,25741181,0,210104433,41156608,303104000,196608
42167950,4101505,2581817158,2075163720,981913752,29580838,0,210267041,41746432,259063808,589824
32621463,5438381,3396670435,2025151338,716697133,22942448,0,210162073,41943040,338231296,1638400
41389376,3738982,2446603656,2017456171,924914557,27770161,0,210138830,41943040,263127040,458752
38191154,4248635,2616279456,2074628966,926189744,27062889,0,209991813,41943040,286195712,0
38400948,5042285,3173635901,2015595380,778863205,25077996,0,210084262,41156608,311296000,1966080
42532007,3868843,2566522212,2018881039,860019853,26636600,0,210101153,41680896,277938176,393216
36933245,4114599,2681094441,2074490263,840824137,24028003,0,210028245,41943040,304545792,0
33104198,4979014,3047106652,2023858343,837254900,25001503,0,210489329,41943040,316997632,4390912
40939596,4293932,2672948449,2028242471,917463871,28404984,0,210078665,41877504,256442368,0
39640279,4943142,3183592103,2075485150,785456298,25414522,0,210036823,40763392,316604416,0
36975663,4510238,2849314823,2024330767,823943198,24812685,0,210133604,41746432,303955968,1835008
39708668,4043234,2560543743,2013505331,924818873,28056641,0,210110682,41877504,261947392,655360
41433614,4511720,2878358789,2075050943,846287025,27062592,0,210069222,41353216,298582016,0
35749001,4600496,2849604225,2012392125,829091983,25105704,0,210103824,41943040,304611328,1179648
