l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
653250036,991474012,124593,10445551098,4148165522,522308950,0,0,563504082,41353216,1245184,262144
673745111,1038193689,120075,10170907506,4146951361,551000269,3,0,419932054,41418752,0,0
606164778,887481981,77411,9601339849,4110317079,613632053,0,0,419741171,41025536,0,0
597460765,877727051,76490,9130411059,3648345386,452265295,0,0,419735430,20185088,10747904,131072
600661908,882029745,76205,9118635886,3626630662,449399923,50,0,419659368,19791872,917504,0
600911385,882855394,75062,9122970440,3627924505,449060139,0,0,419740032,19988480,1114112,0
601012681,883226035,72123,9128379328,3629424294,449069101,0,0,419997384,20250624,589824,0
585197546,846901855,67295,9107086102,3735889744,507063747,3,0,419654268,20185088,393216,65536
523101095,730214299,50864,8818980323,3827663110,592080303,114,0,419769264,14876672,5505024,65536
527586771,730446947,51793,8064020722,3110263822,351492291,11,0,419661216,14876672,458752,0
527527559,730196303,51403,8065601536,3111477438,351324821,11,0,420058229,15204352,1179648,131072
527920347,730617280,50422,8066419510,3111357946,351249690,8,0,419719952,15138816,655360,0
524123644,724316100,48594,8031768842,3140945165,373396264,21,0,419856599,15335424,1114112,131072
438421264,587051239,38737,7609866286,3468768077,574218477,85,0,419668611,13959168,1638400,0
441789858,597325964,38610,6765502239,2591695454,288024856,81,0,419708328,13762560,65536,131072
442008943,597371435,39614,6766574034,2591735851,288002299,30,0,419653851,14024704,655360,65536
441981439,597154852,38006,6764538618,2590856468,287889631,0,0,419640321,14024704,524288,0
394194505,534602049,33658,6563910990,2811148230,423906381,27,0,419842389,13893632,196608,65536
353086188,473849905,29502,5873070607,2543147892,396413643,13,0,419910630,13959168,393216,0
352818425,475830712,29843,5394629999,2078917730,236826300,48,0,419667567,12976128,983040,0
358695760,496877074,28781,5449975343,2146426200,265504127,25,0,419588658,13041664,327680,0
357505446,495691526,29113,5449773340,2145033093,265119341,0,0,419712213,13172736,393216,131072
356730808,493663007,29278,5441871599,2146937872,265718668,10,0,419731002,13238272,196608,0
357749272,494991636,28735,5446434275,2147488873,265861180,7,0,419998431,13238272,0,0
313552190,420775535,24272,5024738656,2103443765,297010314,14,0,419542301,12910592,524288,0
279430061,386483109,21482,4577504967,1866252756,240751952,0,0,419619118,13041664,524288,0
285575787,399449242,22386,4370324048,1668912391,176176665,3,0,419576946,12976128,0,0
286956106,401234436,21724,4375417459,1667506284,175772369,0,0,420004815,13041664,327680,0
287164646,401578887,21521,4374470254,1665832047,175627603,0,0,419821389,13107200,196608,0
283757147,393263449,21462,4350200185,1648651378,169777780,2,0,419463186,13041664,1114112,0
228379849,312870263,16426,4133906290,1917642114,334757996,23,2,419866428,13041664,65536,0
204273556,278550080,12392,3370454949,1500215015,239200117,8,0,419877324,13107200,327680,0
202687189,292766103,12895,3089004968,1182762450,127968453,0,0,419451192,13172736,196608,0
203337627,294008027,13442,3106253886,1195528876,129870789,71,0,419784561,13238272,196608,0
135424428,193061985,10273,2778533100,1417650583,292175604,17,0,419594115,12779520,720896,0
105216077,148560798,8050,1926784872,958883675,191174552,14,0,419482053,12517376,65536,65536
102270498,147256706,7810,1560848143,595144909,63027787,0,0,419366979,12517376,131072,0
102302988,147374263,8119,1565208487,597592005,63224939,0,0,419422592,12517376,0,0
102213657,146996794,7783,1562504801,596681817,63269004,0,0,419550949,12517376,0,0
102420228,147410816,7839,1561559467,596014767,63194812,0,0,419498424,12517376,0,0
102039160,146816393,7934,1556304176,592798999,62593842,0,0,419468277,12189696,262144,0
263819891,385498472,6768636,5072905893,2147416934,283371588,21924,0,419956125,41549824,502136832,1048576
649693955,991488480,124628,10413144049,4147796666,526103896,30,0,419739957,40763392,524288,65536
673965264,1038625770,126987,10171764212,4147024071,550971363,0,0,419870973,40304640,720896,65536
617052131,916212761,88141,9732772026,4118934578,597599328,42,0,419856834,39845888,131072,196608
600144514,887752818,77595,9277585560,3746949707,490327460,0,0,420004863,20512768,3276800,0
601301714,884066961,74969,9127009281,3630254337,448416816,16,0,419843040,20643840,720896,65536
601544224,883409652,74140,9130373607,3630406735,449110296,6,0,419891103,20709376,720896,65536
601084675,882863297,71698,9128132652,3629326348,448283557,0,0,419749449,21102592,720896,65536
600719759,882928003,70231,9120276895,3628055308,447343282,0,0,419658705,21364736,393216,65536
533164866,740254467,51001,9022386275,4041724442,664167041,0,0,419726766,15073280,5242880,131072
523162421,719864104,49048,8074242559,3152780681,359035695,0,0,420017482,15007744,1310720,65536
527754120,730891267,49675,8071412558,3111373115,350638850,0,0,419812598,15269888,786432,65536
528005035,731430763,48877,8068115862,3111694637,349998523,0,0,419925741,15532032,655360,0
528131725,731393501,49388,8066965060,3110845804,350561732,0,0,419683026,15466496,393216,65536
527991831,730979966,48435,8070427691,3110635549,350477278,10,0,419732130,15138816,1179648,65536
453623528,616364440,39571,7802470170,3477924750,561455347,5,0,419896753,14286848,983040,65536
441855615,597058605,37947,6919278724,2740156876,336468263,3,0,419736809,14352384,0,65536
442264750,597372902,37458,6766525727,2591722353,288123817,0,0,419704938,14221312,327680,65536
442049854,597543510,37532,6770911494,2592157204,287803786,0,0,419723271,14417920,589824,196608
441806377,597322291,37336,6767556227,2591515237,287099263,0,0,419762778,14614528,262144,0
395789887,533910814,33476,6568484914,2824023797,434456221,0,2,420099033,13369344,1114112,0
355994991,483192230,28335,5851079344,2554639150,401317029,140,0,419377878,13303808,458752,0
358082576,496200086,28585,5457515113,2150795634,266729424,2,0,419646204,13434880,262144,0
357397633,495027738,28772,5445788915,2145272613,265058473,0,0,419722746,13500416,393216,0
352055380,472639175,28599,5387888449,2072881149,235810913,0,0,419610009,13434880,0,0
353177461,476665552,28993,5394652668,2087372886,242747594,0,0,419716611,12845056,786432,0
358139506,496189073,28541,5458348548,2150555361,266416147,2,0,419660544,12976128,393216,65536
307919871,420885855,24081,5046934198,2132125422,312816131,0,0,419751816,12910592,327680,0
285258350,395647038,21606,4551662757,1828101430,233176549,10,0,419528385,12910592,0,0
286935330,401833662,21760,4380554175,1668751926,176100900,0,0,420027705,12976128,196608,0
284231354,394637057,21448,4359262299,1652928111,171340008,0,0,419366259,12582912,655360,0
285483142,399351051,22156,4363526005,1663200943,175104494,3,0,419830287,12845056,983040,0
225137065,299463397,15456,4084227370,1915973099,327862659,27,0,419928159,12845056,0,0
193971979,277701227,13393,3485355110,1521350865,238879415,240,0,419639445,12976128,262144,0
