l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
120554653,1914343232,8937825,206235,8153266367,8010614398,4669838437,7373,6,528068624,41549824
38257253,944534,6815610,5711,19486779661,8317625635,1474675620,28487,7,424672912,41943040
32064625,78288764,5394817,285769,15293813095,7061061410,1994788504,785,0,427110604,39976960
122981312,1769365347,4142392,395171,11805511384,7915846120,3877455969,21763,5,425550033,41943040
38168568,811724,8373034,5905,16161569305,7480622605,1883063615,3184,0,430098251,41877504
136580183,2026473891,8213425,835313,10197361522,8362822231,4611180968,5488,0,429538440,41943040
40058269,1004652,7117438,5984,19935143148,8376221192,1535939206,23247,0,424665172,41877504
105731804,1290213792,8809820,421280,11636103668,8090789002,3801069888,854,0,421968540,41287680
57116586,515967668,4629229,12278,15210414225,7204635524,1871999506,22023,2,424143002,41025536
43117083,91540406,9383194,4772,14797921893,7284889559,2087294059,461,9,428401269,40960000
125005732,1868354676,4575379,586673,12501434253,8373339282,3897200835,24794,5,428501357,41943040
44131949,706994,10102735,5406,17933208134,8327545478,2092953661,1002,0,428200784,41943040
130863956,1956937623,6640423,641062,10808384753,8384018102,4412539633,14563,2,424896236,41943040
31435072,768086,6155239,4613,14643892416,6410540832,1335470019,14263,2,426968124,33882112
77639201,751190260,8002007,632853,12119117850,7449695920,3068585411,1084,0,428399444,41746432
91633182,1235904429,5159332,14378,15480510043,8275059084,2761702438,28393,0,426471108,41943040
36337671,487479,8976476,9366,14944511951,7099966447,1887384256,1705,0,430150724,38273024
123017529,1792583365,5259413,632877,5451042854,6001491391,3750911670,74067,0,424753724,40566784
30268523,910002,5106473,10263,16415789274,6765402080,1144175194,22963,0,427591104,39321600
29304242,424993,6898602,4069,11669813675,5506289784,1463102505,294,0,426916400,40894464
128116476,2008409151,5297418,640385,10035173706,7885225055,4127051040,20750,0,427436184,41943040
42421541,832813,9350417,5291,18493327527,8341474644,1926022712,8012,0,427183392,41943040
131739685,1974608437,7635707,563358,10163409508,8373514317,4598024722,14016,2,426805060,41877504
36505689,1022939,5085490,6916,17163901370,7122639925,1211667240,20578,0,420340376,37093376
31668633,85215494,5949032,6107,10426306781,5000973943,1454328819,492,0,423451501,40828928
127119206,1932755805,4698977,657460,11838554222,8245558997,3842441086,25873,0,420053334,41091072
41923544,503325,10330657,5511,17778228903,8229856302,2025268291,4196,0,420880013,41943040
131696767,1946137754,7110982,461977,10673792802,8394201413,4456941800,15236,0,428201276,41943040
40611048,837991,8184818,5659,18846577765,8323490484,1755774091,14608,0,424130452,41943040
117885733,1504499429,7774912,641855,9849387522,7592697461,3935202493,1393,2,423557106,41484288
46778123,163481866,5546530,15665,17512795738,7688579844,1641620468,52779,0,426211455,41943040
81506854,738781179,9891362,678660,14295939378,8386881058,3304136603,942,2,428123480,41943040
91178253,1295806051,5081623,14666,15166003917,8263646457,2805199387,26332,0,426744560,41943040
54188459,301198523,10814531,174113,15801908768,8388016200,2820769316,740,7,428511156,41943040
