l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
19700674,133535,18373542,21211428064,8298689928,2114924492,131763,0,471002127,2490368
22270761,765097,23238939,20548485294,8281195631,2249752202,92478,0,420799593,2883584
25914007,3764482,27766625,20991152831,8289627661,2125057226,50941,0,420877642,2555904
29197341,10193798,31660608,21758237974,8283356113,1911964149,91939,0,421111469,3080192
44341427,269138824,38793061,17392390790,7364064379,2159617226,18251,0,420900663,3014656
328396098,6444524,62122058,3123544818,8211998595,6309277636,190212,2,420955829,3670016
328634242,5177109,61845062,3067470663,8273443757,6370707483,210112,0,420901644,3473408
327945689,4789799,61804238,3063894334,8266427064,6364094933,211110,0,420856300,2424832
328213141,5448696,61825997,3065128309,8264751308,6366487434,189490,0,420766891,2293760
328237642,5040540,61832382,3071481932,8270025403,6368910970,188432,0,420932798,2490368
328224561,4540999,61846193,3071728511,8270415272,6367896686,209155,0,420943296,2359296
328667618,4905441,61855719,3065215021,8267429409,6366481032,205705,0,420790467,2359296
328106909,5065248,61764524,3066911130,8261673248,6361211510,191962,0,420707229,2293760
328087859,4764487,61847705,3064703513,8268371970,6367186631,201640,0,420916327,2621440
329020750,4791118,61940651,3073437311,8270865517,6368960370,201909,0,420950584,2293760
328114084,5089008,61814271,3065686935,8265057460,6367932357,195887,0,420802326,2293760
327928757,4620388,61800362,3069507860,8267149312,6365687615,203543,0,420786650,2555904
328361216,4558541,61824154,3066661320,8269388761,6366101621,203178,0,420889692,2686976
328135044,4543475,61800384,3063751112,8268825460,6370034974,194974,0,420940280,2555904
328220665,5046128,61829047,3068487712,8265729244,6366866571,188829,0,420820836,2424832
328331214,4708768,61806156,3068509735,8265417579,6365267391,200155,0,420637085,2621440
327904718,4641476,61786956,3065996384,8263264135,6365437083,205864,0,420687279,2162688
327830262,4738060,61787413,3062962220,8263727898,6362038577,208440,0,420905772,2162688
328378400,4987924,61780322,3066836121,8263972163,6364875238,191034,0,420829424,2162688
351181324,5159402,66203063,3282679931,8263166791,6227105767,224690,0,420380914,2424832
369168423,4925382,69530008,3444178966,8262454252,6123282606,226539,0,420380124,2424832
369312654,5048589,69614181,3445414682,8260245514,6126169630,220206,0,420480807,2686976
369290277,4652403,69581825,3447241939,8262789316,6123454934,220340,0,420422920,2359296
357004885,5081348,67290964,3336558177,8263154686,6195559439,220810,0,420765406,2490368
328539471,4988724,61913040,3071360383,8263036439,6361608278,193977,0,420908176,2162688
327854098,4594487,61764530,3067433346,8263917086,6364957254,191617,0,420880694,2424832
328030911,4552157,61683175,3071592023,8263701554,6360136938,201471,0,420853627,2490368
328233827,4796217,61808642,3063595552,8265899199,6366222773,206792,0,420952448,2228224
327929628,4784785,61735097,3065263920,8264208525,6365228197,209073,0,421026292,2424832
328317998,4701351,61785316,3062477922,8259221740,6355744350,199179,0,420577447,2359296
327888543,4825145,61774398,3062063656,8264374725,6366863909,201159,0,420760078,2424832
352490608,5084221,66284499,3294473224,8260064344,6217323224,213864,0,420394128,2097152
343760373,4687389,64480515,3230509717,8234941346,6225504483,202691,0,420938270,2424832
328143723,4742014,61794426,3064741799,8265464467,6366355422,201005,0,421042125,2097152
328285179,4928820,61869989,3069377952,8266396292,6367014371,190265,0,420949440,2359296
328288811,5025065,61818246,3065983703,8263697553,6363217087,205661,0,420966568,2359296
327958640,4740668,61802147,3066708786,8266017621,6365341293,200133,0,420927894,2752512
328201355,4846501,61827481,3064172226,8266787713,6365423208,201854,0,420847872,2490368
328078877,4875656,61758476,3062832589,8266487536,6367280718,193803,0,421043038,2555904
328136434,4846721,61825527,3069292469,8264100188,6365757672,192633,0,420961828,2293760
328363206,4867617,61842344,3067471557,8265338301,6366033646,199936,0,420783996,2621440
328269049,4769220,61798361,3063357760,8261594443,6362753862,203901,0,420666558,2621440
328151799,4846951,61837027,3065000413,8266830394,6365951980,208426,0,421056498,2686976
328395749,5116797,61853686,3065910500,8264679452,6366677051,187711,0,420820108,2752512
328368315,4673286,61849061,3068750465,8268406484,6367816465,201385,0,420888164,2818048
328201597,4864583,61845049,3068282100,8269248222,6369445505,201155,0,420955516,2555904
328280435,4760355,61786196,3065656918,8266200284,6369226598,204485,0,420973008,2621440
328401810,4856488,61829217,3063543443,8266381387,6364962977,197777,0,420856832,2555904
328137584,4537659,61870600,3065793244,8270633806,6369680827,204923,0,420940974,2621440
328353893,4947294,61818409,3066829590,8262679319,6365277946,193164,0,420709970,2686976
328188908,4807064,61783182,3068648356,8260683682,6362245074,192150,0,420699113,2883584
