l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
104151103,840626332,3310318,1375259,9459289000,7658974076,4371605967,288311,0,484281856,3866624
127659470,1263594921,3601529,1691085,9448500672,8220536034,5334448834,133078,0,420807509,3145728
29983490,176177268,1350582,662066,6911412633,6753822238,2898408040,175279,2,421102928,3801088
121653579,1433257022,6890232,2340024,8713643014,8228931383,4650994513,349868,0,421338734,2228224
103904372,1149773222,5608447,1576585,8082767657,8236000597,4418183354,294439,0,420899665,4128768
49774317,539612659,3014342,1291977,6664028137,6763093064,3071334216,237285,0,421424569,1966080
124745686,1509224696,8396339,1969692,8050997520,8233891338,4646285693,317112,0,420577819,2424832
61868414,693419127,4076884,973761,7632417069,7800673108,3549980269,182582,0,421067140,983040
85509509,874933201,4980941,1753842,6649215699,7199296555,3966937877,307286,0,421184575,3801088
112755670,1271145061,7304885,1635063,6822846592,8216512251,4982559516,290587,0,420815017,3866624
29745084,236381341,1843877,640963,6611895187,6782265946,2770925020,165028,0,421259573,2490368
124080943,1599828167,7995849,2365997,8703464601,8225727222,4385998982,352814,0,421077823,2490368
105577259,1270986478,5912593,1546442,8160933924,8237896888,4225318422,314330,0,421367887,4456448
53840409,516118006,3125585,1091778,6709051236,6779068836,3284323677,181017,0,421522192,2490368
109192849,1078313572,6640796,1749598,7708025524,8236267589,5181206059,227511,0,421201778,2359296
66262930,657678447,3397458,2698017,7264239310,8044709548,4215340971,394522,0,421069582,1835008
73270792,803733549,4921869,1800459,6940147424,6878344207,3542702982,288624,0,420715941,2097152
115052334,1380512464,7569224,1682456,7395021962,8209729809,4755458269,357211,0,421201580,2097152
43736772,495480396,3196907,706972,7101299360,7230749255,3184357278,117227,0,420837143,1048576
96500636,995083217,5096017,1768227,6782339038,7707026090,4711985890,294136,0,421424112,3932160
99986270,962572963,6004377,1482379,7272169972,8211405707,4973099592,301459,0,421098617,2621440
31897174,359674224,2240248,1007048,6864820772,6763096406,2843951955,114122,0,421466891,2752512
