l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
22095231,2702612,32217,7619,10675293853,4905086472,546984015,2674221,0,505637097,12255232
23930726,2012380,17648,0,10480777795,4823343399,535882839,2460026,3,420398571,13041664
21262823,2899582,28039,740,10116155590,4505114637,488415207,2296935,0,420625405,16580608
19801702,2514602,27932,639,10363777293,4661047688,510132521,2446971,0,421206986,14090240
20028737,3143244,16182,363,10450565884,4756808725,524309906,2486237,2,420898917,15859712
22265083,2888353,10613,243,10000525645,4540935008,491885812,2437256,0,420624267,16449536
23937805,2966785,25965,340,10331628637,4666429853,510283595,2706510,0,420167895,14548992
20399507,1707596,20901,1782,10301106552,4708760691,528419815,2519714,2,420787351,14090240
20376955,2233813,15517,54,9597118226,4363259222,473310559,2408833,0,420980190,15400960
23168526,3443048,9006,2668,10475972488,4695322669,514013801,2842725,0,420614432,14548992
23198258,3170426,11972,964,10335476615,4734032479,526926830,2636901,0,420863334,15335424
23520194,2025533,27029,1195,9821613479,4346118139,485621087,2536142,0,420650538,15007744
25704736,2395740,27714,45,10565860453,4853251556,555115276,2616081,2,420887787,14483456
25070803,2409057,26460,1853,10467558847,4715866772,530133470,2459289,0,420276432,14614528
22962948,3803695,30551,35,9664426484,4427428666,487820217,2386711,2,420789234,15532032
23636308,2976496,21713,1486,10489691712,4842415233,543229309,2756876,0,421070190,14680064
22989257,2304573,22181,350,10054261857,4580862452,509648809,2624212,0,420240412,15335424
21373029,4377981,13404,362,9935015415,4403514961,476572324,2510937,0,420663594,15794176
24175307,2629332,17274,1794,10518690356,4809484469,552517773,2785128,0,420969112,15532032
21901722,2573863,15547,202,9920899272,4484642581,480783718,2591919,0,420769808,14483456
24021673,2821333,10809,864,10273744131,4685859841,515542350,2575089,0,420811752,13697024
25540311,1328677,9525,404,10405145419,4705679372,507742881,2608574,0,420248424,13107200
27789721,2344254,9791,40,10068033916,4586299954,503101372,2581753,0,420216209,14155776
24386870,3021883,24683,2614,10334815517,4622340687,500536625,2447712,4,421109422,15073280
21851042,1882171,18650,139,10403847130,4707261142,522211277,2570896,0,420963440,14811136
24630842,3273705,29180,379,10488657247,4806195071,544334073,2482750,0,420470472,14483456
22841191,3305733,21658,423,9684815160,4379771060,483373518,2488922,5,420801604,13762560
28499427,2121058,14757,34,10353182847,4732758567,534435849,2822347,0,420891473,14417920
21970386,3044573,17805,2237,9633500827,4346537693,491295293,2706496,0,420910479,14483456
26220476,1976532,13090,162,10458125880,4746366374,530778517,2764141,0,420765241,15794176
26453323,3207927,16124,100,10400100699,4722243915,518386395,2535608,0,420723072,16121856
22832110,2785508,16306,927,9737772031,4376563936,477501084,2535754,0,421091733,15335424
23502123,2095354,17853,2,10329646850,4686097491,507807300,2629249,0,421186445,14221312
24279562,2448988,16487,646,10362143470,4724829508,509848483,2648899,2,420856851,14286848
26435084,2061733,12656,653,10414258092,4701982003,496929991,2774444,0,420587210,15532032
23562913,3255069,17167,760,10170220323,4557947504,477723549,2639136,0,420953789,15007744
22842292,2255536,10639,38,10526349058,4746724735,495643357,2543331,0,420846661,14942208
20597884,3762393,11820,946,10015438877,4523537649,489788664,2780554,0,420161332,15400960
20380420,2502499,22940,847,10281838492,4606152026,499323616,2816181,0,420709515,15073280
20637309,3235868,17932,127,9687323209,4370608128,477316326,2474830,0,420397479,15728640
22391868,2863937,25075,1054,10547712641,4709616226,507336359,2669925,0,420921969,14548992
24684149,2455049,15019,21,10686035014,4870469237,523735229,2784681,0,421048425,14876672
25139815,3598336,16680,384,9816561046,4472914368,471283294,2526333,0,420379400,14680064
26629494,2244962,21116,212,10472294665,4688377730,505063729,2651064,0,420876159,15335424
25489716,3481491,18558,524,10553087369,4769339162,513518184,2554936,0,421027470,14614528
28576848,2249490,19794,594,10635966679,4815355626,513358212,2528635,0,420363385,14745600
25859805,3897330,11698,16,9615376222,4333667596,459070785,2480804,0,421023351,14876672
32448137,2802167,14234,1747,10485626183,4756253555,529375058,2776487,0,420716537,14024704
24561581,2065034,11955,14,10257132073,4631594364,502412756,2813409,0,420286900,16318464
20337746,3231611,20935,1460,9760282824,4364240428,475190310,2658927,0,420506405,15138816
24439705,1423040,14388,244,10427113313,4709524715,514065684,2756290,0,420234645,15466496
23625844,3137107,24832,561,10104420143,4529362874,481754192,2584512,2,421031648,14876672
25444339,2677160,18252,7,10520925474,4765921499,512025319,2628243,0,420831098,14352384
23495742,2604229,16394,717,10650788754,4783832120,508540236,2630620,0,420865374,13631488
25698735,1726259,16881,87,10007332714,4451201067,468693257,2515588,0,420313755,16384000
23941266,3389529,27960,990,10581622858,4705862184,510979183,2547031,0,421022764,14221312
24521520,2089844,26675,244,10472415066,4739917947,514514400,2561930,0,420771015,14221312
24328273,3649680,14646,803,10281500209,4664816435,500109645,2596425,0,420433406,14548992
19661483,2926145,31668,244,10155512983,4524488793,485419023,2448015,4,421023930,13631488
20245115,3236345,11107,1070,10335798870,4684944264,509635177,2875974,0,420349029,13697024
19690175,2830534,16906,92,9800287561,4397787046,462537086,2538188,0,420728683,11927552
21790837,2730961,19013,734,10201491728,4606356116,502188949,2548791,0,420559428,12648448
24527098,3421585,26648,284,10058057267,4534960083,475391576,2474406,2,420303584,12648448
22777480,2887934,20523,922,10458227130,4666796691,493705931,2671201,0,420748459,13172736
20691011,3018996,21636,190,10403240118,4621786127,480963980,2541127,0,420844011,13631488
23051551,3256750,13267,2496,9983328570,4469386759,457845604,2692544,2,420179798,13959168
21952907,1511070,19103,1056,10398748363,4592540560,469697807,2830043,0,420827160,13434880
