l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
7653785,6038982,83551,247517,408373114,468749415,241952799,0,0,451749726,41025536
3484242,445,210352,7324,572118981,559861132,253202866,0,0,419572434,40763392
3727774,226,311837,7458,520141583,564241695,279427886,0,0,419667996,41025536
3706097,123,468400,8043,475849246,569189081,304780551,0,0,419686431,41025536
3611514,262,556074,8559,457574871,567591242,313198005,0,0,419677686,41025536
3610242,355,629577,8454,445509814,572688401,325402078,0,0,419701668,40960000
3596575,148,675410,8530,431816030,573411447,334563658,0,0,419615760,41091072
3592843,191,704166,8723,420811731,575308643,341771049,0,0,419696484,40894464
3617370,86,748446,8958,408039243,574730955,348137481,0,0,419642589,40894464
3602875,144,776355,8967,399398402,576300489,352864784,0,0,419686452,41091072
3695780,288,812145,8885,398496769,575201105,352030913,0,0,419617914,41025536
3670742,142,819236,9276,386299965,578049496,361779643,0,0,419666613,41091072
3687497,265,843726,9298,378283112,578696308,366623436,0,0,419657151,41091072
3688440,244,863086,9792,372419882,579058996,369741962,0,0,419672994,41091072
3666513,288,882541,9920,365743708,580003766,371727014,0,0,419670720,41025536
3789982,181,913294,10404,365827387,578850591,371824014,0,0,419590074,40960000
3753353,99,914217,10828,359081550,580721119,377477668,0,0,419712375,40960000
3742090,248,920141,10822,353086048,580812409,380701207,0,0,419664123,41091072
3743366,162,929762,11567,351118597,580568141,382157502,0,0,419697240,41025536
3693436,150,974745,11796,340934091,581700036,388589892,0,0,419666805,32899072
3719530,230,992611,12088,338435159,581315909,389431199,0,0,419565303,35192832
3760493,140,1001178,13178,339294707,581553891,388470274,0,0,419734944,37879808
3794058,155,991982,13289,334321645,582081174,392839408,0,0,419695755,36241408
3725142,228,1030284,13942,326260375,583417872,398342192,0,0,419653542,34799616
3786765,126,1015489,14558,327286376,582856132,396507399,0,0,419659353,35389440
3789806,352,1023832,15388,323091304,582977470,399407221,0,0,419830391,36438016
3864899,117,1048720,16370,328737173,582838791,394961586,0,0,419486560,38993920
3818396,255,1031645,16301,319398779,583788785,401169651,0,0,420014008,38338560
3843058,210,1029391,17329,317909765,584480730,402421803,0,0,419318492,40173568
3875163,244,1017063,17953,313651858,579251840,402661618,0,0,419689302,40894464
3870556,358,1031088,18744,315079922,583426471,402460433,0,0,419642925,41025536
3960546,373,1047259,19811,318384069,583143257,400499074,0,0,419685081,41025536
3932890,283,1045172,20275,313840794,584667554,403841899,0,0,419642106,41091072
3920090,275,1042268,20579,310263294,585172177,406060507,0,0,419497440,41615360
3934062,343,1046705,21891,308677240,585291078,406780853,0,0,419826018,41025536
3928562,429,1054291,22534,306021710,585068260,408093203,0,0,419649882,41025536
3952972,542,1053027,23328,304599619,584460809,407833223,0,0,419577675,39845888
4012094,280,1078613,24330,308480753,583120333,404543357,0,0,419741661,40960000
3945454,272,1058649,25262,301339288,584022422,409491540,0,0,419658501,41025536
3966121,442,1065897,25252,299574449,585511883,411350828,0,0,419602040,41549824
3945718,555,1073895,25873,294012966,579470210,408324553,0,0,419636290,41091072
3966778,631,1072687,26982,296572883,584817701,412532062,0,0,419687898,41156608
4060063,609,1095659,28476,302573398,585307596,408516030,0,0,419621584,41615360
3996209,596,1071418,28882,295772206,585971849,413709543,0,0,419692040,41025536
4000117,437,1077858,29243,293602488,585936321,414554135,0,0,419707797,41222144
4002188,573,1078521,29886,293416241,585637484,414399897,0,0,419652162,40960000
3990544,553,1079944,31184,292709879,586252922,415542155,0,0,419687793,41025536
4063655,577,1096558,32528,295091299,585172719,413093158,0,0,419594283,40894464
4027194,337,1093344,32999,292979800,585707193,415237536,0,0,419760066,41091072
4020246,438,1087609,33613,289191587,586651950,416964488,0,0,419682672,41025536
4023633,601,1090613,33711,287867035,585069623,416682782,0,0,419673789,40894464
4015320,626,1089851,34890,286917213,586574407,418236387,0,0,419653842,41091072
4023619,358,1092768,35552,285855618,585591676,417845597,0,0,419655054,41025536
4118243,520,1112989,37263,291959130,585751277,414028110,0,0,419728098,41091072
3980567,403,1079012,36657,281784683,585817202,418431174,0,0,419689884,41091072
4018818,541,1102500,38268,282738543,586652432,420255638,0,0,419675445,41091072
4046212,407,1094460,39111,283896715,586589734,419700216,0,0,419683518,40960000
4044717,291,1091956,39390,281562680,585176760,418996228,0,0,419702070,41091072
4127598,528,1116371,41004,287764602,585192270,415080825,0,0,419672445,41091072
4060469,614,1098141,41009,281878882,586734639,420320726,0,0,419667756,41025536
4058010,564,1095237,42193,281287035,586754261,420799487,0,0,419649477,41025536
4062573,225,1098815,42634,280815766,586646696,420671150,0,0,419690580,41025536
4041214,348,1095967,43195,279350113,585894943,421046594,0,0,419646801,41091072
4087861,759,1108890,44437,281527208,585677411,419446051,0,0,419608200,40960000
4149711,265,1115106,45409,282245565,586549265,419967331,0,0,419769066,41025536
4074492,511,1100101,45594,277954714,586998319,422098342,0,0,419684316,41025536
4086478,298,1102142,45980,277246629,586943921,422830207,0,0,419676240,41091072
4069394,328,1100237,46623,275839292,585870655,422237199,0,0,419655510,40960000
4081281,764,1102580,47526,276460219,586870211,422940869,0,0,419700402,41025536
4181161,296,1123025,49535,282273243,586684898,419081327,0,0,419665245,41091072
4089694,423,1104405,49090,275669732,586998102,423504431,0,0,419681079,41091072
4343325,283,1167395,52937,292472963,587112560,413418044,0,0,419611410,41091072
4163305,549,1126162,52030,279755713,586674409,419861061,0,0,419771157,41025536
4050696,429,1111257,51055,268740742,578534357,418889432,0,0,419644278,41091072
4155969,636,1125673,52441,278448864,586834744,421051655,0,0,419648367,41091072
4086184,323,1109102,52469,272003335,585050010,423175767,0,0,419701308,41156608
4069648,467,1107698,53120,272262372,586882074,425123039,0,0,419668059,41091072
4065018,536,1109951,53266,270543227,584615392,424088219,0,0,419662842,41156608
4053897,569,1104154,54033,270927341,585212959,423906177,0,0,419651229,41025536
