l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
3436664,7829489,145015,13,575929247,514879374,185655270,0,0,516366414,41811968
2165199,376762,2307,31,702229455,573179681,195934870,0,0,419883081,41811968
2983867,333527,71014,108,871990738,536626506,122734439,0,0,419890590,41811968
3946564,943777,392403,13071,829617073,570703353,165623765,0,0,419882997,41811968
10585683,20523510,69404,6762,760522843,577095703,205322936,0,0,419923401,41811968
23137323,53475663,46342,19514,768493571,595640198,230448674,0,0,420007446,30015488
9846297,18282086,1334200,914310,5765606454,3526160850,1018067436,9425,4,420998184,1900544
67723292,10195568,954323,288829,7502655413,3512362361,662201143,1880068,0,420526008,6488064
68945241,12602599,511781,252211,7149116389,3070950935,502225246,1980998,0,420668157,2555904
7932115,9223828,2228364,1127203,7334874019,4763589134,1442817373,15347,0,420562771,5308416
54445792,9673923,1098424,503405,7633846288,3967265808,994735243,1257674,0,420803231,4849664
77620840,14404797,113657,67393,6272829205,2290897382,145922785,2391713,0,420718280,3866624
9377606,7484896,2254120,1181308,8603449485,5443731184,1587078089,14698,0,420385898,3866624
44282469,13073108,1328470,725722,7589488206,4006582474,983871636,1121408,0,420767333,5898240
76931548,10885666,8291,32,5822854521,2008403056,88304595,2163876,0,420226066,5242880
14668182,8937400,2152772,1061186,8919552138,5448430473,1568482654,195831,0,420615572,1114112
33052733,9355262,1727733,892852,7666494117,4320655852,1166861937,1084466,2,420414186,4587520
102340756,20082035,744761,426620,10788147866,4724354201,733821638,4454070,0,420889025,917504
10165749,15629938,1800695,1128572,7955589632,4944108474,1404636617,21846,0,420742194,2883584
95022064,21672445,916042,302234,9650199100,4018693033,568014666,4222448,0,420718297,4456448
35054683,11536313,1737439,988533,9775140223,5510167364,1411187984,1087305,0,420877892,2424832
40243420,15312213,1621123,909466,8485680202,4728595435,1210918231,1496557,0,420686723,3080192
95165388,18369161,765151,438953,10822311417,4753960833,748632911,3923980,0,420628899,327680
9114877,14120718,2088206,1298124,7927977959,4977102008,1441284604,15306,0,420882632,2686976
102111340,18955502,803490,236590,9395021424,3896261679,522149255,4610591,0,420889665,3342336
37515225,12887114,1866913,1042672,9733637537,5607280321,1540857964,722153,0,420714477,2097152
42264996,14618753,1498284,753256,8317906208,4604520776,1206089763,1184523,0,420612923,3014656
92853658,17080859,800432,431832,10812650734,4690153037,704887894,4279559,0,420661298,524288
9475796,13609232,1969220,1303206,7839003150,4949386539,1437188954,13211,0,420599777,3538944
100491604,16223166,880575,256124,9340635731,3953378062,564865887,4576258,0,420531997,4849664
