l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
82895543,65732744,31011185,11292485279,7608824607,2256796623,234422,0,561250468,41680896
62258177,53202737,20788708,13340742140,8273596121,2020517473,119190,0,421920132,41746432
44793460,46708160,18820644,13272951391,8307702924,1908648828,49891,0,422162718,41746432
51073396,46673270,20832771,13191174421,8284875132,2000261091,75304,0,422119098,41680896
61505950,53408492,24152284,12895328787,8257096574,2095670924,107198,0,422073319,41746432
55820887,46303744,22382806,13110767830,8294104459,2092347530,94911,0,422084385,41811968
57975650,50319106,21235549,13076482353,8301401053,2065079460,87173,0,422254990,41877504
53765439,50147841,19757873,13059238188,8297924356,2034508833,68238,0,422896227,41877504
59071225,56578148,22308534,12901571688,8308303685,2144741040,82969,0,423107465,41877504
59430235,53090112,22928789,12915993135,8286679115,2160217000,124051,0,422977505,41877504
59132835,50349457,21800801,12791314082,8288697025,2152977963,94914,0,422765963,41877504
60470198,58277921,23104845,13067050193,8305550529,2121185799,93491,0,422660688,41877504
64509651,60218563,23692844,12754072050,8301898204,2191374404,105344,0,422891638,41877504
65453958,59525166,25022948,12654552362,8270865035,2257582056,175296,0,422859038,41811968
61083040,54315049,23546451,12667871364,8240982336,2225001025,110795,0,422603535,41811968
45652643,42912591,17971687,13031750745,8319451241,2043197472,64656,0,422934721,41811968
47371862,45659329,18404341,13172950596,8279460365,1987664588,54904,0,422923456,41811968
57063511,56674081,21958660,12995035726,8298382951,2094273447,78714,0,422902316,41811968
69184404,61369631,26036225,12017777648,8035814641,2253465442,173365,0,422927276,41811968
68591409,61470187,25102826,12621827101,8262150781,2245546986,132766,0,422642221,41811968
33937078,30778619,13173445,13557875300,8318595376,1832247071,28603,0,422557981,41746432
49506343,44894952,19740728,13131858385,8314236999,2059829771,65794,0,422732942,41811968
51357565,48243811,19622138,13234568313,8318317927,2035992338,74572,0,422995070,41877504
58267900,48315614,21148868,12932873593,8280685785,2109823824,124768,0,422815052,41811968
58545494,55892835,23243047,12725417709,8313072071,2136416674,108860,0,422973308,41746432
60399036,56807793,22262235,12980447901,8307705896,2135183802,102280,0,422715066,41746432
53481715,53025475,20872824,13111240362,8312281060,2049870159,73116,0,422609478,41680896
60062972,55140094,22867416,12946883715,8301638437,2126381215,110859,0,422490132,41746432
55713425,51080881,21921090,12997894249,8311934850,2150022673,90515,0,422918610,41746432
58369915,49528296,21687235,13056158550,8287107684,2107230317,109703,0,422450869,41746432
50802284,45285659,19038926,13157693312,8317686460,2057438123,66625,0,422844289,41680896
54158353,48952931,20573841,12918739178,8310934584,2085507140,69891,0,422471394,41746432
68330036,61393797,25343127,12586467428,8301604204,2259465971,129291,0,422492769,41811968
65368855,56252298,23737352,12791863268,8240620817,2182337516,108866,0,422956855,41746432
47089177,45564121,19019044,13093751927,8307944212,2038607177,56607,0,422638608,41811968
43363670,39107376,15631295,13257087080,8313802632,1933908072,37416,0,422778700,41746432
67146325,59793167,25456544,12737781228,8302571643,2238466993,111549,0,422920758,41746432
58156415,53609712,21465616,12942035103,8273474723,2049467745,60575,0,422447902,41877504
60131966,53654943,23033310,12832509563,8302059701,2142578978,110468,2,422858360,41811968
59520156,53144993,23115689,12797902369,8307537113,2162211990,95601,0,422864910,41877504
60258888,55979249,23884894,12772996790,8306434210,2232396137,112289,0,422713702,41746432
57432582,51079983,21090955,12943047092,8308886198,2100546323,75122,0,422708321,41811968
67345327,63959521,25096754,12801692123,8254457183,2172536893,99006,0,422517107,41877504
61167819,54305034,23330389,12834636561,8301563514,2158706905,111516,0,422762218,41811968
55055331,54786014,21943561,12900689222,8215505397,2095980845,89896,0,422998908,41811968
62051213,54894669,22680462,12965419902,8285043599,2114007828,102701,0,422957384,41811968
66593517,59247095,24482774,12645287095,8277312366,2203577377,117930,0,423001538,41811968
64939639,62771142,25496867,12638490166,8295598479,2244847739,133166,0,422649357,41877504
59902528,52017065,22346878,12878892903,8289217686,2122890798,92042,0,422643911,41877504
61118227,52830492,23349430,12961824699,8298875965,2182748298,113723,0,422603876,41811968
56248458,51563684,20925419,13083584884,8309757442,2063279940,80814,0,422765886,41877504
67118567,59189433,23251695,12766634757,8287174988,2186111330,122109,0,422657210,41746432
59560256,58646857,23916420,12719407509,8308822440,2163517349,102788,0,422865410,41811968
58451383,53516214,23147225,12911168637,8301604698,2141776326,89338,0,422862791,41877504
