l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
630099,2895,211508,1110047518,467191513,15241654,0,0,505076543,38600704
722333,96983,198910,1117228369,471139851,15610804,0,0,419526357,41549824
549147,2395,196545,1116125903,470148743,15763830,0,0,419579796,41549824
557808,2222,203598,1112698509,470170818,16734203,0,0,419609076,41615360
614192,2642,211081,1112558876,469928932,16863431,0,0,419575944,41680896
764315,385432,303017,1092544589,464266490,16885975,0,0,419472312,41746432
548871,3259,209816,1114284431,469883789,16237453,0,0,419609584,41746432
603160,4733,223744,1111905828,469061913,16591969,0,0,419453808,41222144
608969,2352,218739,1107924940,470176294,18292323,0,0,419535611,41615360
571819,4337,221762,1105544016,470507932,19161276,0,0,419569650,41680896
25212974,5987650,22443363,2716053626,3478378436,1947872565,46459,205656,420010515,52035584
76531722,241187,5529316,11160246588,5466369453,1586888486,341312,18589,420145524,52297728
76032841,1011283,18814543,11868599616,8115861898,3329365509,284742,30632,419929038,52363264
58635398,2959604,23421520,11406463318,8139618141,3323833105,288002,10867,420064308,52297728
52373605,3690723,17653941,11799065620,7392730507,2614069188,309285,15399,419995812,52232192
10873561,82643,1472400,5194228418,2906192043,665428872,19682,14642,419799502,51970048
6584399,1993184,1985904,2707651942,1691627477,472885743,259035,51798,420067812,51511296
61226303,4924881,22660065,12143091239,8097361522,3118742242,62238,11512,419967374,52035584
56464467,3205048,19203290,13178551192,8108653518,2637080701,84254,10487,420100197,51838976
51918234,2815633,17085456,13890572622,8138277788,2404040851,265033,16880,420018447,52297728
52513646,3197237,19280178,13520104624,8097117337,2509765966,304051,4655,420076641,52363264
53706046,1966757,14893603,14839246907,8101471661,2053747281,75811,11193,420061521,52363264
45859958,2569469,17249642,13685293300,8115747677,2353154006,219034,35024,420026523,52232192
42999426,1500723,13818196,14426590366,8143474255,2071481669,246344,68602,420074241,51970048
47217142,2272422,15328957,14251844022,8138851696,2196735109,213069,59322,419952231,50921472
43825281,1359776,13899088,14385115774,8116909091,2197279224,367714,77229,420108912,50659328
42269559,2082247,13232995,14235110755,8144579482,2202924168,741562,153441,420100873,52363264
44609578,2497747,14388780,14520463333,8132739164,2180977349,241880,6628,420135484,51445760
43215113,1555216,13061026,14902750094,8159029426,2002424863,330351,25332,420028332,51445760
41697213,1888598,11695563,14775527316,8156170364,1944010789,543665,29291,419967024,51183616
42557910,1416101,11982343,14940643507,8166661994,1954039673,334775,49751,420099891,50266112
34844663,959743,7998248,14924506769,8169473587,1886361674,902335,88534,419967997,46858240
34880117,852412,9145886,14826242139,8172361848,1981649137,1164552,63192,420025851,50135040
37727891,1833710,12172984,14211905855,8152549127,2196213156,653251,47471,420126032,51642368
37285988,860597,9164909,14793749188,8161231681,1933590609,586605,62373,419918662,51707904
31329259,1440329,9644792,14501150871,8166835686,2066549438,1078762,106522,420145283,51707904
36252470,2012511,12056218,14665210539,8170445228,2067770258,733871,113715,419942521,51511296
39997643,2295637,13467365,14168081368,8160855352,2249016059,798352,118157,420043824,51380224
37615141,1571269,10675076,15104464004,8175127443,1884917305,1018408,147352,420177849,51314688
34699700,1289141,9689605,14987569644,8173582233,1878762646,1277120,215645,420031590,51380224
31426805,1585810,10352973,14490011419,8169344337,2010010391,1556727,259904,419927778,51249152
34512384,906246,9600015,14726571732,8173572751,1977681099,993184,282922,420004773,51314688
30146906,889239,8048466,14523025046,8174308315,2013563587,1281600,258135,420013820,51380224
30796389,801563,8419121,14667493980,8171848900,1976140173,1153953,220245,419933326,51183616
30576517,1417100,8957863,14505655129,8166554441,2092227202,1700659,408257,420045609,51314688
29869844,1086929,9739316,14352292920,8173775301,2096938046,1971230,315330,420051828,51445760
