l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
41314048,9497213,36295975,2938177711,5263710011,3779473238,203645,203,463853501,41811968
66629282,2329030,55740937,3990713499,7144672336,4970679128,3857103,65,420626330,41877504
90418386,359624,67999868,4790494973,8090459831,5474720871,13180648,0,420218176,41877504
90290403,343663,68210188,4792809112,8110666674,5485271148,12688950,0,420289092,41943040
90559666,329846,68149894,4799105116,8095119240,5473991537,13106329,0,420371674,41877504
89942039,384080,68105062,4791654111,8092466008,5474386956,12735800,0,420343202,41943040
90946496,401883,68411697,4802727449,8108399225,5487341324,13310461,3,420364121,41943040
90248576,315784,68102483,4798257358,8094609121,5473444683,12843121,0,420398657,41877504
90617333,357474,68266531,4795636787,8101536283,5481196155,12942720,0,420432027,41943040
90547332,297559,68173062,4787704619,8102438730,5483441210,13020459,0,420485161,41943040
89837614,316993,67773284,4782590299,8064929546,5455637650,12941837,0,420437474,41877504
90456183,320020,67998929,4786644368,8088477896,5468403492,12823489,0,420275831,41943040
92070156,469621,68085965,4806778461,8104087234,5490575344,14315001,0,420392517,41943040
92965746,605896,68206614,4808700841,8096601490,5487010944,14950767,0,420365499,41943040
92772108,601591,68036592,4808585400,8097911911,5491695323,14875286,0,420426205,41877504
92887394,601051,68386178,4812535317,8104097381,5496287450,14904373,0,420435839,41943040
92865736,599314,68257697,4802653204,8098256183,5488807453,14834041,0,420546557,41877504
93949236,696815,68165636,4808415448,8091156480,5486703132,16218071,0,420395052,41943040
101340224,812996,68147427,4819411444,8090422801,5493300878,24313734,0,420353173,41943040
100730838,850598,68206076,4824322447,8083629951,5489122940,24064073,0,420395539,41943040
100950206,881380,67909795,4820971859,8083588899,5489753174,24431054,0,420313001,41877504
100700543,815407,67944257,4810802157,8068314175,5479898152,24434916,0,420512463,41943040
101099769,776603,68162677,4811905700,8076367667,5486678866,24508186,0,420311624,41943040
100133149,900455,67989874,4825215110,8083738532,5489058703,23473827,0,420413537,41811968
99807878,748460,67892952,4819251488,8075809560,5486898528,23582172,0,420399161,41943040
100079733,774457,68230529,4824472099,8086771077,5494705021,23687304,0,420406754,41943040
99766969,743923,67762938,4794885479,8043743012,5466322024,23568422,0,420377100,41877504
99873276,1084555,67831842,4842538151,8088726706,5490357144,23460288,0,420449880,41877504
87337089,851947,68163724,4837673558,8087071892,5497555513,11584437,0,420267879,41943040
84296643,816431,68280689,4847825393,8093559745,5504463162,8742578,0,420429701,41943040
84312187,161486,68085222,4831057852,8078180561,5498793332,9132392,0,420388492,41877504
84466338,167109,68480079,4837665073,8095648028,5511401393,9033266,0,420323367,41943040
84093337,169996,68210319,4824771919,8072740104,5496807540,9091690,3,420429527,41943040
84069181,164873,68157537,4816723578,8064553742,5488524140,9034546,0,420500930,41943040
84235529,151606,68280338,4842630650,8094310360,5509792131,9129817,0,420245664,41943040
84225164,167851,68311723,4828489665,8078074331,5497660745,9034012,0,420455988,41943040
84580614,169995,68385924,4840473425,8097956110,5510448364,9137513,0,420309404,41943040
84483161,173464,68439651,4837313612,8102328053,5513092021,8936792,0,420386761,41877504
85041033,2774347,67961454,4857026950,8078961179,5489226080,9709284,0,420436716,41877504
86178470,189947,68453499,4830374170,8091860688,5510413207,10763804,0,420450702,41943040
85884607,177124,68347030,4829396704,8081524496,5502874863,10771149,0,420273285,41877504
85858316,192557,68486057,4832395217,8091047173,5509970336,10775127,0,420307690,41943040
85760542,179554,68126299,4844351077,8100841542,5512616467,10822621,0,420515214,41943040
85990938,190292,68210996,4827223949,8085223302,5506580101,10802325,3,420431162,41943040
85784142,181483,68072260,4831199296,8076238436,5497263312,10769134,0,420395774,41877504
86068586,170844,68449969,4823441528,8093452406,5516045095,10777777,0,420449372,41943040
85781254,186360,68053503,4837419811,8078678977,5497698570,10788385,0,420200030,41877504
85690061,192436,68042447,4828793183,8070113155,5492259729,10758518,0,420472841,41943040
41197061,2224140,32732146,2781811162,3953285537,2601716098,4851496,50,419949437,41943040
18988065,4234428,17400724,2218824060,2832079723,1790826234,112247,5,420457512,41877504
50828456,2729210,45387624,3380193894,6478210017,4675221130,314745,0,420351942,41943040
59757718,161509,49503219,3762358563,8005766267,5944632197,6548728,6,420406942,41943040
63460968,344986,49193929,3794039190,8048730193,5960449293,9880345,0,420300172,41877504
63173391,246928,48994226,3781027610,8042153113,5961326538,9194664,2,420282544,41877504
65270559,360462,49215613,3794036553,8057286352,5972903917,11144853,0,420312178,41877504
64324963,337647,49140719,3783592674,8041982604,5957202395,10640510,0,420358577,41943040
64210468,384169,49053995,3789758447,7986345098,5898489095,10560354,0,420312621,41943040
65042124,413429,49140501,3796609205,8046792710,5962286820,11089234,0,420355522,41877504
64359126,345220,49068167,3795859852,8038162675,5949054856,10637537,2,420457562,41877504
65270403,449030,49243457,3790158676,8043997661,5951385053,10944083,0,420052738,41943040
64365637,421670,49164465,3783665355,7977787011,5897186352,10685296,2,420058330,41877504
64527879,316420,48930949,3788155329,8025348303,5943011799,10694860,0,420357724,41877504
65661629,396320,49307433,3812865731,8073565497,5976556503,11110656,0,420304855,41877504
63839735,362185,48903911,3768114365,7934980848,5858599217,10237243,0,420377013,41943040
65296679,411620,49228125,3803230532,8052016405,5967022883,11004286,0,420324500,41877504
67824083,1018676,49764494,3822256856,8073195476,5989527535,12670706,0,420742164,41877504
66925445,877004,49546591,3812134313,8045849767,5958092404,12044600,0,420216505,41943040
67836453,1014691,49677873,3821619369,8064007638,5978171975,12388112,0,420209605,41877504
68238497,1170136,49839476,3818390295,8056479514,5971521104,12987165,0,420312071,41877504
68320468,1358518,49758549,3829515489,8049944864,5960543924,12936028,0,420332367,41877504
68386716,1321244,49733814,3838630160,8051666960,5962302409,12952287,0,420359135,41877504
69232894,847164,49714020,3809281817,8067294577,5988967637,15120533,0,420442697,41877504
73142275,1277475,49142512,3827134748,8000236411,5929747491,20166160,0,420268899,41877504
73842026,1415511,49541816,3821683223,8040611073,5971026606,20497898,0,420283153,41943040
73156843,1375730,49249493,3817016945,8010342233,5941016234,20451626,0,420128044,41877504
73406502,1220245,49294066,3805874435,8028756337,5972275132,20327123,0,420555960,41877504
73629340,1257030,49543663,3814902432,8030949217,5967295401,20431899,0,420277698,41877504
73696527,1354465,49640914,3815323948,8037184534,5971775507,20499986,0,420177462,41811968
