l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
693953,8125,4,0,16891933416,8289655029,1278334238,145086,0,463556991,0
650192,90,4,0,16851009818,8294205894,1297805511,140647,0,420715697,0
683065,102,2,0,16858946934,8290368910,1278740540,163852,0,420837944,0
682826,5816,11,0,16768233042,8238906997,1284855181,141456,6,420660144,0
649514,652,0,0,16902533169,8290780110,1280118227,149821,0,420800538,0
639714,206,4,0,16837830045,8287332291,1292294620,154522,0,420751796,0
706132,7958,0,0,16775973968,8249178816,1279119500,142360,2,420355519,0
627860,176,0,0,16875078709,8289358523,1294589295,160621,0,420932102,0
610440,72,0,0,16855495924,8298311874,1284166346,139399,0,421012362,0
705171,8206,12,0,16384176762,8257175512,1361369662,181675,9,420430847,0
663477,282,0,0,16206368220,8292986702,1406966781,206570,0,420803262,0
645916,177,2,0,16268119019,8292477683,1404360075,161873,0,420711607,0
653734,154,2,0,16217659621,8289266874,1409225440,165306,0,420976585,0
630194,230,0,0,16267289511,8303226346,1401460414,162304,0,421022705,0
665623,231,0,0,16199530536,8275910772,1408553046,182632,0,420857092,0
676262,262,0,0,16228739259,8295811603,1403622791,172270,0,420711064,0
660949,243,0,0,16272467104,8293840098,1406864225,176737,2,420893042,0
649530,227,0,0,16208046644,8292307919,1406673381,165271,0,421044544,0
671558,226,0,0,16280077185,8302441179,1403164031,185361,0,420809837,0
624295,515,2,0,16236813221,8288522583,1407036624,173919,0,420828526,0
679372,277,2,0,16266325069,8294396803,1395353128,168294,0,420779531,0
642789,127,0,0,16261032748,8285123994,1400699442,169551,0,420630161,0
623556,139,0,0,16235429331,8292757415,1398496768,162683,0,420791880,0
613365,253,0,0,16297073465,8295059632,1401552308,170151,2,420701544,0
628154,363,0,0,16230122666,8290863482,1402422303,170651,0,420856182,0
612490,279,0,0,16292027102,8300636654,1396030818,162672,0,420792384,0
570251,138,0,0,16239547634,8285909081,1404543032,139839,0,420680539,0
599872,206,0,0,16262918976,8297675728,1397348567,156814,0,420816000,0
627272,239,0,0,16263657413,8280125027,1398295901,158733,0,420682086,0
630806,1067,0,0,16238432065,8298399935,1401781828,163619,0,421031556,0
612398,171,0,0,16286995695,8292472820,1398041611,158859,0,420682629,65536
600908,210,0,0,16243388068,8291883319,1404749843,159111,0,421009766,0
628333,300,0,0,16272194652,8295857664,1394814468,168796,0,420550608,0
573009,271,0,0,16238766812,8281908439,1402593472,138359,0,420513616,0
587971,187,0,0,16251957148,8296681239,1397923444,165065,0,420758415,0
602712,219,0,0,16287831070,8293207575,1401397417,159765,0,420973487,0
603304,180,0,0,16241900851,8301366871,1402739758,155294,0,421212951,0
624514,203,0,0,16289647000,8297219599,1396933338,159271,0,420606251,0
615812,178,0,0,16220473211,8267411902,1401513988,163743,0,420634333,0
616630,436,39,0,16279885565,8300281401,1394960862,156736,0,420875620,0
624123,339,18,0,16221746355,8287276310,1401276014,153110,0,420856007,0
590680,361,0,0,16204538357,8299133151,1401281865,133539,0,420917774,0
583300,205,0,0,16251111800,8295301961,1401413953,132490,0,420747478,0
566552,202,0,0,16201428775,8296055316,1404012933,127644,0,421055056,0
561805,289,0,0,16227915046,8293316819,1396041506,129657,2,420741728,0
576133,244,0,0,16204602257,8289523151,1406547361,130910,0,420988659,0
588236,496,0,0,16246145593,8297624514,1396228700,126906,0,420720613,0
569630,587,0,0,16304131068,8294754646,1397606097,123936,0,420910631,0
549833,425,0,0,16251613901,8294765152,1397444783,123467,0,420756456,0
547712,1009,0,0,16291656891,8292498423,1396315552,122270,0,420773532,0
536871,638,0,0,16245857718,8289021394,1403968088,106216,0,420896514,0
520935,627,0,0,16291886623,8305835478,1396389180,106812,0,420998869,0
540576,428,0,0,16250350062,8285800584,1402784425,110235,0,420643366,0
533080,327,0,0,16263118163,8302695442,1398904121,117884,0,420930752,0
513397,372,0,0,16283849114,8286027422,1399526941,122250,0,420646616,0
515141,348,0,0,16228773535,8293559928,1401352077,118922,0,421063799,0
519920,342,0,0,16305547257,8303166224,1396504074,111560,0,420961531,0
548452,349,0,0,16241365462,8285041651,1404090700,119716,0,420633557,0
522748,453,0,0,16255990209,8293140681,1397067068,108852,0,420921089,0
576691,1040,23,0,16275589942,8290505981,1399874296,124032,0,420988075,0
578815,313,0,0,16252556847,8298568812,1398633353,129571,0,420969951,0
569047,446,0,0,16308448967,8297064663,1397208275,136592,0,420688688,0
560551,223,0,0,16244442229,8290412425,1399370499,126765,0,420701387,0
561352,283,0,0,16303157693,8302069152,1391914885,120810,0,420767566,0
550232,393,0,0,16256084291,8290338791,1401941299,125687,0,420809218,0
587118,416,0,0,16230307896,8290294757,1394439395,135761,0,420505868,0
570756,176,0,0,16231361031,8289512182,1401051523,122547,0,420634150,0
567476,296,0,0,16202493173,8300747770,1402013202,137600,0,420931543,0
543453,420,0,0,16301527506,8295603075,1394171401,113242,0,420609206,0
609801,1123,15,0,16244159270,8290337022,1405488936,150639,0,420743995,0
639473,908,0,0,16260262007,8300090856,1399754874,155606,0,420780768,0
604118,1054,0,0,16237073383,8288795685,1407199833,147562,7,420930456,0
597803,992,0,0,16247188157,8302630550,1402993957,158154,0,420901430,0
633125,802,0,0,16243922773,8279151348,1404270599,156920,0,420668875,0
623443,1021,0,0,16218821159,8296030723,1406005464,151399,0,420744429,0
620246,1111,0,0,16281847618,8302249459,1400961318,151630,0,420790251,0
614057,683,0,0,16210205270,8277579131,1407112514,163868,0,420597612,0
625046,1244,0,0,16268166964,8306928777,1402018549,160399,0,420996577,0
578104,962,0,0,16248434090,8287057415,1404087108,150101,0,420877994,0
611560,1789,19,0,16243540815,8300784712,1401385755,155117,0,420633502,0
607241,318,0,0,16309033615,8298545674,1398835964,152147,0,420798774,0
610952,541,2,0,16233178217,8288497477,1401812040,146087,0,420813896,0
588707,388,0,0,16295008433,8298648397,1393676862,159076,0,420728322,0
612465,233,0,0,16242784782,8284867714,1403721878,161416,0,420511895,0
583296,304,0,0,16277534413,8302006648,1396849506,152803,0,420837305,0
590704,179,0,0,16289350988,8290787401,1399102360,138406,0,420616638,0
592777,159,0,0,16240554760,8295960959,1400006776,155446,0,420818834,0
577860,194,0,0,16286274068,8290230550,1397103342,157268,12,420555406,0
733955,14020,0,0,16085997907,8242852156,1415194504,829408,0,421017576,0
21070652,879784,5,0,11018064326,6458664881,1512039043,18504980,2,421104940,0
25229725,1396365,0,0,5370823668,4117479900,1354361705,21642923,0,421082230,0
25542563,1338474,0,0,5433258965,4118096377,1349082726,21631512,0,421113124,0
24326965,1329264,0,0,5300077506,4044979395,1327209871,20930819,2,420886163,0
25315994,1370904,0,0,5444451537,4138041421,1354017157,21588835,0,420954841,0
25511342,1387821,0,0,5346517200,4076017412,1346353122,21706041,0,421000486,0
25397205,1420179,0,0,5402314550,4126489209,1355250308,21640881,2,421125494,0
25465670,1320864,0,0,5412089238,4100600351,1349236387,21675908,0,421254690,0
25039850,1323819,0,0,5329529358,4091619976,1344624737,21427438,0,420785312,0
24618327,1339358,0,0,5436190043,4104732519,1335826059,21019228,2,421162742,0
25465958,1369101,0,0,5317768921,4068938259,1345404412,21748500,0,420826008,0
21652393,1059893,0,0,4074485072,3501713164,1255323008,18015269,0,421193524,0
16928609,747412,0,0,2739043498,2635400648,1020938975,13211927,0,420839418,0
11017034,497788,0,0,1890313714,1905864680,743187126,7832656,0,420934438,0
7430911,296056,0,0,1279103550,1301474537,516403902,4864862,2,420998630,0
8281157,357574,0,0,1292437381,1388237986,577641234,5527584,0,421115776,0
8170373,337210,0,0,1349510907,1384081935,553050749,5257310,0,421156346,0
8256013,360958,0,0,1258244527,1355122774,564963751,5456176,0,421138578,0
8054752,323414,0,0,1366801429,1419159830,562893741,5358709,0,421072692,0
8067015,329245,0,0,1267172755,1322406851,545303116,5292932,2,420934740,0
7507394,319099,0,0,1297719559,1384874542,560924057,5093432,0,421112798,0
8202332,338784,0,0,1316933690,1360659009,546995010,5386863,0,420983334,0
7290372,327684,0,0,1064464625,1173630911,499973109,4667728,0,420829858,0
5249427,256514,0,0,725241443,823352544,358368412,2845836,0,420859934,0
5379579,255522,0,0,652846468,782502351,355102740,2902219,0,421217486,0
4664263,233177,0,0,693666395,804280050,341572312,2677817,0,420920366,0
5396110,257999,0,0,672772684,777920758,347960995,2899049,0,420877034,0
5291594,261458,0,0,704083733,826289405,368911572,2995113,0,421155838,0
5277495,263131,0,0,718414724,811191326,354728697,2879288,2,420921095,0
5418132,282339,0,0,656210356,792409139,359972518,2975950,0,421160158,0
5220390,251273,0,0,716049747,834388395,361179047,2927885,0,421089540,0
4819006,228437,0,0,655169368,754255494,331393190,2666465,0,420806793,0
1120541,55126,236,21,156995754,186601784,79471107,613000,0,420104133,786432
