l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
55615278,6248378,11357766,9327477028,5196115131,1213145606,97466,0,534516081,41091072
79545686,11734318,17699644,13010572575,7282595398,1730765926,394087,0,420100365,41811968
78960136,23338157,19979954,13647560436,7639490929,1814495676,312886,0,420224304,41811968
78748236,17388612,20744935,14067591015,7859641423,1870343813,214154,0,420155043,41811968
88236282,16260269,21599306,14137972898,7952498008,1919777502,355753,0,420097548,41680896
56226742,18285870,15804019,11827878771,6382386036,1311564534,148497,0,419934177,41680896
43513590,28345184,19364622,10770328913,5831720010,1152911282,29763,0,420060222,41680896
54762763,28296077,22843073,12732688680,6908008824,1382870293,50850,0,420121710,41811968
55594805,29338085,22136155,12832432686,6960690959,1394923778,53437,0,420142599,41680896
42694935,30397075,21334592,11127387255,5961033238,1126381386,32648,0,419915826,41877504
30970899,19748584,12428301,8457925954,4399229301,718695135,32486,0,420223107,41746432
40391353,28997999,22692135,10820594205,5792717323,1092267632,29603,0,420115014,41877504
44705836,29534308,22301784,11231006789,6043765490,1163493611,32843,0,419954922,41746432
57309369,23354874,19036415,11600229050,6302169337,1264861315,62184,0,420085149,41811968
58774811,24830667,21814073,12938335171,6943500233,1370931085,67014,0,420071742,41811968
40934072,30589479,22191110,10783761897,5865605259,1163034629,27169,0,420063111,41811968
46820102,26503763,13599785,11404568067,6157790659,1250005664,110277,0,420555602,41877504
75091365,11934712,16027860,14063342484,7786972256,1818097865,313589,2,420363625,41811968
79942029,12588295,17080669,14427572244,7901404405,1768326056,319089,0,420002910,41746432
86285996,13973037,17349205,14445137891,7908004435,1767713094,223824,0,420233886,41615360
88396229,20019487,18097342,14404197161,7917949312,1789943268,217250,0,420154050,41877504
84010272,15606126,16238438,14626283105,8027158197,1783166511,131597,0,420638185,41877504
72568987,16097880,15109180,13453650542,7480909753,1681002038,134474,0,420387463,41484288
77065104,19093454,16239777,13938084743,7833519478,1842875035,202841,0,420500707,41811968
78433636,15446004,17180323,14120427341,7945800748,1876500703,193747,0,420379529,41549824
81065735,17563372,16793406,14173651983,7944433740,1864580865,226189,0,420317346,41353216
80820098,19822282,16908895,14024086377,7873556531,1838778765,296038,0,420602748,41877504
85526778,22918257,18224309,13479406775,7864076612,1941681612,447447,0,420503428,41156608
90614865,11620884,18902301,12568430396,7487333066,1958761687,352499,0,420201685,41746432
82163977,15310827,17727268,11915011397,7049938678,1834956696,402942,0,420376086,41877504
79399716,8222841,17067593,12789804151,7416973304,1871728361,320869,0,420349814,41680896
65589347,15084111,15240068,13947412080,7778177151,1780679170,154439,0,420353391,41877504
65754905,21562321,15645029,14017593752,7851607089,1831720989,138512,0,420392885,41877504
59426697,2113879,8676769,11877784102,6487280541,1380299373,143097,0,420239551,41615360
9623433,720443,685697,1737688880,916633032,165282639,10565,0,419872086,39190528
