l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
207906,7253,47617,1626296729,530908034,33666609,0,0,512351649,27918336
209295,5479,32187,1629136277,530643940,32950372,0,0,419560947,36241408
205551,6849,38768,1628252587,523397788,32725270,0,0,419563278,40501248
207535,5619,33009,1616314920,522479724,33061658,0,0,419671099,40501248
206145,5672,37225,1628054405,525160871,32868651,0,0,419963411,41091072
209182,4823,33723,1622382880,528102935,32990601,0,0,419816546,41287680
209103,6156,38997,1614245484,524867399,32832104,0,0,419858408,41680896
207739,4788,34451,1606241965,528859967,32959405,0,0,419565293,41746432
209168,5870,36295,1617250805,523772264,32769744,0,0,420093961,41746432
208474,5903,34326,1629025499,529453100,32910271,0,0,419429100,40763392
203412,5688,31925,1564308699,509654953,31743105,0,0,419504537,41549824
195013,4925,34303,1516265066,492491516,30665184,0,0,419533914,40435712
189095,879,34397,1508073463,490244885,30804785,0,0,419598804,40763392
186320,484,30300,1498352586,487419202,30755604,0,0,419503776,40763392
46353,69,5204,1356968670,496646706,46709354,0,0,419579244,41025536
61638,48,5356,1340090625,502591436,50268064,0,0,419524092,41091072
64886,215,5386,1385093852,517330307,51919113,0,0,419513079,39976960
28462,173,2314,575667110,215822444,21657286,0,0,419488884,40108032
28095,0,300,121637276,45546848,4576957,0,0,419526360,39845888
61042,355,5139,1316796821,493772716,49328946,0,0,419494269,40173568
71443,348,6090,1541387559,575775547,57944939,0,0,419578005,40370176
71910,396,6232,1530601229,576670412,57962864,0,0,419618147,40435712
72675,405,6502,1533957197,576514134,57853637,0,0,419761335,40697856
71747,404,6271,1537816163,576499509,57786040,0,0,419615794,41025536
71585,225,6145,1533164570,574802163,57767402,0,0,419679336,41222144
72712,173,6241,1543925213,576375107,57862575,0,0,420073539,41549824
71516,144,6211,1525268439,575071672,57720070,0,0,419406030,41222144
71829,359,6495,1533237711,577805604,58007764,0,0,419468022,41287680
70960,305,6117,1537378497,576667953,57883445,0,0,419473977,41025536
70925,353,6119,1537986880,576274771,57838539,0,0,419510835,41156608
72173,138,6112,1540328591,575258919,57823833,0,0,419691141,41353216
71502,160,6087,1530501442,576613415,57749070,0,0,419609723,41091072
71913,338,6333,1537145723,576604701,57856321,0,0,420072601,41287680
71657,308,6144,1537727269,576626696,57700443,0,0,419482708,41418752
71232,361,6259,1535085347,574559588,57852739,0,0,419527046,41484288
71946,166,6047,1541254744,576603557,57918880,0,0,419667906,41484288
71433,371,6351,1526109198,574313058,57861440,0,0,419707932,40239104
71743,726,6546,1533666725,575707836,57827777,0,0,419881030,40632320
71863,480,6338,1536343771,576333749,57928260,0,2,419926814,40501248
71717,374,6292,1538030454,576839845,57928493,0,0,419556460,40894464
71540,279,6395,1534178146,574869253,57780277,0,0,419643649,40960000
