l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
54303,0,4,367,1322368482,588364983,72383402,0,0,450818583,10027008
53406,2,11,1022,1323891471,587016546,72237469,0,0,419575240,17956864
53570,0,25,2365,1316032678,586211107,72788007,0,0,419594414,23724032
54321,0,88,4094,1319465662,588248989,73342487,0,0,419550277,29294592
54986,0,101,4204,1317741141,586722547,72981342,0,0,419762383,33619968
52900,0,100,4652,1319914013,588331679,73154211,0,2,419775816,35848192
45438524,22587347,54916,27593,11200904095,5515210075,797039194,1372911,0,420411730,41680896
69680161,31496616,74024,107,17179191650,8276722014,1068309600,2122158,0,420069058,41615360
52007305,24467133,60492,103,16277854532,8284845544,1231082872,1559022,0,420226272,41680896
52768555,22558177,57776,115,18005123581,8268654812,760106133,1565467,0,420160637,41549824
52022486,24889829,57075,59,17999117738,8281031842,769150788,1574346,0,420132644,41484288
51524011,22074543,58605,98,17819842963,8245250900,778721203,1576399,0,420214147,41549824
52215589,25343265,57193,43,17944223479,8279432318,778971617,1654186,0,420278878,41484288
50546469,23681709,57513,39,17963881924,8281263528,776670347,1593311,0,420124903,41549824
51408629,24858991,57487,38,17930703595,8272604959,776883890,1592321,0,420124138,41549824
51788934,23640699,57091,94,17952421443,8278965042,780937917,1553117,0,420123081,41615360
51781742,21671058,57136,32,17898156883,8269901314,785532002,1577974,0,420160512,41615360
52281033,23909288,56659,20,17944027684,8278647018,768639657,1572812,0,420062616,41418752
51963229,24713109,56917,34,17934812076,8277116517,767049626,1587246,0,420139962,41549824
51207094,25204289,58137,37,17933037385,8280174383,769554788,1625543,0,420268126,41418752
51118726,23713642,56440,36,17937238471,8270969093,766604065,1539755,0,420111107,41549824
51697893,22567724,58704,56,18008424922,8275062479,763449008,1589211,0,420275025,41549824
51619500,22891731,57272,19,18007384940,8283595896,773107977,1578127,5,420155633,41549824
52088540,25314235,56625,54,17933127303,8271063256,770961855,1632757,0,420067366,41549824
51031355,23762275,56606,14,17964758251,8281412389,769714734,1553892,0,420305214,41484288
52089180,24578212,56865,11,17914182002,8264523398,770962402,1559810,0,419828128,41549824
51681098,22329262,55975,17,17922119290,8276788701,772386687,1528236,0,420272802,41418752
51640841,25144663,56367,29,17933532002,8280394741,771626431,1603415,0,420073076,41484288
51521722,23039868,56556,25,17920685614,8274864286,768264849,1625251,0,420236726,41484288
51340360,24708227,55919,27,17950797771,8282978876,765061924,1548393,0,420428455,41418752
51677439,25179530,55919,9,17924877406,8272081308,760154210,1528554,0,420033576,41549824
51813461,23294985,57259,30,17903700183,8275367067,778531122,1569328,0,420283910,41549824
52028952,24290375,58698,27,18030557418,8275618710,764990139,1550661,0,419958931,41484288
51878386,23925011,57810,15,18021422882,8277250186,755925194,1582921,0,420163100,41484288
52306126,23963439,56439,29,18024808367,8277619763,756876576,1602708,0,420003924,41484288
51827870,24229451,57481,19,18018841804,8273708968,759819103,1566862,0,420233282,41484288
52546322,24600249,56104,15,18014162663,8278627130,763456090,1583923,0,420172074,41418752
51320990,23050360,57798,15,17921472514,8272200072,781482899,1552969,0,420297689,41615360
51738169,24003068,56812,18,17927712377,8283481644,776596610,1623654,0,420353397,41549824
50741351,24121726,57541,16,17951074218,8241485418,773313095,1595039,0,419995705,41484288
51785769,23818699,59046,22,18023754500,8276213388,766265887,1575911,0,420131376,41484288
51789565,24722974,57355,17,18010041394,8270337484,755116215,1571333,0,419979995,41418752
51979769,23490902,57249,2,17956578751,8274969504,779005325,1577591,0,420130575,41549824
52190440,24465675,56579,24,17951815916,8283505921,778880149,1554217,0,420163722,41484288
51546192,22762692,57008,13,17910243431,8271438059,780705166,1543378,0,420224874,41484288
51832372,23709587,57389,23,17929759606,8284216913,782955335,1573568,0,420148296,41549824
51691398,24236047,57572,18,17951702196,8273868700,776424511,1605983,0,420129370,41615360
52114171,24251245,56945,33,17945684234,8234637572,768656774,1516767,0,420253556,41418752
51763544,23456238,57356,7,17965093154,8280677915,779151439,1575336,0,420083914,41549824
52042001,22951339,55777,17,17910744051,8274181534,778829023,1557058,0,420427042,41549824
51293028,24343122,56045,39,17963712402,8284342461,772500746,1604200,0,420079800,41418752
51915345,23809659,57782,19,17934619749,8271696551,774808918,1652382,0,420373212,41484288
51058412,25186358,56715,5,17967142631,8282222325,768026353,1526797,0,420159100,41549824
52749387,24716110,55984,23,17943939274,8274949561,774555459,1549235,0,420398952,41549824
51160671,22845608,57242,15,17950142365,8281567987,778921818,1541458,0,420074519,41418752
52207492,22143530,57381,34,17926498956,8274511768,783630680,1567911,0,419940172,41549824
51565668,23588963,57262,8,17927387878,8272550906,777818143,1570878,2,419906109,41549824
52646039,24869557,57430,7,17915838147,8276189876,768217620,1578364,0,419995932,41418752
51116880,23664420,57500,21,17936057522,8268222235,764138073,1567054,0,419893251,41484288
50903094,25301704,56661,23,17940702919,8278410166,768742142,1588490,2,419958144,41418752
50904420,22564763,56610,7,17943092982,8272154581,770810625,1567607,0,419988520,41615360
52085120,23257964,58318,52,17904381256,8241296354,768218243,1583376,0,420448607,41549824
51474899,22061128,57051,12,18018535115,8277938781,768006511,1554363,0,420111764,41549824
52539875,23561290,58458,6,17949102669,8267133092,768661880,1563341,0,420173794,41484288
51978390,23277412,57633,22,18010624299,8284028358,764203172,1603303,0,420158552,41484288
52018083,24714815,57200,21,17950958414,8269405298,766791075,1586904,0,420177028,41484288
51870229,23403132,56186,23,17949786877,8283429214,772479927,1566524,0,420201984,41484288
52685230,24459982,57150,22,17923364908,8271934627,770910183,1609596,0,420397440,41615360
50998023,23828460,57617,15,17931057967,8279814186,766917480,1529281,0,420304008,41418752
51625615,25451098,56523,12,17941508065,8277728066,768561248,1557034,0,420013854,41484288
52195843,21753405,56836,38,17924492284,8274280076,775887494,1564494,0,420155032,41549824
51808432,24446630,58360,12,17978478588,8281779332,758144356,1582885,0,420062010,41484288
51456652,23562307,57279,23,17980093072,8268648942,759156288,1590898,0,420046966,41549824
51165070,24872946,57518,26,17990041186,8280173831,758429056,1570792,0,420109024,41484288
51676503,22975011,57635,27,17954227694,8269441339,766685967,1535359,0,420091020,41615360
52089003,23457761,57130,4,18032905827,8276128795,761027184,1562912,0,420202976,41615360
51675263,22319851,56723,14,17984004142,8276785211,769077927,1598991,0,420158608,41484288
52372667,24472643,56797,8,17919711327,8275814425,781633933,1579959,0,420207936,41484288
52329352,24705054,56536,17,17948400398,8280175719,777503185,1549935,0,420061536,41418752
50212055,23420087,57565,19,17923428603,8267185002,781535255,1623824,0,420312448,41484288
51526903,23930286,56027,7,17964339633,8283540529,780511571,1552164,0,420043661,41418752
52472852,24244322,56391,16,17939934427,8272099486,778251704,1569641,0,420169050,41484288
51887450,22940256,56579,22,17951107191,8283560526,783183070,1526021,0,420294799,41615360
52428473,24228672,56712,17,17922576125,8281139224,778807062,1565150,0,420366748,41615360
51241630,24313445,56335,23,17923077076,8271244651,776535785,1560549,0,419892430,41549824
51448328,23394833,56824,10,17949885649,8282050660,775806806,1635718,0,420214500,41484288
51333936,24728902,55958,11,17939263944,8271308812,770819096,1551149,0,420374338,41549824
52323852,23902380,56047,12,17967986606,8288002276,774100492,1547018,0,420240682,41418752
51419081,23203242,55816,9,17928125874,8276301839,778432968,1543628,0,420217894,41484288
52311437,22163069,56031,18,17913447471,8281249238,782132768,1567309,0,420163467,41615360
51304754,25054504,56767,24,17942320668,8268855494,769349359,1597399,0,420143307,41615360
51805681,23146039,56001,19,17938614979,8280142002,776740163,1599530,0,420209629,41549824
51973127,24174681,56394,15,17962926447,8282947164,772257889,1536727,0,420125132,41484288
51813915,22944254,56397,8,17903791202,8270166235,778657294,1555613,0,420003008,41549824
51858134,22568507,56489,9,17943613090,8283126359,780249540,1550368,0,420279529,41484288
52338077,25988589,56147,33,17920623405,8267522650,778619508,1637924,0,420104364,41484288
50534857,23684368,56211,22,17960481804,8282481923,772277322,1546966,0,420216457,41615360
52004237,24404077,55330,17,17940762950,8274789085,773821431,1554849,0,420339191,41615360
51812548,23665586,56404,42,17941906154,8279768120,774289977,1529324,0,420358630,41549824
51122441,24262585,57380,10,17895167478,8251841285,775797230,1565976,0,420393064,41418752
51907063,23531639,56099,11,17983159264,8265693095,767377073,1590724,0,419928619,41549824
51379442,24966135,56215,7,17962024157,8280044217,776585674,1557678,0,419925525,41418752
51982338,22987646,55575,11,17953852203,8270205324,777270969,1558594,0,419905581,41418752
52310337,24464237,56951,18,17944991077,8277869627,772431742,1542462,0,420090694,41353216
51756071,23793866,56625,14,17959106459,8272957518,766619181,1556181,0,420014357,41484288
