l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
29874955,62667,4,0,3291037007,8201524969,5774047902,18031657,0,459430770,29753344
30087563,80249,7,0,3276560999,8199467859,5774051282,18018651,0,420736344,38469632
30407313,79078,19,0,3258071932,8183747983,5778837178,18254276,0,420705487,39911424
30333241,112291,25,2,3265750454,8192908442,5776111618,18058702,0,421010455,40632320
30611461,93104,17,2,3266177492,8197844098,5783264269,18343568,0,420776233,40435712
30526370,97587,21,0,3257922411,8192632090,5788000571,18326884,0,421011435,40501248
29086583,84946,19,0,3298023849,8177556038,5718021958,17355037,0,420684732,40632320
29106085,114920,25,4,3288673617,8163183523,5716856175,17479941,0,420728322,40566784
29143247,101801,28,2,3300965522,8185429499,5727721972,17510801,0,420912375,40632320
29136362,115772,26,14,3293262516,8176152553,5723188093,17456628,0,420755559,40370176
29078630,54468,29,4,3288434850,8176999427,5729473613,17460855,0,420851330,40304640
29289125,142877,19,5,3295884864,8183441498,5727858808,17499362,0,420854442,40566784
29484957,64998,32,6,3285933197,8170078397,5732958103,17720959,0,420909264,40697856
29074911,102575,86,7,3301552121,8185466342,5732537528,17548415,0,420804859,40632320
29048135,84999,30,4,3294262919,8173561481,5725676181,17414095,0,420874471,40566784
29137062,109415,32,4,3297374288,8182077661,5731124128,17439043,0,420861914,40828928
29159924,116929,17,5,3295107368,8171933079,5719916598,17443892,0,420765729,40632320
29291721,44864,33,4,3291172888,8176452848,5736154437,17647379,2,420780837,40632320
29136154,84617,21,2,3301840298,8185547064,5728975940,17508752,0,420807494,40566784
28894532,73726,31,6,3295475654,8168614178,5717286852,17271784,0,420753444,40632320
29062237,88468,22,12,3299704654,8184989177,5728327515,17394232,0,420853391,40828928
29104211,84276,26,9,3293467338,8168698760,5718056348,17363272,0,420641165,40697856
29269173,142978,38,2,3293006197,8179669014,5728258413,17543710,0,420761100,40763392
29274919,86929,30,12,3288550211,8174913078,5732018654,17619541,2,420562676,40632320
29080366,131417,23,4,3295281710,8177400902,5725047712,17435844,0,421093044,40566784
29310322,123291,30,10,3288444485,8185966944,5738187112,17675297,0,420796352,40632320
28945508,45878,95,17,3288050535,8167043822,5727286995,17413611,0,420930216,40501248
29373545,126239,26,2,3296499582,8184968148,5733317291,17606309,0,420895464,40566784
29429056,83789,34,7,3283325430,8176076080,5739096881,17617197,0,420834287,40632320
29196015,91093,27,4,3288054961,8175986380,5727390424,17491915,2,420799490,40632320
29157091,75793,39,7,3295142929,8179366030,5726049955,17413557,0,420697807,40763392
29189546,93011,37,4,3288345966,8167430811,5720950338,17465764,0,420634200,40697856
29429858,137576,52,7,3291659849,8188098782,5737948563,17539397,0,420945899,40697856
29427440,97861,37,11,3278763247,8167904672,5733639783,17586835,0,420538465,40632320
29120900,71071,25,9,3290939238,8178329321,5730323115,17460740,0,420810791,40566784
28938253,47940,47,2,3295121473,8178995945,5724919059,17408974,0,421005289,40697856
29199013,115765,33,10,3286301549,8176900173,5731614936,17457037,0,420861320,40566784
28915769,58714,33,10,3301005334,8190045438,5729934121,17360669,0,420992848,40697856
29073262,71146,24,11,3285923177,8163052091,5716703711,17402436,0,420673194,40697856
29294297,65985,26,12,3288845792,8188181113,5739557010,17642419,0,420982536,40828928
28992522,116657,31,7,3284542858,8164589226,5721879327,17206334,0,420734560,40697856
29059145,85403,17,4,3294012070,8179228142,5731282640,17324873,0,420825442,40566784
28962085,50889,25,2,3295694598,8179042093,5723360831,17452659,0,420681866,40632320
29155446,91620,21,13,3284371180,8169968986,5724548247,17481292,0,420684122,40697856
30194513,77234,16,2,3277290620,8186742430,5761088303,18075210,2,420488532,40697856
30228487,95181,41,2,3263821761,8180121537,5770152017,18141824,0,420530475,40697856
30452565,129006,24,0,3264718802,8195867713,5779408808,18278171,0,420485520,40763392
30304747,60673,17,2,3266177002,8187283441,5772123318,18081147,0,420377751,40697856
29758410,60633,15,2,3275045397,8176022038,5743406649,17763504,4,420655989,40697856
29584154,66056,29,5,3278264264,8174202043,5739605537,17761662,0,420544700,40632320
29177000,50112,24,4,3281575731,8174172238,5734130327,17459301,0,421301123,40632320
29578811,127505,36,5,3284489442,8184535343,5745008130,17640742,0,420753291,40632320
29222609,75256,74,11,3286638176,8169815275,5724748229,17461766,0,420943939,40566784
29367551,64438,32,7,3286907809,8186234883,5746437479,17620822,2,421046081,40632320
29403279,156500,30,5,3280008197,8171536736,5730499225,17564727,2,420652541,40697856
29367031,56192,21,6,3279521571,8170939702,5736733970,17626421,0,420849301,40697856
29393539,120554,21,2,3287462112,8189614447,5742445373,17616099,0,420978233,40697856
29227623,117115,29,4,3280095303,8164569281,5726700786,17407310,0,420631396,40632320
29077434,67181,29,0,3289603772,8186819572,5740407110,17587458,0,420949566,40566784
29306744,133670,19,9,3277427557,8170885122,5733013597,17610190,0,420947234,40828928
29605042,102984,23,2,3276372162,8177866814,5743519988,17818195,2,420680758,40632320
29468461,113501,30,5,3281076759,8179181261,5737486829,17580850,0,420747150,40697856
29332977,122782,30,8,3275779270,8174991912,5737270795,17550028,0,421045657,40763392
29155090,64688,35,7,3286942019,8180768932,5734578244,17578646,0,420744207,40632320
29225165,62430,25,4,3280453401,8168436617,5727141620,17547280,0,420888678,40763392
29486294,69797,41,0,3279863289,8176960494,5739625344,17718155,0,420580063,40697856
29163000,87123,22,5,3277177835,8171505232,5732596690,17604629,0,420601145,40501248
29242209,93743,27,2,3284503767,8176242718,5729392271,17507720,0,420790945,40697856
29183709,62849,34,2,3286651292,8177884475,5726328384,17487732,0,420665301,40632320
29285639,125811,26,6,3277932024,8170624212,5728082886,17521981,0,420802190,40632320
29373281,60103,20,7,3286290309,8183468643,5742394230,17514154,0,420674731,40566784
29620000,90266,32,2,3270695984,8166706172,5737293912,17716547,0,420760321,40632320
29292238,115381,26,0,3277779381,8179931407,5738643830,17628760,0,420770510,40632320
