l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
1252348725,1931646540,164198,19176806398,8137876141,1215657148,0,0,643241763,40697856
1240762010,1909370956,143235,18729950247,7828071467,1130227092,20,2,420342201,40697856
1183651790,1789743506,114180,18352802870,7878499194,1182873541,9,0,420313620,40697856
1133190917,1720275246,102410,17610975074,7464502195,1091710555,18,0,420780962,40763392
1057962251,1604244883,88145,16708021956,7162340712,1069774474,41,0,420353737,40697856
1015699972,1539053640,80761,15776462242,6652155130,958211530,3,0,420172783,40763392
973333831,1469203545,76399,14917062289,6180328605,854512964,6,0,420794646,40763392
925643167,1396283618,73119,14353264510,5932027794,805489985,88,0,420669165,40697856
862305768,1295116216,65521,13670226604,5910514230,892624970,19,0,420485088,40697856
772107689,1158566072,58382,12383810435,5472910301,861871003,8,0,420632618,40697856
746762167,1130772422,58729,11606664863,4822631884,653364842,26,0,420492688,40632320
666885099,1022444596,52917,11204771053,5108672069,856414532,0,0,420707606,40763392
605849424,887122433,48236,9544735332,3956201174,541175011,9,0,420079572,40763392
583160901,851001357,48298,9159558672,3750221077,502980822,64,0,420640164,40763392
539714956,761615998,43397,8585836110,3605245133,508587271,45,0,420393868,40763392
457597217,649327763,37833,7751994139,3349650464,499495515,14,0,420214388,40763392
380069609,533949829,30113,6823830586,3332691543,605148311,115,3,420199656,40239104
350752350,498410621,29083,5669635698,2354580538,306101733,50,0,420091438,40304640
264490440,383198944,20343,4467518670,2035932824,341102828,0,0,420035217,40304640
230307000,333936171,18857,3740321992,1677716560,271707045,0,0,420086130,40304640
170452815,255259423,15080,3094784355,1535257404,291241080,5,0,420426228,40370176
176609576,274565826,16126,2662532230,1075932776,140077258,0,0,419959760,40370176
106424051,163837547,9620,2298765859,1326888001,303723825,15,0,420002218,40370176
685615265,1063034998,6578901,12361233635,5349518346,855873852,53260,0,420470626,41811968
1248280872,1935667181,168280,19147231169,8181976466,1243943352,0,0,420753287,41811968
1242017316,1918733440,147855,18730232161,7847679907,1146493203,0,0,420987378,41746432
1175569021,1795641681,120036,18405193995,7890713441,1184767445,6,0,420715006,41811968
1128998370,1722810315,106014,17550382922,7459115381,1094059023,14,0,420654096,41746432
1081496920,1642583041,95476,16782386981,7177166854,1074172682,74,0,420323926,41811968
1013757067,1548139178,85692,16008449044,6919229195,1063210048,6,0,420228291,41811968
985153847,1495414047,81204,14958019104,6171542878,846728083,0,0,420321786,41877504
931799989,1417617426,76508,14401882123,5944928457,809912275,0,0,420204351,41877504
857404439,1296772292,68791,13735792838,6010305159,927694182,3,0,420241242,41877504
772670024,1187652413,62974,12536834489,5480193732,860566040,21,0,420479551,41877504
761301942,1161997444,61367,11656331753,4799615298,650961357,40,0,420494088,41680896
679558050,1049620780,54301,11377872947,5291760012,917711304,8,0,420274844,41746432
607184529,899215808,50329,9591088549,4027373557,584657988,5,0,420301882,41746432
