category,streamcluster_0,streamcluster_1
runtime,158.51915740966797,158.5261631011963
l2miss,33321914.213080168,33462094.56768559
r1b2,666110.7531645569,553752.8384279476
l3miss,28085790.46202532,28194538.83187773
instructions,2211014039.85654,2216083479.004367
cycles,3523075267.848101,3518002304.541485
stall_cycles,2318243538.5105486,2313729532.0611353
intra_coh,3318108.805907173,3320838.1593886465
inter_coh,1732.4050632911392,1789.6724890829694
llc_occupancy,22894111.844240505,22153207.612969432
wall-cycles,699839057.8037975,710506437.2445415
