l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
6457174,1223967,4121133,964805049,650893433,199363025,9812,419,0.00,398213167
12479602,2011278,10069252,1092203421,1295738989,732943350,62436,1142,0.00,420646035
14716357,1670119,12554565,1149600886,1508392330,904103385,87824,1469,0.00,420549339
15772848,1262565,13974843,1177993620,1626737794,1000403648,89824,1436,7815168.00,420739467
16187134,1158829,14182840,1204995410,1691923669,1055593114,301985,1361,6891110.40,420693336
16824445,1010620,14687966,1263298893,1789234745,1121770827,619401,1340,6275072.00,420366240
17530643,926147,14980933,1311060088,1864617139,1172301026,1076659,1399,5835044.57,420452166
18041755,854885,15221002,1346460335,1912924991,1205014316,1385098,1407,5505024.00,420984048
18517361,802383,15387770,1374448416,1957888478,1235932964,1624276,1423,8333994.67,420836193
18775304,754700,15513012,1390998147,1976018100,1246324774,1792416,1524,9707520.00,420489354
18603044,708538,15345911,1385100772,1962297320,1235741401,1862657,1488,10831313.45,420686718
18817133,676597,15416103,1395220202,1974518981,1243767170,1977232,1537,11767808.00,420504303
18957767,642811,15404192,1401194170,1974457853,1242437241,2044082,1565,12560226.46,420634617
19180236,620728,15553466,1418539339,1998088097,1256016707,2158203,1526,13857353.14,420669084
19200553,603200,15565838,1418950411,2000752529,1257678926,2209108,1555,14997913.60,420474342
19350923,586798,15612416,1430144129,2019909766,1271032883,2304503,1554,15995904.00,420674382
19509642,576117,15662654,1439685130,2036274041,1282765663,2387345,1543,16876483.76,420300654
19514347,559373,15624396,1439190420,2036906264,1283187834,2421854,1553,17659221.33,420445119
19584765,547359,15661507,1444253414,2045338225,1290362950,2484523,1571,18248326.74,420753912
19678700,538156,15704932,1450894032,2055728238,1297666333,2528911,1601,17547264.00,420727242
19783067,528879,15749913,1458016093,2067803350,1306091364,2577544,1579,16912969.14,420708486
19941921,526174,15841956,1467582037,2083812738,1316249901,2626512,1550,16336337.45,420724463
20034292,522652,15875639,1473971903,2094670182,1323755957,2680580,1576,15809847.65,420316381
20110930,518844,15925144,1479875767,2104559931,1330971581,2725233,1557,15327232.00,420543150
20164399,511370,15962028,1484731302,2112390305,1336677286,2764825,1550,14883225.60,420430074
20270875,510660,15998106,1490550446,2120267883,1341821862,2797698,1530,14473373.54,420522108
20329208,504898,16019343,1493749642,2126879276,1346430038,2837413,1536,13940963.56,420754991
20307559,498182,15989212,1491778041,2122421036,1343646087,2845787,1566,13457115.43,420378019
20377410,492830,16037410,1499060389,2131790973,1349899915,2875055,1564,13062567.72,420654876
20389009,486087,16048774,1499647128,2132127522,1349245007,2892823,1551,12694323.20,420761484
20323271,479179,15992540,1496031351,2126021264,1345154173,2887417,1545,12349836.39,420488238
