l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
562401,18188,12472,9793294858,4629360122,558898443,164494,1336,0.00,418193130
520963,15395,9850,9808801226,4630049837,556380294,153062,1686,0.00,421004772
525607,14077,7971,9806324539,4626685335,555697334,152874,2269,0.00,420574107
534780,14976,8342,9803408296,4624773530,555754529,156099,2534,0.00,420715869
553469,14113,7924,9795147765,4623585143,556208969,158978,2431,0.00,420908229
555584,13572,7576,9789915720,4622989071,556251811,159235,2510,0.00,420848148
554213,13192,6956,9786359098,4622684250,556500199,159673,2642,0.00,420831906
555930,13296,7358,9784157985,4622407310,556675345,161576,2688,0.00,420811386
563618,13257,7417,9784527047,4622006819,556776086,164040,2774,0.00,420880656
560831,13260,7205,9786509814,4621856220,556531420,163626,2813,0.00,421054629
560971,13489,7357,9788017089,4621777822,556365834,163994,2904,0.00,420570594
559115,13379,7335,9789033934,4621587951,556215146,163636,2859,0.00,420886200
558292,13633,7426,9787301476,4620760899,556061692,163442,2829,0.00,420721701
556938,13619,7292,9787749315,4620662259,556146749,164211,2875,0.00,420927114
563931,13809,7458,9790471105,4621273821,556201636,167015,2966,0.00,420754071
566737,13680,7362,9790442643,4621171028,556296922,169214,2926,0.00,420870831
566004,13488,7309,9790494318,4621109581,556411613,171007,2893,0.00,420936018
566743,13743,7339,9784827425,4619099439,556352966,171846,2931,0.00,420838911
569838,13887,7535,9786196865,4619586264,556552492,173163,2981,0.00,420809610
573046,13855,7449,9784487029,4619558168,556815104,174631,2963,0.00,420761127
576698,13914,7368,9782634716,4619479812,556992500,176255,2934,0.00,420690738
580053,13800,7246,9782923031,4619455192,557070856,177591,2966,0.00,420676563
580647,13916,7326,9782735842,4619456417,557169253,178104,2962,0.00,420753837
586011,14037,7388,9782094612,4619408568,557329223,179923,2996,0.00,420770484
588098,13938,7358,9781868677,4619396456,557416347,181017,2990,0.00,421034496
591613,13727,7189,9781971019,4619450505,557500439,182348,2969,0.00,420626511
594648,13872,7249,9781468717,4619468274,557544696,183793,2968,0.00,420790194
597452,13948,7192,9782305154,4619435181,557542424,184757,2936,0.00,420752517
599784,14805,8023,9762236748,4609967353,556470008,185464,2997,0.00,8797857840
604168,14992,8273,9775005296,4617099251,557535497,186463,3002,0.00,420717186
605034,14942,8190,9802405124,4630542761,559194948,186484,3020,0.00,420689964
608613,14791,8060,9826994792,4642324301,560643069,187426,3020,0.00,420772833
608919,14558,7951,9852804637,4654334425,562037349,187644,3000,0.00,420878583
608391,14424,7872,9876793179,4665520612,563339271,187327,2992,0.00,420922833
604399,14400,7809,9899961812,4676198145,564549835,186151,3008,0.00,420973599
603203,14214,7703,9921395050,4686162150,565702146,185654,3016,0.00,420816861
601736,14165,7624,9941846417,4695672251,566789670,185117,3001,0.00,420821415
603998,14236,7570,9961023366,4704570613,567842869,185417,2990,0.00,420767364
604830,14126,7458,9979315059,4713109899,568822643,185474,2979,0.00,421064559
603986,14349,7409,9996173674,4721295913,569825865,185158,2987,0.00,420666570
602995,14319,7356,10011589034,4728886428,570778535,184790,2976,0.00,420811992
600670,14296,7338,10026130892,4735591225,571542084,183968,2986,0.00,420971019
598277,14204,7264,10041210952,4742613725,572368878,183040,2992,0.00,420970053
597552,14178,7179,10055640457,4749386019,573171223,182401,2988,0.00,420921258
595533,14215,7158,10068746929,4755833741,573996388,181382,2989,0.00,420763569
594148,14213,7165,10081081543,4761946839,574776492,180748,3001,0.00,420899679
592296,14182,7115,10093682088,4767820342,575449901,179785,3010,0.00,420867942
591878,14229,7110,10103533736,4772550919,576032100,179170,3031,0.00,420806169
591233,14271,7136,10113613042,4777428845,576618439,178420,3041,0.00,420758340
590010,14187,7161,10110917029,4776274385,576479240,177889,3090,0.00,420852237
587566,14149,7143,10103934244,4773223765,576106203,176967,3114,0.00,420902454
585524,14033,7136,10097715879,4770289955,575732007,176203,3115,0.00,420898665
582871,13913,7114,10092160248,4767464749,575340627,175298,3103,0.00,420947475
581665,13804,7105,10085678775,4764579950,575034758,174732,3100,0.00,420726903
